candidate_id,true_task_class,predicted_task_class,response_text,probabilities,provenance,topic_domain
SRC-LOG-006,logic,causality,Isolated systems conserve momentum.,"{""logic"": 0.24459997115561993, ""causality"": 0.26906029115914515, ""analogy"": 0.2540143313420562, ""definition"": 0.23232540634317875}",not_recorded,physics
SRC-LOG-012,logic,causality,Processes without light energy are not photosynthesis.,"{""logic"": 0.25913314499911994, ""causality"": 0.27313777058174743, ""analogy"": 0.25581433825862215, ""definition"": 0.2119147461605105}",not_recorded,biology
SRC-LOG-013,logic,analogy,Dry pores do not store groundwater.,"{""logic"": 0.2500225344889883, ""causality"": 0.26088143278558834, ""analogy"": 0.28150686446410683, ""definition"": 0.20758916826131654}",not_recorded,earth_science
SRC-LOG-014,logic,analogy,Low water levels are not high tide.,"{""logic"": 0.23963383407627084, ""causality"": 0.2559995720735414, ""analogy"": 0.29695317296292256, ""definition"": 0.20741342088726522}",not_recorded,earth_science
SRC-LOG-015,logic,analogy,Features without survival functions are not adaptations.,"{""logic"": 0.24236022242695143, ""causality"": 0.2448858790882339, ""analogy"": 0.3116604853271287, ""definition"": 0.20109341315768597}",not_recorded,biology
SRC-LOG-018,logic,definition,The moon has a greater influence on tides than the sun.,"{""logic"": 0.23156487792740213, ""causality"": 0.22777456289842277, ""analogy"": 0.256332869725591, ""definition"": 0.2843276894485841}",not_recorded,earth_science
SRC-LOG-021,logic,analogy,The momentum of a vehicle is equal to the product of its mass and velocity.,"{""logic"": 0.22467135623695617, ""causality"": 0.23074790158131137, ""analogy"": 0.3002465499171218, ""definition"": 0.24433419226461073}",not_recorded,physics
SRC-CAU-001,causality,definition,Net force causes changes in the motion of an object.,"{""logic"": 0.20290194722376373, ""causality"": 0.25149735133340295, ""analogy"": 0.23988022950809237, ""definition"": 0.305720471934741}",not_recorded,physics
SRC-CAU-003,causality,logic,Elastic collisions transfer momentum between vehicles of equal mass.,"{""logic"": 0.2736973159161868, ""causality"": 0.2542190776835776, ""analogy"": 0.2712457592887447, ""definition"": 0.20083784711149089}",not_recorded,physics
SRC-CAU-006,causality,analogy,Photosynthesis absorbs solar energy and can store chemical energy in carbohydrates.,"{""logic"": 0.20427880638569293, ""causality"": 0.2556599776208153, ""analogy"": 0.32439198234538735, ""definition"": 0.21566923364810436}",not_recorded,biology
SRC-CAU-007,causality,analogy,Photosynthesis uses water and carbon dioxide to produce sugar and oxygen.,"{""logic"": 0.18668907100833765, ""causality"": 0.2591056215564692, ""analogy"": 0.36577447450650735, ""definition"": 0.18843083292868576}",not_recorded,biology
SRC-CAU-008,causality,definition,Chlorophyll absorbs light for photosynthesis.,"{""logic"": 0.23575438375200444, ""causality"": 0.24669634638441473, ""analogy"": 0.2502798177831492, ""definition"": 0.26726945208043157}",not_recorded,biology
SRC-CAU-011,causality,analogy,"Sunlight heats surface water, causing liquid water to evaporate.","{""logic"": 0.20044633839172066, ""causality"": 0.2928068387852165, ""analogy"": 0.3000246038236494, ""definition"": 0.20672221899941337}",not_recorded,physics
SRC-CAU-012,causality,analogy,Water vapor rises into cooler air and condenses to form cloud droplets.,"{""logic"": 0.2494054645165655, ""causality"": 0.25998561640445716, ""analogy"": 0.30877778436365594, ""definition"": 0.18183113471532142}",not_recorded,earth_science
SRC-CAU-014,causality,analogy,Infiltration of precipitation can replenish groundwater.,"{""logic"": 0.2385074789787302, ""causality"": 0.24740430566683466, ""analogy"": 0.32784821558416244, ""definition"": 0.18623999977027275}",not_recorded,earth_science
SRC-CAU-015,causality,analogy,Groundwater extraction faster than infiltration causes the groundwater level to drop.,"{""logic"": 0.21114040626053096, ""causality"": 0.28339611216611715, ""analogy"": 0.34896656590537667, ""definition"": 0.15649691566797533}",not_recorded,earth_science
SRC-CAU-016,causality,logic,"When warm water vapor contacts a cold container, it condenses into liquid droplets.","{""logic"": 0.35780613864641814, ""causality"": 0.2683872961527075, ""analogy"": 0.21370988150814382, ""definition"": 0.16009668369273053}",not_recorded,earth_science
SRC-CAU-020,causality,logic,A long tail can improve balance.,"{""logic"": 0.27315348560007147, ""causality"": 0.25322014289217054, ""analogy"": 0.2560041555068187, ""definition"": 0.21762221600093928}",not_recorded,general_science
SRC-CAU-021,causality,analogy,Satellite measurement of precipitation enables scientists to monitor large-scale rainfall.,"{""logic"": 0.21130000505070703, ""causality"": 0.2855802499804343, ""analogy"": 0.31291883460642256, ""definition"": 0.19020091036243608}",not_recorded,technology
SRC-CAU-022,causality,analogy,Wells reaching aquifers can extract groundwater.,"{""logic"": 0.24249597495485214, ""causality"": 0.26526114108910687, ""analogy"": 0.2695813496736158, ""definition"": 0.2226615342824251}",not_recorded,technology
SRC-CAU-025,causality,analogy,A measuring system tracking the tide level can record high and low tides for prediction.,"{""logic"": 0.2091723622170895, ""causality"": 0.26338431320925976, ""analogy"": 0.29803707758722003, ""definition"": 0.22940624698643078}",not_recorded,earth_science
SRC-DEF-001,definition,analogy,"The water cycle is the process of continuous movement of water between land, ocean and atmosphere in the Earth system.","{""logic"": 0.19228020493005668, ""causality"": 0.2632815210557426, ""analogy"": 0.2995302835153215, ""definition"": 0.2449079904988793}",not_recorded,earth_science
SRC-DEF-002,definition,causality,Evaporation is the phase change that turns liquid water into water vapor.,"{""logic"": 0.19397317103560013, ""causality"": 0.3263956745366247, ""analogy"": 0.24629414046266146, ""definition"": 0.2333370139651137}",not_recorded,earth_science
SRC-DEF-008,definition,logic,Conservation is the physical principle that physical quantities remain unchanged under specific conditions.,"{""logic"": 0.3490042815158826, ""causality"": 0.20920040240056675, ""analogy"": 0.22596129624586198, ""definition"": 0.21583401983768874}",not_recorded,general_science
SRC-DEF-009,definition,causality,Force is the physical interaction that can change motion.,"{""logic"": 0.21292064185957438, ""causality"": 0.3158848126416916, ""analogy"": 0.2222166987731296, ""definition"": 0.24897784672560436}",not_recorded,physics
SRC-DEF-010,definition,causality,Acceleration is the physical quantity that describes the change in velocity over time.,"{""logic"": 0.17593475537420356, ""causality"": 0.3186424294776151, ""analogy"": 0.242549006016145, ""definition"": 0.2628738091320363}",not_recorded,physics
SRC-DEF-011,definition,analogy,Well is a water extraction structure that reaches groundwater for extraction.,"{""logic"": 0.18914647550652083, ""causality"": 0.18366928519920925, ""analogy"": 0.32058691254706057, ""definition"": 0.3065973267472093}",not_recorded,technology
SRC-DEF-013,definition,analogy,Flippers are the animal body structure that helps whales turn in water.,"{""logic"": 0.18002964234177074, ""causality"": 0.2392962614370297, ""analogy"": 0.42512980591198574, ""definition"": 0.1555442903092138}",not_recorded,biology
SRC-DEF-015,definition,analogy,Feather camouflage is the animal adaptation that blends the animal with the surrounding environment.,"{""logic"": 0.22265866749348318, ""causality"": 0.20119573696074233, ""analogy"": 0.3316872534629594, ""definition"": 0.2444583420828151}",not_recorded,biology
SRC-DEF-017,definition,analogy,Well pump is a water transportation device that lifts groundwater to the surface.,"{""logic"": 0.1890464575921699, ""causality"": 0.2313099839660493, ""analogy"": 0.2929105553824507, ""definition"": 0.28673300305933}",not_recorded,technology
SRC-DEF-020,definition,causality,Filter surface is a separation mechanism that allows water to pass through and retains particles.,"{""logic"": 0.1249695521205739, ""causality"": 0.489357641110666, ""analogy"": 0.22268267116125884, ""definition"": 0.1629901356075014}",not_recorded,technology
SRC-DEF-023,definition,analogy,Aquifer is the water-bearing geological layer that stores and transmits available groundwater.,"{""logic"": 0.21300908592577866, ""causality"": 0.19974429234478458, ""analogy"": 0.32502105985412694, ""definition"": 0.2622255618753098}",not_recorded,earth_science
SRC-DEF-025,definition,causality,Chloroplast is the cellular organelle of plants that contains the photosynthesis mechanism.,"{""logic"": 0.16134879107532124, ""causality"": 0.49480707736905694, ""analogy"": 0.17326056898587275, ""definition"": 0.17058356256974908}",not_recorded,biology
SRC-ANA-001,analogy,causality,"Whale flippers help turning in water, while human arms help control body movement.","{""logic"": 0.20254949534168723, ""causality"": 0.29844108539041736, ""analogy"": 0.276128544700495, ""definition"": 0.22288087456740038}",not_recorded,biology
SRC-ANA-017,analogy,definition,"Chloroplasts contain the machinery for photosynthesis, and leaves contain mesophyll cells; each has its own content.","{""logic"": 0.27158489440155537, ""causality"": 0.17926067916592245, ""analogy"": 0.2573137559582979, ""definition"": 0.2918406704742242}",not_recorded,biology
SRC-ANA-022,analogy,causality,"Force changes an object's motion, and heat changes water's solid, liquid, or gas state.","{""logic"": 0.21607266798933508, ""causality"": 0.3101642607260748, ""analogy"": 0.22818495146003268, ""definition"": 0.24557811982455738}",not_recorded,physics
GAP-LOG-004,logic,definition,Dividing an even number by two leaves no remainder.,"{""logic"": 0.2109417501033584, ""causality"": 0.21665289571442833, ""analogy"": 0.26078075640410503, ""definition"": 0.31162459777810825}",rule_composed,mathematics
GAP-LOG-006,logic,definition,A cat is not a reptile.,"{""logic"": 0.16684877762742276, ""causality"": 0.16891424381672968, ""analogy"": 0.1844115295407847, ""definition"": 0.47982544901506285}",ai_assisted_surface_normalized,everyday_life
GAP-LOG-007,logic,analogy,A book on the left is not on the right of the cup.,"{""logic"": 0.22624772821425426, ""causality"": 0.23050781429227374, ""analogy"": 0.32029097906068194, ""definition"": 0.22295347843279004}",rule_composed,spatial_reasoning
GAP-LOG-008,logic,analogy,Schedules with no shared time do not overlap.,"{""logic"": 0.21332568661611795, ""causality"": 0.2242870432289884, ""analogy"": 0.30268454291966185, ""definition"": 0.25970272723523163}",independent_external,everyday_life
GAP-LOG-009,logic,analogy,Three coins plus two coins make five coins.,"{""logic"": 0.255099206113008, ""causality"": 0.27443810196772556, ""analogy"": 0.27810872887433946, ""definition"": 0.192353963044927}",ai_assisted_surface_normalized,mathematics
GAP-LOG-012,logic,definition,An item outside a box is not inside that box.,"{""logic"": 0.14642838230851465, ""causality"": 0.16651794978181647, ""analogy"": 0.2277416688271886, ""definition"": 0.45931199908248027}",ai_assisted_surface_normalized,spatial_reasoning
GAP-LOG-013,logic,definition,"If every class member has an ID, Maya has an ID as a class member.","{""logic"": 0.2329827010343366, ""causality"": 0.1704987928812591, ""analogy"": 0.211847427005671, ""definition"": 0.3846710790787332}",rule_composed,language
GAP-LOG-014,logic,analogy,Dividing a whole into equal parts makes each part smaller than the whole.,"{""logic"": 0.2620976011176173, ""causality"": 0.23870845058854093, ""analogy"": 0.34651973383046675, ""definition"": 0.152674214463375}",independent_external,mathematics
GAP-LOG-015,logic,analogy,Sets with exactly the same elements have the same size.,"{""logic"": 0.23855453753191036, ""causality"": 0.2123217044339412, ""analogy"": 0.3542800430759841, ""definition"": 0.1948437149581644}",ai_assisted_surface_normalized,mathematics
GAP-LOG-016,logic,analogy,A route with no connecting road cannot reach its destination by that route.,"{""logic"": 0.2121821753508397, ""causality"": 0.17423465782283354, ""analogy"": 0.30969687243818095, ""definition"": 0.30388629438814574}",rule_composed,spatial_reasoning
