source_card_id,task_class,topic_group,source_material,source_reference,human_response,grammar_status,human_approved,status
SRC-LOG-001,logic,category_inference,"Premise 1: Photosynthetic organisms include plants and algae; Premise 2: algae are photosynthetic organisms.",https://openstax.org/books/concepts-biology/pages/5-1-overview-of-photosynthesis,,,pending
SRC-LOG-002,logic,category_inference,"Premise 1: Groundwater is stored below the water table; Premise 2: aquifers are saturated water-bearing formations.",https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,,,pending
SRC-LOG-003,logic,category_inference,"Premise 1: An adaptation can be physical or behavioral; Premise 2: camouflage is a physical feature used by some animals.",https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,,,pending
SRC-LOG-004,logic,category_inference,"Premise 1: Water can be liquid solid or gas; Premise 2: ice is solid water.",https://gpm.nasa.gov/education/articles/nasa-earth-science-water-cycle,,,pending
SRC-LOG-005,logic,category_inference,"Premise 1: Momentum is a physical quantity; Premise 2: mass and velocity determine momentum.",https://openstax.org/books/college-physics/pages/8-3-conservation-of-momentum,,,pending
SRC-LOG-006,logic,conditional_inference,"Premise 1: An isolated system has zero net external force; Premise 2: momentum is constant in such a system.",https://openstax.org/books/college-physics/pages/8-3-conservation-of-momentum,,,pending
SRC-LOG-007,logic,conditional_inference,"Premise 1: Water vapor cools as it rises; Premise 2: cooling favors condensation into cloud droplets.",https://www.jpl.nasa.gov/edu/resources/project/make-a-cloud-in-a-bottle/,,,pending
SRC-LOG-008,logic,conditional_inference,"Premise 1: Lunar and solar tidal effects can reinforce; Premise 2: reinforcement produces stronger tides.",https://www.nesdis.noaa.gov/about/k-12-education/oceans-coasts/what-causes-tides,,,pending
SRC-LOG-009,logic,conditional_inference,"Premise 1: Rain infiltrates permeable ground; Premise 2: deep infiltration can recharge an aquifer.",https://www.usgs.gov/water-science-school/science/infiltration-and-water-cycle,,,pending
SRC-LOG-010,logic,conditional_inference,"Premise 1: A force changes an object’s motion; Premise 2: a push or pull is a force.",https://openstax.org/books/physics/pages/4-1-force,,,pending
SRC-LOG-011,logic,exclusion_or_contradiction,"Premise 1: An elastic collision does not lose system kinetic energy; Premise 2: a collision that loses kinetic energy is not elastic.",https://openstax.org/books/college-physics/pages/8-3-conservation-of-momentum,,,pending
SRC-LOG-012,logic,exclusion_or_contradiction,"Premise 1: Photosynthesis requires light energy; Premise 2: a process without light energy is not photosynthesis.",https://www.khanacademy.org/science/ap-biology/cell-structure-and-function/photosynthesis-ap/a/photosynthesis-overview,,,pending
SRC-LOG-013,logic,exclusion_or_contradiction,"Premise 1: Groundwater occupies saturated pores or cracks; Premise 2: empty dry pores are not groundwater storage.",https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,,,pending
SRC-LOG-014,logic,exclusion_or_contradiction,"Premise 1: High tides are linked to tidal bulges; Premise 2: a low-water interval is not a high tide.",https://prod-01-alb-www-noaa.woc.noaa.gov/jetstream/ocean/tides,,,pending
SRC-LOG-015,logic,exclusion_or_contradiction,"Premise 1: Adaptations help survival in an environment; Premise 2: a feature with no survival function is not established as an adaptation.",https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,,,pending
SRC-LOG-016,logic,comparison_or_transitivity,"Premise 1: Water vapor condenses into droplets; Premise 2: droplets can grow into precipitation particles.",https://gpm.nasa.gov/education/articles/nasa-earth-science-water-cycle,,,pending
