review_index,candidate_id,task_class,response_text,human_overall_decision,human_reason,human_label_agreement,human_naturalness,human_self_contained,human_ambiguity
1,SRC-CAU-008,causality,Chlorophyll absorbs light for photosynthesis.,Y,,agree,acceptable,yes,clear
2,SRC-CAU-012,causality,Water vapor rises into cooler air and condenses to form cloud droplets.,Y,,agree,acceptable,yes,clear
3,GAP-LOG-007,logic,A book on the left is not on the right of the cup.,Y,,agree,acceptable,yes,clear
4,GAP-DEF-024,definition,A cloud is a visible collection of water droplets or ice crystals.,Y,,agree,acceptable,yes,clear
5,GAP-ANA-020,analogy,"A cloud stores condensed water, and a tank stores liquid water.",Y,,agree,acceptable,yes,clear
6,GAP-ANA-013,analogy,"An immune barrier blocks harmful agents, and a fence blocks unwanted entry.",Y,,agree,acceptable,yes,clear
7,GAP-DEF-011,definition,Probability is a measure of how likely an event is.,Y,,agree,acceptable,yes,clear
8,GAP-LOG-036,logic,Gravity and pressure can drive groundwater downward or sideways.,N,logic label clearly mismatched,,,,
9,GAP-ANA-006,analogy,"A pump moves water, and a conveyor moves packages.",Y,,agree,acceptable,yes,clear
10,GAP-LOG-005,logic,A square has four equal sides.,N,logic label clearly mismatched,,,,
11,SRC-ANA-014,analogy,"Zero net external force conserves momentum, and isolation keeps total momentum unchanged; the conditions are equivalent.",Y,,agree,acceptable,yes,clear
12,SRC-CAU-004,causality,External forces cause a change in the total momentum of a system.,Y,,agree,acceptable,yes,clear
13,GAP-CAU-010,causality,Blocking a light sensor prevents it from detecting light.,Y,,agree,acceptable,yes,clear
14,SRC-DEF-023,definition,Aquifer is the water-bearing geological layer that stores and transmits available groundwater.,Y,,agree,acceptable,yes,clear
15,GAP-DEF-008,definition,A lever is a rigid bar that turns around a pivot.,Y,,agree,acceptable,yes,clear
16,GAP-DEF-004,definition,A polygon is a closed shape made of straight sides.,Y,,agree,acceptable,yes,clear
17,GAP-CAU-005,causality,Covering a hot pot reduces heat loss.,Y,,agree,acceptable,yes,clear
18,GAP-ANA-007,analogy,"A folder stores files, and a shelf stores books.",Y,,agree,acceptable,yes,clear
19,GAP-LOG-020,logic,An object inside a smaller box is also inside a larger box around it.,Y,,agree,acceptable,yes,clear
20,SRC-DEF-021,definition,Adaptability is the biological characteristic that helps organisms survive in their environment.,Y,,agree,acceptable,yes,clear
21,SRC-DEF-022,definition,Immune system is the body defense system that detects and helps remove harmful substances.,Y,,agree,acceptable,yes,clear
22,GAP-ANA-010,analogy,"A plant stores light energy in carbohydrates, and a battery stores electrical energy for later use.",Y,,agree,acceptable,yes,clear
23,SRC-ANA-004,analogy,"Chlorophyll absorbs light energy for photosynthesis, while solar panels receive sunlight to generate electricity; the principles are similar.",Y,,agree,acceptable,yes,clear
24,SRC-CAU-006,causality,Photosynthesis absorbs solar energy and can store chemical energy in carbohydrates.,Y,,agree,acceptable,yes,clear
25,GAP-LOG-004,logic,Dividing an even number by two leaves no remainder.,Y,,agree,acceptable,yes,clear
26,SRC-ANA-022,analogy,"Force changes an object's motion, and heat changes water's solid, liquid, or gas state.",Y,,agree,acceptable,yes,clear
27,SRC-DEF-016,definition,Satellite precipitation sensor is a remote sensing instrument that measures precipitation information from orbit.,Y,,agree,acceptable,yes,clear
28,GAP-CAU-006,causality,Moving air speeds evaporation from wet clothes.,Y,,agree,acceptable,yes,clear
29,GAP-CAU-027,causality,A loose bicycle chain reduces power transfer.,Y,,agree,acceptable,yes,clear
30,GAP-DEF-010,definition,A map is a representation of places and their relationships.,Y,,agree,acceptable,yes,clear
31,GAP-DEF-003,definition,A fraction represents part of a whole.,Y,,agree,acceptable,yes,clear
32,GAP-DEF-009,definition,A variable is a quantity that can change.,Y,,agree,acceptable,yes,clear
33,GAP-CAU-023,causality,Closing plant stomata reduces water loss.,Y,,agree,acceptable,yes,clear
34,SRC-CAU-011,causality,"Sunlight heats surface water, causing liquid water to evaporate.",Y,,agree,acceptable,yes,clear
35,GAP-CAU-009,causality,Removing the batteries stops a flashlight.,Y,,agree,acceptable,yes,clear
36,GAP-ANA-015,analogy,"Earth's tilt changes seasonal sunlight, and a dimmer changes lamp brightness.",Y,,agree,acceptable,yes,clear
37,SRC-ANA-012,analogy,"Chloroplasts support photosynthesis, and mesophyll supports gas exchange; both support leaf function.",Y,,agree,acceptable,yes,clear
38,GAP-LOG-016,logic,A route with no connecting road cannot reach its destination by that route.,Y,,agree,acceptable,yes,clear
39,GAP-DEF-014,definition,Photosynthesis is a process that converts light energy into chemical energy.,Y,,agree,acceptable,yes,clear
40,GAP-LOG-034,logic,"Without an unbalanced force, constant velocity continues.",Y,,agree,acceptable,yes,clear
