position,old_source_card_id,old_task_class,correct_source_card_id,correct_task_class,correction_basis
51,SRC-ANA-001,analogy,SRC-DEF-001,definition,"Word response block order differs from metadata block order: positions 51-75 align one-to-one with definition cards 76-100, and positions 76-100 align one-to-one with analogy cards 51-75."
52,SRC-ANA-002,analogy,SRC-DEF-002,definition,"Word response block order differs from metadata block order: positions 51-75 align one-to-one with definition cards 76-100, and positions 76-100 align one-to-one with analogy cards 51-75."
53,SRC-ANA-003,analogy,SRC-DEF-003,definition,"Word response block order differs from metadata block order: positions 51-75 align one-to-one with definition cards 76-100, and positions 76-100 align one-to-one with analogy cards 51-75."
54,SRC-ANA-004,analogy,SRC-DEF-004,definition,"Word response block order differs from metadata block order: positions 51-75 align one-to-one with definition cards 76-100, and positions 76-100 align one-to-one with analogy cards 51-75."
55,SRC-ANA-005,analogy,SRC-DEF-005,definition,"Word response block order differs from metadata block order: positions 51-75 align one-to-one with definition cards 76-100, and positions 76-100 align one-to-one with analogy cards 51-75."
56,SRC-ANA-006,analogy,SRC-DEF-006,definition,"Word response block order differs from metadata block order: positions 51-75 align one-to-one with definition cards 76-100, and positions 76-100 align one-to-one with analogy cards 51-75."
57,SRC-ANA-007,analogy,SRC-DEF-007,definition,"Word response block order differs from metadata block order: positions 51-75 align one-to-one with definition cards 76-100, and positions 76-100 align one-to-one with analogy cards 51-75."
58,SRC-ANA-008,analogy,SRC-DEF-008,definition,"Word response block order differs from metadata block order: positions 51-75 align one-to-one with definition cards 76-100, and positions 76-100 align one-to-one with analogy cards 51-75."
59,SRC-ANA-009,analogy,SRC-DEF-009,definition,"Word response block order differs from metadata block order: positions 51-75 align one-to-one with definition cards 76-100, and positions 76-100 align one-to-one with analogy cards 51-75."
60,SRC-ANA-010,analogy,SRC-DEF-010,definition,"Word response block order differs from metadata block order: positions 51-75 align one-to-one with definition cards 76-100, and positions 76-100 align one-to-one with analogy cards 51-75."
61,SRC-ANA-011,analogy,SRC-DEF-011,definition,"Word response block order differs from metadata block order: positions 51-75 align one-to-one with definition cards 76-100, and positions 76-100 align one-to-one with analogy cards 51-75."
62,SRC-ANA-012,analogy,SRC-DEF-012,definition,"Word response block order differs from metadata block order: positions 51-75 align one-to-one with definition cards 76-100, and positions 76-100 align one-to-one with analogy cards 51-75."
63,SRC-ANA-013,analogy,SRC-DEF-013,definition,"Word response block order differs from metadata block order: positions 51-75 align one-to-one with definition cards 76-100, and positions 76-100 align one-to-one with analogy cards 51-75."
64,SRC-ANA-014,analogy,SRC-DEF-014,definition,"Word response block order differs from metadata block order: positions 51-75 align one-to-one with definition cards 76-100, and positions 76-100 align one-to-one with analogy cards 51-75."
65,SRC-ANA-015,analogy,SRC-DEF-015,definition,"Word response block order differs from metadata block order: positions 51-75 align one-to-one with definition cards 76-100, and positions 76-100 align one-to-one with analogy cards 51-75."
66,SRC-ANA-016,analogy,SRC-DEF-016,definition,"Word response block order differs from metadata block order: positions 51-75 align one-to-one with definition cards 76-100, and positions 76-100 align one-to-one with analogy cards 51-75."
67,SRC-ANA-017,analogy,SRC-DEF-017,definition,"Word response block order differs from metadata block order: positions 51-75 align one-to-one with definition cards 76-100, and positions 76-100 align one-to-one with analogy cards 51-75."
68,SRC-ANA-018,analogy,SRC-DEF-018,definition,"Word response block order differs from metadata block order: positions 51-75 align one-to-one with definition cards 76-100, and positions 76-100 align one-to-one with analogy cards 51-75."
69,SRC-ANA-019,analogy,SRC-DEF-019,definition,"Word response block order differs from metadata block order: positions 51-75 align one-to-one with definition cards 76-100, and positions 76-100 align one-to-one with analogy cards 51-75."
70,SRC-ANA-020,analogy,SRC-DEF-020,definition,"Word response block order differs from metadata block order: positions 51-75 align one-to-one with definition cards 76-100, and positions 76-100 align one-to-one with analogy cards 51-75."
71,SRC-ANA-021,analogy,SRC-DEF-021,definition,"Word response block order differs from metadata block order: positions 51-75 align one-to-one with definition cards 76-100, and positions 76-100 align one-to-one with analogy cards 51-75."
72,SRC-ANA-022,analogy,SRC-DEF-022,definition,"Word response block order differs from metadata block order: positions 51-75 align one-to-one with definition cards 76-100, and positions 76-100 align one-to-one with analogy cards 51-75."
73,SRC-ANA-023,analogy,SRC-DEF-023,definition,"Word response block order differs from metadata block order: positions 51-75 align one-to-one with definition cards 76-100, and positions 76-100 align one-to-one with analogy cards 51-75."
74,SRC-ANA-024,analogy,SRC-DEF-024,definition,"Word response block order differs from metadata block order: positions 51-75 align one-to-one with definition cards 76-100, and positions 76-100 align one-to-one with analogy cards 51-75."
75,SRC-ANA-025,analogy,SRC-DEF-025,definition,"Word response block order differs from metadata block order: positions 51-75 align one-to-one with definition cards 76-100, and positions 76-100 align one-to-one with analogy cards 51-75."
76,SRC-DEF-001,definition,SRC-ANA-001,analogy,"Word response block order differs from metadata block order: positions 51-75 align one-to-one with definition cards 76-100, and positions 76-100 align one-to-one with analogy cards 51-75."
77,SRC-DEF-002,definition,SRC-ANA-002,analogy,"Word response block order differs from metadata block order: positions 51-75 align one-to-one with definition cards 76-100, and positions 76-100 align one-to-one with analogy cards 51-75."
78,SRC-DEF-003,definition,SRC-ANA-003,analogy,"Word response block order differs from metadata block order: positions 51-75 align one-to-one with definition cards 76-100, and positions 76-100 align one-to-one with analogy cards 51-75."
79,SRC-DEF-004,definition,SRC-ANA-004,analogy,"Word response block order differs from metadata block order: positions 51-75 align one-to-one with definition cards 76-100, and positions 76-100 align one-to-one with analogy cards 51-75."
80,SRC-DEF-005,definition,SRC-ANA-005,analogy,"Word response block order differs from metadata block order: positions 51-75 align one-to-one with definition cards 76-100, and positions 76-100 align one-to-one with analogy cards 51-75."
81,SRC-DEF-006,definition,SRC-ANA-006,analogy,"Word response block order differs from metadata block order: positions 51-75 align one-to-one with definition cards 76-100, and positions 76-100 align one-to-one with analogy cards 51-75."
82,SRC-DEF-007,definition,SRC-ANA-007,analogy,"Word response block order differs from metadata block order: positions 51-75 align one-to-one with definition cards 76-100, and positions 76-100 align one-to-one with analogy cards 51-75."
83,SRC-DEF-008,definition,SRC-ANA-008,analogy,"Word response block order differs from metadata block order: positions 51-75 align one-to-one with definition cards 76-100, and positions 76-100 align one-to-one with analogy cards 51-75."
84,SRC-DEF-009,definition,SRC-ANA-009,analogy,"Word response block order differs from metadata block order: positions 51-75 align one-to-one with definition cards 76-100, and positions 76-100 align one-to-one with analogy cards 51-75."
85,SRC-DEF-010,definition,SRC-ANA-010,analogy,"Word response block order differs from metadata block order: positions 51-75 align one-to-one with definition cards 76-100, and positions 76-100 align one-to-one with analogy cards 51-75."
86,SRC-DEF-011,definition,SRC-ANA-011,analogy,"Word response block order differs from metadata block order: positions 51-75 align one-to-one with definition cards 76-100, and positions 76-100 align one-to-one with analogy cards 51-75."
87,SRC-DEF-012,definition,SRC-ANA-012,analogy,"Word response block order differs from metadata block order: positions 51-75 align one-to-one with definition cards 76-100, and positions 76-100 align one-to-one with analogy cards 51-75."
88,SRC-DEF-013,definition,SRC-ANA-013,analogy,"Word response block order differs from metadata block order: positions 51-75 align one-to-one with definition cards 76-100, and positions 76-100 align one-to-one with analogy cards 51-75."
89,SRC-DEF-014,definition,SRC-ANA-014,analogy,"Word response block order differs from metadata block order: positions 51-75 align one-to-one with definition cards 76-100, and positions 76-100 align one-to-one with analogy cards 51-75."
90,SRC-DEF-015,definition,SRC-ANA-015,analogy,"Word response block order differs from metadata block order: positions 51-75 align one-to-one with definition cards 76-100, and positions 76-100 align one-to-one with analogy cards 51-75."
91,SRC-DEF-016,definition,SRC-ANA-016,analogy,"Word response block order differs from metadata block order: positions 51-75 align one-to-one with definition cards 76-100, and positions 76-100 align one-to-one with analogy cards 51-75."
92,SRC-DEF-017,definition,SRC-ANA-017,analogy,"Word response block order differs from metadata block order: positions 51-75 align one-to-one with definition cards 76-100, and positions 76-100 align one-to-one with analogy cards 51-75."
93,SRC-DEF-018,definition,SRC-ANA-018,analogy,"Word response block order differs from metadata block order: positions 51-75 align one-to-one with definition cards 76-100, and positions 76-100 align one-to-one with analogy cards 51-75."
94,SRC-DEF-019,definition,SRC-ANA-019,analogy,"Word response block order differs from metadata block order: positions 51-75 align one-to-one with definition cards 76-100, and positions 76-100 align one-to-one with analogy cards 51-75."
95,SRC-DEF-020,definition,SRC-ANA-020,analogy,"Word response block order differs from metadata block order: positions 51-75 align one-to-one with definition cards 76-100, and positions 76-100 align one-to-one with analogy cards 51-75."
96,SRC-DEF-021,definition,SRC-ANA-021,analogy,"Word response block order differs from metadata block order: positions 51-75 align one-to-one with definition cards 76-100, and positions 76-100 align one-to-one with analogy cards 51-75."
97,SRC-DEF-022,definition,SRC-ANA-022,analogy,"Word response block order differs from metadata block order: positions 51-75 align one-to-one with definition cards 76-100, and positions 76-100 align one-to-one with analogy cards 51-75."
98,SRC-DEF-023,definition,SRC-ANA-023,analogy,"Word response block order differs from metadata block order: positions 51-75 align one-to-one with definition cards 76-100, and positions 76-100 align one-to-one with analogy cards 51-75."
99,SRC-DEF-024,definition,SRC-ANA-024,analogy,"Word response block order differs from metadata block order: positions 51-75 align one-to-one with definition cards 76-100, and positions 76-100 align one-to-one with analogy cards 51-75."
100,SRC-DEF-025,definition,SRC-ANA-025,analogy,"Word response block order differs from metadata block order: positions 51-75 align one-to-one with definition cards 76-100, and positions 76-100 align one-to-one with analogy cards 51-75."
