candidate_id,task_class,target_provenance,response_text,source_family,source_reference,author_id,length_tokens,length_band,self_contained,naturalness,label_quality,lexical_giveaway,notes,collection_status
FIN-LOG-H-001,logic,human_authored,,,,,,,,,,,,pending
FIN-LOG-H-002,logic,human_authored,,,,,,,,,,,,pending
FIN-LOG-H-003,logic,human_authored,,,,,,,,,,,,pending
FIN-LOG-H-004,logic,human_authored,,,,,,,,,,,,pending
FIN-LOG-H-005,logic,human_authored,,,,,,,,,,,,pending
FIN-LOG-H-006,logic,human_authored,,,,,,,,,,,,pending
FIN-LOG-H-007,logic,human_authored,,,,,,,,,,,,pending
FIN-LOG-H-008,logic,human_authored,,,,,,,,,,,,pending
FIN-LOG-H-009,logic,human_authored,,,,,,,,,,,,pending
FIN-LOG-H-010,logic,human_authored,,,,,,,,,,,,pending
FIN-LOG-H-011,logic,human_authored,,,,,,,,,,,,pending
FIN-LOG-H-012,logic,human_authored,,,,,,,,,,,,pending
FIN-LOG-H-013,logic,human_authored,,,,,,,,,,,,pending
FIN-LOG-H-014,logic,human_authored,,,,,,,,,,,,pending
FIN-LOG-H-015,logic,human_authored,,,,,,,,,,,,pending
FIN-LOG-H-016,logic,human_authored,,,,,,,,,,,,pending
FIN-LOG-H-017,logic,human_authored,,,,,,,,,,,,pending
FIN-LOG-H-018,logic,human_authored,,,,,,,,,,,,pending
FIN-LOG-H-019,logic,human_authored,,,,,,,,,,,,pending
FIN-LOG-H-020,logic,human_authored,,,,,,,,,,,,pending
FIN-LOG-H-021,logic,human_authored,,,,,,,,,,,,pending
FIN-LOG-H-022,logic,human_authored,,,,,,,,,,,,pending
FIN-LOG-H-023,logic,human_authored,,,,,,,,,,,,pending
FIN-LOG-H-024,logic,human_authored,,,,,,,,,,,,pending
FIN-LOG-H-025,logic,human_authored,,,,,,,,,,,,pending
FIN-LOG-E-001,logic,manually_adapted_external,,,,,,,,,,,,pending
FIN-LOG-E-002,logic,manually_adapted_external,,,,,,,,,,,,pending
FIN-LOG-E-003,logic,manually_adapted_external,,,,,,,,,,,,pending
