candidate_id,task_class,response_text,length_tokens,provenance,topic_domain,source_reference
SRC-ANA-001,analogy,"The fin-like limbs of whales can help them turn in water, just as human arms can assist in controlling body movements.",22,not_recorded,biology,https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations
SRC-ANA-003,analogy,"Satellite sensors can observe rainfall from the sky, and the tide gauge records water levels at the shore; both are monitoring water.",22,not_recorded,technology,https://gpm.nasa.gov/education/articles/nasa-earth-science-water-cycle
SRC-ANA-006,analogy,"Chloroplasts are part of plant cells, and leaves are part of the plant as a whole; both belong to the composition of plants.",23,not_recorded,biology,https://openstax.org/books/concepts-biology/pages/5-1-overview-of-photosynthesis
SRC-ANA-012,analogy,"Chloroplasts are responsible for photosynthesis, and mesophyll is responsible for gas exchange; each performs its own function to support the leaf's function.",22,not_recorded,biology,https://openstax.org/books/concepts-biology/pages/5-1-overview-of-photosynthesis
SRC-ANA-013,analogy,"The gravitational pull of the moon mainly causes tidal bulges, while the gravitational pull of the sun enhances or weakens it.",21,not_recorded,earth_science,https://www.nesdis.noaa.gov/about/k-12-education/oceans-coasts/what-causes-tides
SRC-ANA-014,analogy,"When the net external force is zero, momentum is conserved, and an isolated system ensures the total momentum remains unchanged; the conditions are equivalent.",24,not_recorded,physics,https://openstax.org/books/college-physics/pages/8-3-conservation-of-momentum
SRC-ANA-019,analogy,"Bone marrow produces the raw materials for immune cells, and lymphatic vessels are responsible for transporting them; together they serve the immune system.",23,not_recorded,biology,https://nigms.nih.gov/biobeat/2023/12/what-is-the-immune-system
SRC-ANA-021,analogy,"Evaporation transports surface water into the atmosphere, and transpiration transports water from the plant body into the atmosphere; the end result is the same.",24,not_recorded,biology,https://gpm.nasa.gov/education/articles/nasa-earth-science-water-cycle
SRC-ANA-022,analogy,"Force can change the motion state of an object, and heat can change the solid, liquid, and gaseous states of water.",21,not_recorded,physics,https://openstax.org/books/physics/pages/4-1-force
SRC-ANA-024,analogy,"The law of conservation of momentum limits the combination of velocities after a collision, and the law of conservation of energy limits the distribution of energy before and after conversion.",30,not_recorded,physics,https://openstax.org/books/college-physics/pages/8-3-conservation-of-momentum
SRC-ANA-025,analogy,"The immune system forms a barrier for organisms to resist bacteria, physical barriers (such as fences) prevent foreign substances from entering, and the effects are the same.",27,not_recorded,biology,https://nigms.nih.gov/biobeat/2023/12/what-is-the-immune-system
