id,group,variant_type,token_count
logic_orig_01,logic,original_style,16
logic_orig_02,logic,original_style,16
logic_orig_03,logic,original_style,17
logic_para_01,logic,paraphrase,13
logic_para_02,logic,paraphrase,12
logic_para_03,logic,paraphrase,12
causality_orig_01,causality,original_style,10
causality_orig_02,causality,original_style,10
causality_orig_03,causality,original_style,10
causality_para_01,causality,paraphrase,11
causality_para_02,causality,paraphrase,11
causality_para_03,causality,paraphrase,12
analogy_orig_01,analogy,original_style,14
analogy_orig_02,analogy,original_style,14
analogy_orig_03,analogy,original_style,14
analogy_para_01,analogy,paraphrase,18
analogy_para_02,analogy,paraphrase,11
analogy_para_03,analogy,paraphrase,16
definition_orig_01,definition,original_style,9
definition_orig_02,definition,original_style,9
definition_orig_03,definition,original_style,9
definition_para_01,definition,paraphrase,12
definition_para_02,definition,paraphrase,13
definition_para_03,definition,paraphrase,11
