model,layer,split,source_group,target_group,fit_item_count,eval_item_count,probe_training_sample_count,probe_training_accuracy,probe_class_counts,baseline_target_assignment_rate,baseline_source_assignment_rate,baseline_target_minus_source_similarity,baseline_target_probability,baseline_source_probability,baseline_target_minus_source_probability,baseline_target_prediction_rate,baseline_source_prediction_rate
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,causality,3,3,12,1.0,"{'logic': 3, 'causality': 3, 'analogy': 3, 'definition': 3}",0.0,1.0,-0.028565971549982267,0.20054998017219597,0.593022156314484,-0.39247217614228797,0.0,1.0
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,analogy,3,3,12,1.0,"{'logic': 3, 'causality': 3, 'analogy': 3, 'definition': 3}",0.0,1.0,-0.027839799422936424,0.14389444861741255,0.593022156314484,-0.4491277076970714,0.0,1.0
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,definition,3,3,12,1.0,"{'logic': 3, 'causality': 3, 'analogy': 3, 'definition': 3}",0.0,1.0,-0.022882213059017015,0.06253341489590757,0.593022156314484,-0.5304887414185764,0.0,1.0
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,causality,logic,3,3,12,1.0,"{'logic': 3, 'causality': 3, 'analogy': 3, 'definition': 3}",0.0,1.0,-0.08643795510250629,0.047225091353498,0.8780807184740026,-0.8308556271205045,0.0,1.0
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,causality,analogy,3,3,12,1.0,"{'logic': 3, 'causality': 3, 'analogy': 3, 'definition': 3}",0.0,1.0,-0.12666126681112533,0.022131945902057693,0.8780807184740026,-0.8559487725719448,0.0,1.0
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,causality,definition,3,3,12,1.0,"{'logic': 3, 'causality': 3, 'analogy': 3, 'definition': 3}",0.0,1.0,-0.04118784356490971,0.052562244270441656,0.8780807184740026,-0.825518474203561,0.0,1.0
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,analogy,logic,3,3,12,1.0,"{'logic': 3, 'causality': 3, 'analogy': 3, 'definition': 3}",0.0,1.0,-0.044527006290304184,0.11236005774940673,0.6969544804815403,-0.5845944227321335,0.0,1.0
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,analogy,causality,3,3,12,1.0,"{'logic': 3, 'causality': 3, 'analogy': 3, 'definition': 3}",0.0,1.0,-0.06324752785373444,0.1032760607655799,0.6969544804815403,-0.5936784197159604,0.0,1.0
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,analogy,definition,3,3,12,1.0,"{'logic': 3, 'causality': 3, 'analogy': 3, 'definition': 3}",0.0,1.0,-0.05297870940447532,0.08740940100347316,0.6969544804815403,-0.609545079478067,0.0,1.0
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,definition,logic,3,3,12,1.0,"{'logic': 3, 'causality': 3, 'analogy': 3, 'definition': 3}",0.0,1.0,-0.07603269767215937,0.06404861880802903,0.6039759175749797,-0.5399272987669507,0.0,1.0
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,definition,causality,3,3,12,1.0,"{'logic': 3, 'causality': 3, 'analogy': 3, 'definition': 3}",0.0,1.0,-0.023200548598288757,0.272980383350042,0.6039759175749797,-0.33099553422493777,0.0,1.0
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,definition,analogy,3,3,12,1.0,"{'logic': 3, 'causality': 3, 'analogy': 3, 'definition': 3}",0.0,1.0,-0.09861142913128751,0.0589950802669492,0.6039759175749797,-0.5449808373080306,0.0,1.0
Qwen/Qwen3-1.7B,16,B_paraphrase_fit_original_eval,logic,causality,3,3,12,1.0,"{'logic': 3, 'causality': 3, 'analogy': 3, 'definition': 3}",0.0,0.0,0.01576671056347782,0.18426662392666482,0.2110910104560707,-0.026824386529405875,0.0,0.0
Qwen/Qwen3-1.7B,16,B_paraphrase_fit_original_eval,logic,analogy,3,3,12,1.0,"{'logic': 3, 'causality': 3, 'analogy': 3, 'definition': 3}",0.3333333333333333,0.0,0.022052697070685284,0.4112306202172103,0.2110910104560707,0.20013960976113965,1.0,0.0
Qwen/Qwen3-1.7B,16,B_paraphrase_fit_original_eval,logic,definition,3,3,12,1.0,"{'logic': 3, 'causality': 3, 'analogy': 3, 'definition': 3}",0.6666666666666666,0.0,0.022669807974198524,0.1934117454000541,0.2110910104560707,-0.017679265056016597,0.0,0.0
Qwen/Qwen3-1.7B,16,B_paraphrase_fit_original_eval,causality,logic,3,3,12,1.0,"{'logic': 3, 'causality': 3, 'analogy': 3, 'definition': 3}",0.0,1.0,-0.1303495484069802,0.017553574176089454,0.7281197110488594,-0.71056613687277,0.0,1.0
Qwen/Qwen3-1.7B,16,B_paraphrase_fit_original_eval,causality,analogy,3,3,12,1.0,"{'logic': 3, 'causality': 3, 'analogy': 3, 'definition': 3}",0.0,1.0,-0.09963637488338568,0.041874763883839435,0.7281197110488594,-0.68624494716502,0.0,1.0
Qwen/Qwen3-1.7B,16,B_paraphrase_fit_original_eval,causality,definition,3,3,12,1.0,"{'logic': 3, 'causality': 3, 'analogy': 3, 'definition': 3}",0.0,1.0,-0.02610692688877995,0.21245195089121158,0.7281197110488594,-0.5156677601576479,0.0,1.0
Qwen/Qwen3-1.7B,16,B_paraphrase_fit_original_eval,analogy,logic,3,3,12,1.0,"{'logic': 3, 'causality': 3, 'analogy': 3, 'definition': 3}",0.0,1.0,-0.09988218505258524,0.008225329859708306,0.965245231007473,-0.9570199011477646,0.0,1.0
Qwen/Qwen3-1.7B,16,B_paraphrase_fit_original_eval,analogy,causality,3,3,12,1.0,"{'logic': 3, 'causality': 3, 'analogy': 3, 'definition': 3}",0.0,1.0,-0.09714023601733464,0.008762722574836833,0.965245231007473,-0.9564825084326359,0.0,1.0
Qwen/Qwen3-1.7B,16,B_paraphrase_fit_original_eval,analogy,definition,3,3,12,1.0,"{'logic': 3, 'causality': 3, 'analogy': 3, 'definition': 3}",0.0,1.0,-0.071587296024525,0.01776671655798199,0.965245231007473,-0.9474785144494909,0.0,1.0
Qwen/Qwen3-1.7B,16,B_paraphrase_fit_original_eval,definition,logic,3,3,12,1.0,"{'logic': 3, 'causality': 3, 'analogy': 3, 'definition': 3}",0.0,1.0,-0.1226655188732007,0.0076979935092477735,0.8847143614038351,-0.8770163678945874,0.0,1.0
Qwen/Qwen3-1.7B,16,B_paraphrase_fit_original_eval,definition,causality,3,3,12,1.0,"{'logic': 3, 'causality': 3, 'analogy': 3, 'definition': 3}",0.0,1.0,-0.03926910163115797,0.07513146057065935,0.8847143614038351,-0.8095829008331757,0.0,1.0
