position,candidate_id,correct_source_card_id,correct_task_class,original_response,source_material,source_reference,correction_status,correction_basis
1,SRC-LOG-001,SRC-LOG-001,logic,Algae are photosynthetic organisms.,Premise 1: Photosynthetic organisms include plants and algae; Premise 2: algae are photosynthetic organisms.,https://openstax.org/books/concepts-biology/pages/5-1-overview-of-photosynthesis,unchanged,unchanged positional mapping for positions 1-50
2,SRC-LOG-002,SRC-LOG-002,logic,Groundwater is the water in saturated aquifers.,Premise 1: Groundwater is stored below the water table; Premise 2: aquifers are saturated water-bearing formations.,https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,unchanged,unchanged positional mapping for positions 1-50
3,SRC-LOG-003,SRC-LOG-003,logic,Camouflage behavior does not reflect the adaptability of animals.,Premise 1: An adaptation can be physical or behavioral; Premise 2: camouflage is a physical feature used by some animals.,https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,unchanged,unchanged positional mapping for positions 1-50
4,SRC-LOG-004,SRC-LOG-004,logic,Ice is water.,Premise 1: Water can be liquid solid or gas; Premise 2: ice is solid water.,https://gpm.nasa.gov/education/articles/nasa-earth-science-water-cycle,unchanged,unchanged positional mapping for positions 1-50
5,SRC-LOG-005,SRC-LOG-005,logic,Mass and speed are also physical quantities.,Premise 1: Momentum is a physical quantity; Premise 2: mass and velocity determine momentum.,https://openstax.org/books/college-physics/pages/8-3-conservation-of-momentum,unchanged,unchanged positional mapping for positions 1-50
6,SRC-LOG-006,SRC-LOG-006,logic,Isolated systems conserve momentum.,Premise 1: An isolated system has zero net external force; Premise 2: momentum is constant in such a system.,https://openstax.org/books/college-physics/pages/8-3-conservation-of-momentum,unchanged,unchanged positional mapping for positions 1-50
7,SRC-LOG-007,SRC-LOG-007,logic,The ascent of water vapor is conducive to condensation into cloud droplets.,Premise 1: Water vapor cools as it rises; Premise 2: cooling favors condensation into cloud droplets.,https://www.jpl.nasa.gov/edu/resources/project/make-a-cloud-in-a-bottle/,unchanged,unchanged positional mapping for positions 1-50
8,SRC-LOG-008,SRC-LOG-008,logic,The superposition of tidal effects can generate stronger tides.,Premise 1: Lunar and solar tidal effects can reinforce; Premise 2: reinforcement produces stronger tides.,https://www.nesdis.noaa.gov/about/k-12-education/oceans-coasts/what-causes-tides,unchanged,unchanged positional mapping for positions 1-50
9,SRC-LOG-009,SRC-LOG-009,logic,Rainwater can replenish the water table.,Premise 1: Rain infiltrates permeable ground; Premise 2: deep infiltration can recharge an aquifer.,https://www.usgs.gov/water-science-school/science/infiltration-and-water-cycle,unchanged,unchanged positional mapping for positions 1-50
10,SRC-LOG-010,SRC-LOG-010,logic,Push or pull can change the motion of an object.,Premise 1: A force changes an object’s motion; Premise 2: a push or pull is a force.,https://openstax.org/books/physics/pages/4-1-force,unchanged,unchanged positional mapping for positions 1-50
