source_card_id,target_task_class,candidate_concept,fact_or_relation_1,fact_or_relation_2,relation_type,source_title,source_reference,human_response,human_notes,status
SRC-LOG-001,logic,water_cycle,"Water moves among land, ocean, and atmosphere in a continuous cycle.","Evaporation and condensation are named processes in that cycle.",category_inference,NASA Earth Science: Water Cycle,https://gpm.nasa.gov/education/articles/nasa-earth-science-water-cycle,,,pending
SRC-LOG-002,logic,isolated_momentum,"An isolated system has zero net external force.","Total momentum remains constant in an isolated system.",conditional_inference,Conservation of Momentum - OpenStax,https://openstax.org/books/college-physics/pages/8-3-conservation-of-momentum,,,pending
SRC-LOG-003,logic,spring_tides,"The Moon and Sun exert gravitational effects on ocean water.","When their tidal effects reinforce, the resulting tides are more extreme.",conditional_inference,What Causes Tides? - NOAA,https://www.nesdis.noaa.gov/about/k-12-education/oceans-coasts/what-causes-tides,,,pending
SRC-LOG-004,logic,groundwater_recharge,"Some precipitation infiltrates soil and rock.","Deep infiltration can recharge groundwater aquifers.",transitive_relation,Infiltration and the Water Cycle - USGS,https://www.usgs.gov/water-science-school/science/infiltration-and-water-cycle,,,pending
SRC-LOG-005,logic,animal_adaptation,"An adaptation is a physical or behavioral animal feature.","Features that improve survival help an animal in its environment.",category_inference,Explore Animal Adaptations - Smithsonian,https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,,,pending
SRC-CAU-001,causality,evaporation,"Sunlight heats liquid water at Earth’s surface.","Heating changes some liquid water into atmospheric vapor.",cause_effect,What Is the Water Cycle? - NASA Climate Kids,https://climatekids.nasa.gov/water-cycle/jpl.nasa.gov,,,pending
SRC-CAU-002,causality,photosynthesis,"Photosynthetic organisms absorb solar energy.","The process stores that energy in carbohydrate molecules and releases oxygen.",mechanism,Overview of Photosynthesis - OpenStax,https://openstax.org/books/concepts-biology/pages/5-1-overview-of-photosynthesis,,,pending
SRC-CAU-003,causality,tidal_force,"The Moon’s gravitational pull acts unevenly across Earth.","The resulting tidal force produces ocean-water bulges.",cause_effect,What Causes Tides? - NOAA,https://www.nesdis.noaa.gov/about/k-12-education/oceans-coasts/what-causes-tides,,,pending
SRC-CAU-004,causality,water_cycle_drivers,"Solar energy causes liquid water to evaporate.","Gravity drives water downward and causes precipitation to fall.",mechanism,Water Cycle - USGS,https://www.usgs.gov/special-topics/water-science-school/water-cycle,,,pending
SRC-CAU-005,causality,baleen_feeding,"A whale’s baleen lets water pass while retaining small prey.","Retaining prey helps the whale feed in the ocean.",enabling_condition,Explore Animal Adaptations - Smithsonian,https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,,,pending
SRC-ANA-001,analogy,water_to_atmosphere,"Ocean water -> evaporation -> atmospheric vapor.","Plant water -> transpiration -> atmospheric vapor.",functional_correspondence,Hydrologic Cycle - NASA,https://gpm.nasa.gov/education/water-cycle/hydrologic-cycle,,,pending
SRC-ANA-002,analogy,force_and_motion,"A push or pull -> changes -> an object’s motion.","A net force -> changes -> an object’s acceleration.",functional_correspondence,Force - OpenStax,https://openstax.org/books/physics/pages/4-1-force,,,pending
SRC-ANA-003,analogy,celestial_tidal_effects,"Moon’s differential gravity -> stretches -> ocean water distribution.","Sun’s gravity -> contributes to -> tidal effects.",support_relation,Tides and Water Levels - NOAA,https://prod-01-alb-www-noaa.woc.noaa.gov/education/resource-collections/ocean-coasts/tides,,,pending
SRC-ANA-004,analogy,groundwater_layers,"Permeable aquifer rock -> permits -> groundwater movement.","Water-resistant layers -> redirect -> groundwater more horizontally.",support_relation,Groundwater Flow and the Water Cycle - USGS,https://www.usgs.gov/water-science-school/science/groundwater-flow-and-water-cycle,,,pending
SRC-ANA-005,analogy,flippers_and_arms,"Whale flippers -> help steer -> through water.","Human arms -> provide a comparable steering function -> in movement.",functional_correspondence,Explore Animal Adaptations - Smithsonian,https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,,,pending
SRC-DEF-001,definition,water_cycle,"A continuous movement of water around Earth.","Includes changes among liquid, solid, and gas states.",definition,What Is the Water Cycle? - NASA Climate Kids,https://climatekids.nasa.gov/water-cycle/jpl.nasa.gov,,,pending
SRC-DEF-002,definition,momentum,"A physical quantity equal to mass times velocity.","Used to describe motion and conserved in isolated systems.",definition,Conservation of Momentum - OpenStax,https://openstax.org/books/college-physics/pages/8-3-conservation-of-momentum,,,pending
SRC-DEF-003,definition,tide,"Periodic changes in ocean-water level.","Driven mainly by gravitational effects of the Moon and Sun, with local complexity.",definition,Tides - NOAA,https://prod-01-alb-www-noaa.woc.noaa.gov/education/resource-collections/ocean-coasts/tides,,,pending
SRC-DEF-004,definition,groundwater,"Water stored beneath Earth’s surface.","Part of the natural water cycle and may move through aquifers.",definition,Groundwater: What is Groundwater? - USGS,https://www.usgs.gov/water-science-school/science/groundwater-what-groundwater?page=1,,,pending
SRC-DEF-005,definition,adaptation,"A physical or behavioral animal feature.","Helps the animal survive in its environment.",definition,Explore Animal Adaptations - Smithsonian,https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,,,pending
