candidate_id,task_class,original_response,normalized_response,audit_status,semantic_guard,naturalness_status,self_contained,task_clarity,lexical_shortcut_risk,redundancy_risk,length_tokens,length_band,topic_domain,provenance,source_reference,audit_reason
SRC-LOG-001,logic,Algae are photosynthetic organisms.,Algae are photosynthetic organisms.,HUMAN_REVIEW,HUMAN_REQUIRED,needs_human_review,yes,partial,low,low,4,short,biology,not_recorded,https://openstax.org/books/concepts-biology/pages/5-1-overview-of-photosynthesis,Dominant task function is not sufficiently clear for the original class without adding a premise or mechanism; human review is required.
SRC-LOG-002,logic,Groundwater is the water in saturated aquifers.,Groundwater is the water in saturated aquifers.,HUMAN_REVIEW,HUMAN_REQUIRED,needs_human_review,yes,partial,medium,medium,7,medium,earth_science,not_recorded,https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,Dominant task function is not sufficiently clear for the original class without adding a premise or mechanism; human review is required.
SRC-LOG-003,logic,Camouflage behavior does not reflect the adaptability of animals.,Camouflage behavior does not reflect the adaptability of animals.,REJECT,NOT_APPLICABLE,class_mismatch_or_unusable,yes,mismatched,low,low,9,medium,biology,not_recorded,https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,The factual and task-function claim is not reliable enough to retain; repair would require a new proposition.
SRC-LOG-004,logic,Ice is water.,Ice is water.,HUMAN_REVIEW,HUMAN_REQUIRED,needs_human_review,yes,partial,low,low,3,short,earth_science,not_recorded,https://gpm.nasa.gov/education/articles/nasa-earth-science-water-cycle,Dominant task function is not sufficiently clear for the original class without adding a premise or mechanism; human review is required.
SRC-LOG-005,logic,Mass and speed are also physical quantities.,Mass and speed are also physical quantities.,HUMAN_REVIEW,HUMAN_REQUIRED,needs_human_review,yes,partial,low,low,7,medium,physics,not_recorded,https://openstax.org/books/college-physics/pages/8-3-conservation-of-momentum,Dominant task function is not sufficiently clear for the original class without adding a premise or mechanism; human review is required.
SRC-LOG-006,logic,Isolated systems conserve momentum.,Isolated systems conserve momentum.,ACCEPT_AS_IS,ORIGINAL_PRESERVED,natural,yes,clear,low,low,4,short,physics,not_recorded,https://openstax.org/books/college-physics/pages/8-3-conservation-of-momentum,"Task function is clear, the proposition is coherent and self-contained, and no substantive repair is needed."
SRC-LOG-007,logic,The ascent of water vapor is conducive to condensation into cloud droplets.,The ascent of water vapor is conducive to condensation into cloud droplets.,HUMAN_REVIEW,HUMAN_REQUIRED,needs_human_review,yes,partial,low,low,12,medium,earth_science,not_recorded,https://www.jpl.nasa.gov/edu/resources/project/make-a-cloud-in-a-bottle/,Dominant task function is not sufficiently clear for the original class without adding a premise or mechanism; human review is required.
SRC-LOG-008,logic,The superposition of tidal effects can generate stronger tides.,The superposition of tidal effects can generate stronger tides.,HUMAN_REVIEW,HUMAN_REQUIRED,needs_human_review,yes,partial,low,low,9,medium,earth_science,not_recorded,https://www.nesdis.noaa.gov/about/k-12-education/oceans-coasts/what-causes-tides,Dominant task function is not sufficiently clear for the original class without adding a premise or mechanism; human review is required.
SRC-LOG-009,logic,Rainwater can replenish the water table.,Rainwater can replenish the water table.,HUMAN_REVIEW,HUMAN_REQUIRED,needs_human_review,yes,partial,medium,medium,6,medium,earth_science,not_recorded,https://www.usgs.gov/water-science-school/science/infiltration-and-water-cycle,Dominant task function is not sufficiently clear for the original class without adding a premise or mechanism; human review is required.
SRC-LOG-010,logic,Push or pull can change the motion of an object.,Push or pull can change the motion of an object.,HUMAN_REVIEW,HUMAN_REQUIRED,needs_human_review,yes,partial,low,low,10,medium,general_science,not_recorded,https://openstax.org/books/physics/pages/4-1-force,Dominant task function is not sufficiently clear for the original class without adding a premise or mechanism; human review is required.
SRC-LOG-011,logic,Collisions that lose kinetic energy are not elastic collisions.,Collisions that lose kinetic energy are not elastic collisions.,ACCEPT_AS_IS,ORIGINAL_PRESERVED,natural,yes,clear,low,low,9,medium,physics,not_recorded,https://openstax.org/books/college-physics/pages/8-3-conservation-of-momentum,"Task function is clear, the proposition is coherent and self-contained, and no substantive repair is needed."
SRC-LOG-012,logic,Processes without light energy are not photosynthesis.,Processes without light energy are not photosynthesis.,ACCEPT_AS_IS,ORIGINAL_PRESERVED,natural,yes,clear,low,low,7,medium,biology,not_recorded,https://www.khanacademy.org/science/ap-biology/cell-structure-and-function/photosynthesis-ap/a/photosynthesis-overview,"Task function is clear, the proposition is coherent and self-contained, and no substantive repair is needed."
SRC-LOG-013,logic,Dry pores are not groundwater storage.,Dry pores do not store groundwater.,ACCEPT_SURFACE_NORMALIZED,SURFACE_ONLY_UNCHANGED,surface_normalized,yes,clear,low,low,6,medium,earth_science,not_recorded,https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,"Only grammar, wording, or terminology form was minimally normalized; the original proposition is unchanged."
SRC-LOG-014,logic,Low water levels are not high tide.,Low water levels are not high tide.,ACCEPT_AS_IS,ORIGINAL_PRESERVED,natural,yes,clear,low,low,7,medium,earth_science,not_recorded,https://prod-01-alb-www-noaa.woc.noaa.gov/jetstream/ocean/tides,"Task function is clear, the proposition is coherent and self-contained, and no substantive repair is needed."
SRC-LOG-015,logic,Features without survival functions are not adaptability.,Features without survival functions are not adaptations.,ACCEPT_SURFACE_NORMALIZED,SURFACE_ONLY_UNCHANGED,surface_normalized,yes,clear,low,low,7,medium,biology,not_recorded,https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,"Only grammar, wording, or terminology form was minimally normalized; the original proposition is unchanged."
SRC-LOG-016,logic,Water vapor eventually turns into precipitation particles.,Water vapor eventually turns into precipitation particles.,HUMAN_REVIEW,HUMAN_REQUIRED,needs_human_review,yes,partial,low,low,7,medium,earth_science,not_recorded,https://gpm.nasa.gov/education/articles/nasa-earth-science-water-cycle,Dominant task function is not sufficiently clear for the original class without adding a premise or mechanism; human review is required.
SRC-LOG-017,logic,Solar energy drives the evaporation of water into the atmospheric circulation.,Solar energy drives the evaporation of water into the atmospheric circulation.,HUMAN_REVIEW,HUMAN_REQUIRED,needs_human_review,yes,partial,low,low,11,medium,physics,not_recorded,https://gpm.nasa.gov/education/articles/nasa-earth-science-water-cycle,Dominant task function is not sufficiently clear for the original class without adding a premise or mechanism; human review is required.
