candidate_id,task_class,original_response,normalized_response,audit_status,semantic_guard,naturalness_status,self_contained,task_clarity,lexical_shortcut_risk,redundancy_risk,length_tokens,length_band,topic_domain,provenance,source_reference,audit_reason
SRC-LOG-001,logic,Algae are photosynthetic organisms.,Algae are photosynthetic organisms.,HUMAN_REVIEW,HUMAN_REQUIRED,needs_human_review,yes,partial,low,low,4,short,biology,not_recorded,https://openstax.org/books/concepts-biology/pages/5-1-overview-of-photosynthesis,Copied from the historical Task 057 audit for an unchanged response/card position.
SRC-LOG-002,logic,Groundwater is the water in saturated aquifers.,Groundwater is the water in saturated aquifers.,HUMAN_REVIEW,HUMAN_REQUIRED,needs_human_review,yes,partial,medium,medium,7,medium,earth_science,not_recorded,https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,Copied from the historical Task 057 audit for an unchanged response/card position.
SRC-LOG-003,logic,Camouflage behavior does not reflect the adaptability of animals.,Camouflage behavior does not reflect the adaptability of animals.,REJECT,NOT_APPLICABLE,class_mismatch_or_unusable,yes,mismatched,low,low,9,medium,biology,not_recorded,https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,Copied from the historical Task 057 audit for an unchanged response/card position.
SRC-LOG-004,logic,Ice is water.,Ice is water.,HUMAN_REVIEW,HUMAN_REQUIRED,needs_human_review,yes,partial,low,low,3,short,earth_science,not_recorded,https://gpm.nasa.gov/education/articles/nasa-earth-science-water-cycle,Copied from the historical Task 057 audit for an unchanged response/card position.
SRC-LOG-005,logic,Mass and speed are also physical quantities.,Mass and speed are also physical quantities.,HUMAN_REVIEW,HUMAN_REQUIRED,needs_human_review,yes,partial,low,low,7,medium,physics,not_recorded,https://openstax.org/books/college-physics/pages/8-3-conservation-of-momentum,Copied from the historical Task 057 audit for an unchanged response/card position.
SRC-LOG-006,logic,Isolated systems conserve momentum.,Isolated systems conserve momentum.,ACCEPT_AS_IS,ORIGINAL_PRESERVED,natural,yes,clear,low,low,4,short,physics,not_recorded,https://openstax.org/books/college-physics/pages/8-3-conservation-of-momentum,Copied from the historical Task 057 audit for an unchanged response/card position.
SRC-LOG-007,logic,The ascent of water vapor is conducive to condensation into cloud droplets.,The ascent of water vapor is conducive to condensation into cloud droplets.,HUMAN_REVIEW,HUMAN_REQUIRED,needs_human_review,yes,partial,low,low,12,medium,earth_science,not_recorded,https://www.jpl.nasa.gov/edu/resources/project/make-a-cloud-in-a-bottle/,Copied from the historical Task 057 audit for an unchanged response/card position.
SRC-LOG-008,logic,The superposition of tidal effects can generate stronger tides.,The superposition of tidal effects can generate stronger tides.,HUMAN_REVIEW,HUMAN_REQUIRED,needs_human_review,yes,partial,low,low,9,medium,earth_science,not_recorded,https://www.nesdis.noaa.gov/about/k-12-education/oceans-coasts/what-causes-tides,Copied from the historical Task 057 audit for an unchanged response/card position.
SRC-LOG-009,logic,Rainwater can replenish the water table.,Rainwater can replenish the water table.,HUMAN_REVIEW,HUMAN_REQUIRED,needs_human_review,yes,partial,medium,medium,6,medium,earth_science,not_recorded,https://www.usgs.gov/water-science-school/science/infiltration-and-water-cycle,Copied from the historical Task 057 audit for an unchanged response/card position.
SRC-LOG-010,logic,Push or pull can change the motion of an object.,Push or pull can change the motion of an object.,HUMAN_REVIEW,HUMAN_REQUIRED,needs_human_review,yes,partial,low,low,10,medium,general_science,not_recorded,https://openstax.org/books/physics/pages/4-1-force,Copied from the historical Task 057 audit for an unchanged response/card position.
SRC-LOG-011,logic,Collisions that lose kinetic energy are not elastic collisions.,Collisions that lose kinetic energy are not elastic collisions.,ACCEPT_AS_IS,ORIGINAL_PRESERVED,natural,yes,clear,low,low,9,medium,physics,not_recorded,https://openstax.org/books/college-physics/pages/8-3-conservation-of-momentum,Copied from the historical Task 057 audit for an unchanged response/card position.
SRC-LOG-012,logic,Processes without light energy are not photosynthesis.,Processes without light energy are not photosynthesis.,ACCEPT_AS_IS,ORIGINAL_PRESERVED,natural,yes,clear,low,low,7,medium,biology,not_recorded,https://www.khanacademy.org/science/ap-biology/cell-structure-and-function/photosynthesis-ap/a/photosynthesis-overview,Copied from the historical Task 057 audit for an unchanged response/card position.
SRC-LOG-013,logic,Dry pores are not groundwater storage.,Dry pores do not store groundwater.,ACCEPT_SURFACE_NORMALIZED,SURFACE_ONLY_UNCHANGED,surface_normalized,yes,clear,low,low,6,medium,earth_science,not_recorded,https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,Copied from the historical Task 057 audit for an unchanged response/card position.
SRC-LOG-014,logic,Low water levels are not high tide.,Low water levels are not high tide.,ACCEPT_AS_IS,ORIGINAL_PRESERVED,natural,yes,clear,low,low,7,medium,earth_science,not_recorded,https://prod-01-alb-www-noaa.woc.noaa.gov/jetstream/ocean/tides,Copied from the historical Task 057 audit for an unchanged response/card position.
SRC-LOG-015,logic,Features without survival functions are not adaptability.,Features without survival functions are not adaptations.,ACCEPT_SURFACE_NORMALIZED,SURFACE_ONLY_UNCHANGED,surface_normalized,yes,clear,low,low,7,medium,biology,not_recorded,https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,Copied from the historical Task 057 audit for an unchanged response/card position.
SRC-LOG-016,logic,Water vapor eventually turns into precipitation particles.,Water vapor eventually turns into precipitation particles.,HUMAN_REVIEW,HUMAN_REQUIRED,needs_human_review,yes,partial,low,low,7,medium,earth_science,not_recorded,https://gpm.nasa.gov/education/articles/nasa-earth-science-water-cycle,Copied from the historical Task 057 audit for an unchanged response/card position.
SRC-LOG-017,logic,Solar energy drives the evaporation of water into the atmospheric circulation.,Solar energy drives the evaporation of water into the atmospheric circulation.,HUMAN_REVIEW,HUMAN_REQUIRED,needs_human_review,yes,partial,low,low,11,medium,physics,not_recorded,https://gpm.nasa.gov/education/articles/nasa-earth-science-water-cycle,Copied from the historical Task 057 audit for an unchanged response/card position.
SRC-LOG-018,logic,The moon has a greater influence on tides than the sun.,The moon has a greater influence on tides than the sun.,ACCEPT_AS_IS,ORIGINAL_PRESERVED,natural,yes,clear,low,low,11,medium,earth_science,not_recorded,https://www.nesdis.noaa.gov/about/k-12-education/oceans-coasts/what-causes-tides,Copied from the historical Task 057 audit for an unchanged response/card position.
SRC-LOG-019,logic,Connected pores allow water movement.,Connected pores allow water movement.,HUMAN_REVIEW,HUMAN_REQUIRED,needs_human_review,yes,partial,low,low,5,short,earth_science,not_recorded,https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,Copied from the historical Task 057 audit for an unchanged response/card position.
SRC-LOG-020,logic,Net force changes speed.,Net force changes speed.,HUMAN_REVIEW,HUMAN_REQUIRED,needs_human_review,yes,partial,low,low,4,short,physics,not_recorded,https://openstax.org/books/physics/pages/4-1-force,Copied from the historical Task 057 audit for an unchanged response/card position.
SRC-LOG-021,logic,The momentum of a vehicle is equal to the product of its mass and velocity.,The momentum of a vehicle is equal to the product of its mass and velocity.,ACCEPT_AS_IS,ORIGINAL_PRESERVED,natural,yes,clear,low,low,15,limited_long,physics,not_recorded,https://openstax.org/books/college-physics/pages/8-3-conservation-of-momentum,Copied from the historical Task 057 audit for an unchanged response/card position.
SRC-LOG-022,logic,Rising steam cools and condenses to form clouds.,Rising steam cools and condenses to form clouds.,HUMAN_REVIEW,HUMAN_REQUIRED,needs_human_review,yes,partial,low,low,8,medium,earth_science,not_recorded,https://www.jpl.nasa.gov/edu/resources/project/make-a-cloud-in-a-bottle/,Copied from the historical Task 057 audit for an unchanged response/card position.
SRC-LOG-023,logic,Precipitation can penetrate the ground and replenish groundwater.,Precipitation can penetrate the ground and replenish groundwater.,HUMAN_REVIEW,HUMAN_REQUIRED,needs_human_review,yes,partial,low,low,8,medium,earth_science,not_recorded,https://www.usgs.gov/water-science-school/science/infiltration-and-water-cycle,Copied from the historical Task 057 audit for an unchanged response/card position.
SRC-LOG-024,logic,"The gravitational pull of the moon and the sun causes ocean responses, thereby forming tides.","The gravitational pull of the moon and the sun causes ocean responses, thereby forming tides.",HUMAN_REVIEW,HUMAN_REQUIRED,needs_human_review,yes,partial,low,low,15,limited_long,earth_science,not_recorded,https://www.nesdis.noaa.gov/about/k-12-education/oceans-coasts/what-causes-tides,Copied from the historical Task 057 audit for an unchanged response/card position.
SRC-LOG-025,logic,Adaptability improves for foraging or movement.,Adaptability improves for foraging or movement.,REJECT,NOT_APPLICABLE,class_mismatch_or_unusable,no,mismatched,low,low,6,medium,biology,not_recorded,https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,Copied from the historical Task 057 audit for an unchanged response/card position.
SRC-CAU-001,causality,Net force causes changes in the motion of an object.,Net force causes changes in the motion of an object.,ACCEPT_AS_IS,ORIGINAL_PRESERVED,natural,yes,clear,medium,medium,10,medium,physics,not_recorded,https://openstax.org/books/physics/pages/4-1-force,Copied from the historical Task 057 audit for an unchanged response/card position.
SRC-CAU-002,causality,A longer duration of force action leads to greater changes in impulse and momentum.,A longer duration of force action leads to greater changes in impulse and momentum.,HUMAN_REVIEW,HUMAN_REQUIRED,needs_human_review,yes,partial,low,low,14,limited_long,physics,not_recorded,https://openstax.org/books/college-physics/pages/8-3-conservation-of-momentum,Copied from the historical Task 057 audit for an unchanged response/card position.
SRC-CAU-003,causality,Elastic collisions transfer momentum between vehicles of equal mass.,Elastic collisions transfer momentum between vehicles of equal mass.,ACCEPT_AS_IS,ORIGINAL_PRESERVED,natural,yes,clear,low,low,9,medium,physics,not_recorded,https://openstax.org/books/college-physics/pages/8-3-conservation-of-momentum,Copied from the historical Task 057 audit for an unchanged response/card position.
SRC-CAU-004,causality,External forces cause a change in the total momentum of a system.,External forces cause a change in the total momentum of a system.,ACCEPT_AS_IS,ORIGINAL_PRESERVED,natural,yes,clear,low,low,12,medium,physics,not_recorded,https://openstax.org/books/college-physics/pages/8-3-conservation-of-momentum,Copied from the historical Task 057 audit for an unchanged response/card position.
SRC-CAU-005,causality,Changes in velocity can change momentum.,Changes in velocity can change momentum.,HUMAN_REVIEW,HUMAN_REQUIRED,needs_human_review,yes,partial,low,low,6,medium,physics,not_recorded,https://openstax.org/books/college-physics/pages/8-3-conservation-of-momentum,Copied from the historical Task 057 audit for an unchanged response/card position.
SRC-CAU-006,causality,Photosynthesis absorbs solar energy and can store chemical energy in carbohydrates.,Photosynthesis absorbs solar energy and can store chemical energy in carbohydrates.,ACCEPT_AS_IS,ORIGINAL_PRESERVED,natural,yes,clear,low,low,11,medium,biology,not_recorded,https://openstax.org/books/concepts-biology/pages/5-1-overview-of-photosynthesis,Copied from the historical Task 057 audit for an unchanged response/card position.
SRC-CAU-007,causality,Photosynthesis uses water and carbon dioxide to produce sugar and oxygen.,Photosynthesis uses water and carbon dioxide to produce sugar and oxygen.,ACCEPT_AS_IS,ORIGINAL_PRESERVED,natural,yes,clear,low,low,11,medium,biology,not_recorded,https://openstax.org/books/concepts-biology/pages/5-1-overview-of-photosynthesis,Copied from the historical Task 057 audit for an unchanged response/card position.
SRC-CAU-008,causality,Chlorophyll absorbs light for the purpose of photosynthesis.,Chlorophyll absorbs light for photosynthesis.,ACCEPT_SURFACE_NORMALIZED,SURFACE_ONLY_UNCHANGED,surface_normalized,yes,clear,low,low,8,medium,biology,not_recorded,https://www.khanacademy.org/science/ap-biology/cell-structure-and-function/photosynthesis-ap/a/photosynthesis-overview,Copied from the historical Task 057 audit for an unchanged response/card position.
SRC-CAU-009,causality,Closing stomata reduces water loss in plants.,Closing stomata reduces water loss in plants.,ACCEPT_AS_IS,ORIGINAL_PRESERVED,natural,yes,clear,low,low,7,medium,biology,not_recorded,https://openstax.org/books/concepts-biology/pages/5-1-overview-of-photosynthesis,Copied from the historical Task 057 audit for an unchanged response/card position.
SRC-CAU-010,causality,"The pattern of feathers blends with the environment, enabling owls to hide through camouflage.","The pattern of feathers blends with the environment, enabling owls to hide through camouflage.",ACCEPT_AS_IS,ORIGINAL_PRESERVED,natural,yes,clear,low,low,14,limited_long,biology,not_recorded,https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,Copied from the historical Task 057 audit for an unchanged response/card position.
SRC-CAU-011,causality,Sunlight heating surface water causes liquid water to evaporate.,"Sunlight heats surface water, causing liquid water to evaporate.",ACCEPT_SURFACE_NORMALIZED,SURFACE_ONLY_UNCHANGED,surface_normalized,yes,clear,medium,medium,9,medium,physics,not_recorded,https://gpm.nasa.gov/education/articles/nasa-earth-science-water-cycle,Copied from the historical Task 057 audit for an unchanged response/card position.
SRC-CAU-012,causality,"Water vapor rises to cooler air, condenses to form cloud droplets.",Water vapor rises into cooler air and condenses to form cloud droplets.,ACCEPT_SURFACE_NORMALIZED,SURFACE_ONLY_UNCHANGED,surface_normalized,yes,clear,medium,medium,11,medium,earth_science,not_recorded,https://www.jpl.nasa.gov/edu/resources/project/make-a-cloud-in-a-bottle/,Copied from the historical Task 057 audit for an unchanged response/card position.
SRC-CAU-013,causality,"Changes in the gravitational pull of the moon cause tidal forces, causing the ocean to bulge.","Changes in the Moon's gravitational pull create tidal forces, causing the ocean to bulge.",ACCEPT_SURFACE_NORMALIZED,SURFACE_ONLY_UNCHANGED,surface_normalized,yes,clear,medium,medium,16,limited_long,physics,not_recorded,https://www.nesdis.noaa.gov/about/k-12-education/oceans-coasts/what-causes-tides,Copied from the historical Task 057 audit for an unchanged response/card position.
SRC-CAU-014,causality,Precipitation infiltration can replenish groundwater.,Infiltration of precipitation can replenish groundwater.,ACCEPT_SURFACE_NORMALIZED,SURFACE_ONLY_UNCHANGED,surface_normalized,yes,clear,medium,medium,5,short,earth_science,not_recorded,https://www.usgs.gov/water-science-school/science/infiltration-and-water-cycle,Copied from the historical Task 057 audit for an unchanged response/card position.
SRC-CAU-015,causality,Extraction faster than infiltration causes the groundwater level to drop.,Groundwater extraction faster than infiltration causes the groundwater level to drop.,ACCEPT_SURFACE_NORMALIZED,SURFACE_ONLY_UNCHANGED,surface_normalized,yes,clear,medium,medium,10,medium,earth_science,not_recorded,https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,Copied from the historical Task 057 audit for an unchanged response/card position.
SRC-CAU-016,causality,Warm water vapor contacting a cold container will condense into liquid droplets.,"When warm water vapor contacts a cold container, it condenses into liquid droplets.",ACCEPT_SURFACE_NORMALIZED,SURFACE_ONLY_UNCHANGED,surface_normalized,yes,clear,medium,medium,12,medium,earth_science,not_recorded,https://www.jpl.nasa.gov/edu/resources/project/make-a-cloud-in-a-bottle/,Copied from the historical Task 057 audit for an unchanged response/card position.
SRC-CAU-017,causality,Rainfall infiltration can allow water in the permeable ground to enter the underground.,Rainfall infiltration can allow water in the permeable ground to enter the underground.,HUMAN_REVIEW,HUMAN_REQUIRED,needs_human_review,yes,partial,medium,medium,13,limited_long,earth_science,not_recorded,https://www.usgs.gov/water-science-school/science/infiltration-and-water-cycle,Copied from the historical Task 057 audit for an unchanged response/card position.
SRC-CAU-018,causality,"Bale plates retain prey, enabling whales to filter-feed.","Bale plates retain prey, enabling whales to filter-feed.",HUMAN_REVIEW,HUMAN_REQUIRED,needs_human_review,yes,partial,low,low,9,medium,biology,not_recorded,https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,Copied from the historical Task 057 audit for an unchanged response/card position.
SRC-CAU-019,causality,Gravity causes surface water to flow downward to lower areas.,Gravity causes surface water to flow downward to lower areas.,ACCEPT_AS_IS,ORIGINAL_PRESERVED,natural,yes,clear,medium,medium,10,medium,earth_science,not_recorded,https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,Copied from the historical Task 057 audit for an unchanged response/card position.
SRC-CAU-020,causality,A long tail can improve balance.,A long tail can improve balance.,ACCEPT_AS_IS,ORIGINAL_PRESERVED,natural,yes,clear,low,low,6,medium,general_science,not_recorded,https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,Copied from the historical Task 057 audit for an unchanged response/card position.
SRC-CAU-021,causality,Satellite measurement of precipitation enables scientists to monitor large-scale rainfall.,Satellite measurement of precipitation enables scientists to monitor large-scale rainfall.,ACCEPT_AS_IS,ORIGINAL_PRESERVED,natural,yes,clear,low,low,11,medium,technology,not_recorded,https://gpm.nasa.gov/education/articles/nasa-earth-science-water-cycle,Copied from the historical Task 057 audit for an unchanged response/card position.
SRC-CAU-022,causality,Wells reaching aquifers can extract groundwater.,Wells reaching aquifers can extract groundwater.,ACCEPT_AS_IS,ORIGINAL_PRESERVED,natural,yes,clear,low,low,6,medium,technology,not_recorded,https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,Copied from the historical Task 057 audit for an unchanged response/card position.
SRC-CAU-023,causality,Cooling water vapor forms visible clouds.,Cooling water vapor forms visible clouds.,ACCEPT_AS_IS,ORIGINAL_PRESERVED,natural,yes,clear,low,low,6,medium,earth_science,not_recorded,https://www.jpl.nasa.gov/edu/resources/project/make-a-cloud-in-a-bottle/,Copied from the historical Task 057 audit for an unchanged response/card position.
SRC-CAU-024,causality,The speed at which a force is applied may change.,The speed at which a force is applied may change.,HUMAN_REVIEW,HUMAN_REQUIRED,needs_human_review,no,partial,low,low,10,medium,physics,not_recorded,https://openstax.org/books/physics/pages/4-1-force,Copied from the historical Task 057 audit for an unchanged response/card position.
SRC-CAU-025,causality,A measuring system tracking the tide level can record high and low tides for prediction.,A measuring system tracking the tide level can record high and low tides for prediction.,ACCEPT_AS_IS,ORIGINAL_PRESERVED,natural,yes,clear,low,low,15,limited_long,earth_science,not_recorded,https://prod-01-alb-www-noaa.woc.noaa.gov/jetstream/ocean/tides,Copied from the historical Task 057 audit for an unchanged response/card position.
