candidate_id,task_class,response_text,flag_type,matched_candidate_id,similarity_value_if_available,human_redundancy_decision,human_notes
GAP-ANA-005,analogy,"A thermostat regulates temperature, and a traffic signal regulates movement.",repeated_three_word_prefix;tfidf_char_cosine_ge_0.55,GAP-ANA-024,0.6572,,
GAP-ANA-015,analogy,"Earth's tilt changes seasonal sunlight, and a dimmer changes lamp brightness.",repeated_three_word_prefix;tfidf_char_cosine_ge_0.55,GAP-CAU-012,0.6123,,
GAP-ANA-018,analogy,"A food web links feeding relationships, and a transit map links travel routes.",repeated_three_word_prefix,GAP-DEF-016,,,
GAP-ANA-023,analogy,"Friction slows a wheel, and a brake slows a bicycle.",repeated_three_word_prefix,GAP-CAU-001,,,
GAP-ANA-024,analogy,"A thermostat regulates room temperature, and a metronome regulates timing.",repeated_three_word_prefix;tfidf_char_cosine_ge_0.55,GAP-ANA-005,0.6572,,
GAP-CAU-001,causality,Friction slows a rolling ball on the floor.,repeated_three_word_prefix,GAP-ANA-023,,,
GAP-CAU-012,causality,Earth's tilt changes seasonal sunlight exposure.,repeated_three_word_prefix;tfidf_char_cosine_ge_0.55,GAP-ANA-015,0.6123,,
GAP-CAU-014,causality,Photosynthesis stores solar energy in carbohydrates.,tfidf_char_cosine_ge_0.55,GAP-LOG-027;SRC-CAU-006,0.5674;0.6939,,
GAP-CAU-017,causality,An unbalanced force changes an object's velocity.,tfidf_char_cosine_ge_0.55,GAP-LOG-033,0.7512,,
GAP-CAU-023,causality,Closing plant stomata reduces water loss.,tfidf_char_cosine_ge_0.55,SRC-CAU-009,0.7506,,
GAP-DEF-012,definition,A force is an interaction that can change motion.,tfidf_char_cosine_ge_0.55,SRC-DEF-009,0.7687,,
GAP-DEF-014,definition,Photosynthesis is a process that converts light energy into chemical energy.,repeated_three_word_prefix,SRC-DEF-003,,,
GAP-DEF-016,definition,A food web represents feeding relationships in an ecosystem.,repeated_three_word_prefix,GAP-ANA-018,,,
GAP-DEF-019,definition,"The immune system is a group of cells, tissues, and organs that protects the body.",repeated_three_word_prefix,SRC-ANA-025,,,
GAP-DEF-025,definition,Evaporation is the change of liquid water into vapor.,repeated_three_word_prefix;tfidf_char_cosine_ge_0.55,SRC-DEF-002,0.6370,,
GAP-LOG-027,logic,"If photosynthesis stores energy in carbohydrates, those molecules contain captured energy.",tfidf_char_cosine_ge_0.55,GAP-CAU-014,0.5674,,
GAP-LOG-033,logic,"If an unbalanced force acts, an object's velocity can change.",tfidf_char_cosine_ge_0.55,GAP-CAU-017,0.7512,,
SRC-ANA-004,analogy,"Chlorophyll absorbs light energy for photosynthesis, while solar panels receive sunlight to generate electricity; the principles are similar.",repeated_three_word_prefix,SRC-CAU-008,,,
SRC-ANA-025,analogy,"The immune system forms barriers against bacteria, while fences block foreign substances; both protect against intrusion.",repeated_three_word_prefix,GAP-DEF-019,,,
SRC-CAU-006,causality,Photosynthesis absorbs solar energy and can store chemical energy in carbohydrates.,tfidf_char_cosine_ge_0.55,GAP-CAU-014,0.6939,,
SRC-CAU-008,causality,Chlorophyll absorbs light for photosynthesis.,repeated_three_word_prefix,SRC-ANA-004,,,
SRC-CAU-009,causality,Closing stomata reduces water loss in plants.,tfidf_char_cosine_ge_0.55,GAP-CAU-023,0.7506,,
SRC-DEF-002,definition,Evaporation is the phase change that turns liquid water into water vapor.,repeated_three_word_prefix;tfidf_char_cosine_ge_0.55,GAP-DEF-025,0.6370,,
SRC-DEF-003,definition,Photosynthesis is a biological energy process that uses light energy to help synthesize carbohydrates.,repeated_three_word_prefix,GAP-DEF-014,,,
SRC-DEF-009,definition,Force is the physical interaction that can change motion.,tfidf_char_cosine_ge_0.55,GAP-DEF-012,0.7687,,
