example_id,response_text,intended_task_class,self_contained,natural_language_quality,lexical_giveaway,task_ambiguity,notes
exp019_analogy_143,The daily compass relation corresponds to the vane relation because both connect a condition with an outcome.,analogy,,,,,
exp019_logic_062,"When the ordinary filter condition holds, the stated rule requires behind as its conclusion.",logic,,,,,
exp019_definition_152,A daily cube is a familiar object whose role is described by its practical use in a system.,definition,,,,,
exp019_causality_174,Practical light triggers shines.,causality,,,,,
exp019_analogy_147,Daily sharpener parallels grater.,analogy,,,,,
exp019_definition_091,The shared thermos refers to an object used for a purpose.,definition,,,,,
exp019_analogy_083,The shared signal relation corresponds to the bell relation because both connect a condition with an outcome.,analogy,,,,,
exp019_logic_098,"When the familiar light condition holds, the stated rule requires shines as its conclusion.",logic,,,,,
exp019_definition_129,A simple thermos has purpose.,definition,,,,,
exp019_causality_087,Shared ruler triggers read.,causality,,,,,
exp019_causality_159,Local signal triggers proceed.,causality,,,,,
exp019_definition_061,The ordinary thermometer refers to an object used for a purpose.,definition,,,,,
exp019_definition_041,A observed light is a familiar object whose role is described by its practical use in a system.,definition,,,,,
exp019_definition_134,A daily timer is a familiar object whose role is described by its practical use in a system.,definition,,,,,
exp019_definition_078,Shared gauge denotes purpose.,definition,,,,,
exp019_analogy_127,The simple panel relation matches the windmill relation in structure.,analogy,,,,,
exp019_causality_036,Nearby pulley state yields outcome.,causality,,,,,
exp019_definition_095,A shared cube is a familiar object whose role is described by its practical use in a system.,definition,,,,,
exp019_logic_090,Shared sharpener entails removed.,logic,,,,,
exp019_logic_097,"If the familiar gauge condition holds, rises follows under the rule.",logic,,,,,
exp019_analogy_074,The ordinary pulley relation corresponds to the lever relation because both connect a condition with an outcome.,analogy,,,,,
exp019_analogy_006,Routine tray mirrors sponge's relation.,analogy,,,,,
exp019_causality_160,The local refrigerator condition produces heat through a simple mechanism.,causality,,,,,
exp019_analogy_087,Shared ruler parallels cup.,analogy,,,,,
exp019_analogy_056,The observed magnet relation corresponds to the vacuum relation because both connect a condition with an outcome.,analogy,,,,,
exp019_analogy_122,The simple refrigerator relation corresponds to the bottle relation because both connect a condition with an outcome.,analogy,,,,,
exp019_logic_005,"When the routine filter condition holds, the stated rule requires behind as its conclusion.",logic,,,,,
