candidate_id,task_class,response_text,provenance,source_reference,topic_domain,length_tokens,length_band
SRC-LOG-006,logic,Isolated systems conserve momentum.,not_recorded,https://openstax.org/books/college-physics/pages/8-3-conservation-of-momentum,physics,4,short
SRC-LOG-011,logic,Collisions that lose kinetic energy are not elastic collisions.,not_recorded,https://openstax.org/books/college-physics/pages/8-3-conservation-of-momentum,physics,9,medium
SRC-LOG-012,logic,Processes without light energy are not photosynthesis.,not_recorded,https://www.khanacademy.org/science/ap-biology/cell-structure-and-function/photosynthesis-ap/a/photosynthesis-overview,biology,7,medium
SRC-LOG-013,logic,Dry pores do not store groundwater.,not_recorded,https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,earth_science,6,medium
SRC-LOG-014,logic,Low water levels are not high tide.,not_recorded,https://prod-01-alb-www-noaa.woc.noaa.gov/jetstream/ocean/tides,earth_science,7,medium
SRC-LOG-015,logic,Features without survival functions are not adaptations.,not_recorded,https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,biology,7,medium
SRC-LOG-018,logic,The moon has a greater influence on tides than the sun.,not_recorded,https://www.nesdis.noaa.gov/about/k-12-education/oceans-coasts/what-causes-tides,earth_science,11,medium
SRC-LOG-021,logic,The momentum of a vehicle is equal to the product of its mass and velocity.,not_recorded,https://openstax.org/books/college-physics/pages/8-3-conservation-of-momentum,physics,15,limited_long
SRC-CAU-001,causality,Net force causes changes in the motion of an object.,not_recorded,https://openstax.org/books/physics/pages/4-1-force,physics,10,medium
SRC-CAU-003,causality,Elastic collisions transfer momentum between vehicles of equal mass.,not_recorded,https://openstax.org/books/college-physics/pages/8-3-conservation-of-momentum,physics,9,medium
SRC-CAU-004,causality,External forces cause a change in the total momentum of a system.,not_recorded,https://openstax.org/books/college-physics/pages/8-3-conservation-of-momentum,physics,12,medium
SRC-CAU-006,causality,Photosynthesis absorbs solar energy and can store chemical energy in carbohydrates.,not_recorded,https://openstax.org/books/concepts-biology/pages/5-1-overview-of-photosynthesis,biology,11,medium
SRC-CAU-007,causality,Photosynthesis uses water and carbon dioxide to produce sugar and oxygen.,not_recorded,https://openstax.org/books/concepts-biology/pages/5-1-overview-of-photosynthesis,biology,11,medium
SRC-CAU-008,causality,Chlorophyll absorbs light for photosynthesis.,not_recorded,https://www.khanacademy.org/science/ap-biology/cell-structure-and-function/photosynthesis-ap/a/photosynthesis-overview,biology,8,medium
SRC-CAU-009,causality,Closing stomata reduces water loss in plants.,not_recorded,https://openstax.org/books/concepts-biology/pages/5-1-overview-of-photosynthesis,biology,7,medium
SRC-CAU-010,causality,"The pattern of feathers blends with the environment, enabling owls to hide through camouflage.",not_recorded,https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,biology,14,limited_long
SRC-CAU-011,causality,"Sunlight heats surface water, causing liquid water to evaporate.",not_recorded,https://gpm.nasa.gov/education/articles/nasa-earth-science-water-cycle,physics,9,medium
SRC-CAU-012,causality,Water vapor rises into cooler air and condenses to form cloud droplets.,not_recorded,https://www.jpl.nasa.gov/edu/resources/project/make-a-cloud-in-a-bottle/,earth_science,11,medium
SRC-CAU-013,causality,"Changes in the Moon's gravitational pull create tidal forces, causing the ocean to bulge.",not_recorded,https://www.nesdis.noaa.gov/about/k-12-education/oceans-coasts/what-causes-tides,physics,16,limited_long
SRC-CAU-014,causality,Infiltration of precipitation can replenish groundwater.,not_recorded,https://www.usgs.gov/water-science-school/science/infiltration-and-water-cycle,earth_science,5,short
SRC-CAU-015,causality,Groundwater extraction faster than infiltration causes the groundwater level to drop.,not_recorded,https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,earth_science,10,medium
SRC-CAU-016,causality,"When warm water vapor contacts a cold container, it condenses into liquid droplets.",not_recorded,https://www.jpl.nasa.gov/edu/resources/project/make-a-cloud-in-a-bottle/,earth_science,12,medium
SRC-CAU-019,causality,Gravity causes surface water to flow downward to lower areas.,not_recorded,https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,earth_science,10,medium
SRC-CAU-020,causality,A long tail can improve balance.,not_recorded,https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,general_science,6,medium
SRC-CAU-021,causality,Satellite measurement of precipitation enables scientists to monitor large-scale rainfall.,not_recorded,https://gpm.nasa.gov/education/articles/nasa-earth-science-water-cycle,technology,11,medium
SRC-CAU-022,causality,Wells reaching aquifers can extract groundwater.,not_recorded,https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,technology,6,medium
SRC-CAU-023,causality,Cooling water vapor forms visible clouds.,not_recorded,https://www.jpl.nasa.gov/edu/resources/project/make-a-cloud-in-a-bottle/,earth_science,6,medium
SRC-CAU-025,causality,A measuring system tracking the tide level can record high and low tides for prediction.,not_recorded,https://prod-01-alb-www-noaa.woc.noaa.gov/jetstream/ocean/tides,earth_science,15,limited_long
SRC-DEF-001,definition,"The water cycle is the process of continuous movement of water between land, ocean and atmosphere in the Earth system.",not_recorded,https://gpm.nasa.gov/education/articles/nasa-earth-science-water-cycle,earth_science,20,limited_long
SRC-DEF-002,definition,Evaporation is the phase change that turns liquid water into water vapor.,not_recorded,https://www.jpl.nasa.gov/edu/resources/project/make-a-cloud-in-a-bottle/,earth_science,12,medium
SRC-DEF-003,definition,Photosynthesis is a biological energy process that uses light energy to help synthesize carbohydrates.,not_recorded,https://openstax.org/books/concepts-biology/pages/5-1-overview-of-photosynthesis,biology,14,limited_long
SRC-DEF-005,definition,Groundwater is the underground water resource that fills underground pores or fissures.,not_recorded,https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,earth_science,12,medium
SRC-DEF-006,definition,Momentum is a physical quantity that is the product of mass and velocity.,not_recorded,https://openstax.org/books/college-physics/pages/8-3-conservation-of-momentum,physics,13,limited_long
SRC-DEF-008,definition,Conservation is the physical principle that physical quantities remain unchanged under specific conditions.,not_recorded,https://openstax.org/books/college-physics/pages/8-3-conservation-of-momentum,general_science,13,limited_long
SRC-DEF-009,definition,Force is the physical interaction that can change motion.,not_recorded,https://openstax.org/books/physics/pages/4-1-force,physics,9,medium
SRC-DEF-010,definition,Acceleration is the physical quantity that describes the change in velocity over time.,not_recorded,https://openstax.org/books/physics/pages/4-1-force,physics,13,limited_long
SRC-DEF-011,definition,Well is a water extraction structure that reaches groundwater for extraction.,not_recorded,https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,technology,11,medium
SRC-DEF-013,definition,Flippers are the animal body structure that helps whales turn in water.,not_recorded,https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,biology,12,medium
SRC-DEF-015,definition,Feather camouflage is the animal adaptation that blends the animal with the surrounding environment.,not_recorded,https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,biology,14,limited_long
SRC-DEF-016,definition,Satellite precipitation sensor is a remote sensing instrument that measures precipitation information from orbit.,not_recorded,https://gpm.nasa.gov/education/articles/nasa-earth-science-water-cycle,technology,14,limited_long
SRC-DEF-017,definition,Well pump is a water transportation device that lifts groundwater to the surface.,not_recorded,https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,technology,13,limited_long
SRC-DEF-018,definition,Tide gauge is an environmental measurement instrument that records changes in water level.,not_recorded,https://prod-01-alb-www-noaa.woc.noaa.gov/jetstream/ocean/tides,technology,13,limited_long
SRC-DEF-019,definition,Chlorophyll sensor is a light-sensitive measuring tool that detects or studies light absorption.,not_recorded,https://openstax.org/books/concepts-biology/pages/5-1-overview-of-photosynthesis,technology,14,limited_long
SRC-DEF-020,definition,Filter surface is a separation mechanism that allows water to pass through and retains particles.,not_recorded,https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,technology,15,limited_long
SRC-DEF-021,definition,Adaptability is the biological characteristic that helps organisms survive in their environment.,not_recorded,https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,biology,12,medium
SRC-DEF-022,definition,Immune system is the body defense system that detects and helps remove harmful substances.,not_recorded,https://nigms.nih.gov/biobeat/2023/12/what-is-the-immune-system,biology,14,limited_long
SRC-DEF-023,definition,Aquifer is the water-bearing geological layer that stores and transmits available groundwater.,not_recorded,https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,earth_science,13,limited_long
SRC-DEF-025,definition,Chloroplast is the cellular organelle of plants that contains the photosynthesis mechanism.,not_recorded,https://openstax.org/books/concepts-biology/pages/5-1-overview-of-photosynthesis,biology,12,medium
SRC-ANA-001,analogy,"Whale flippers help turning in water, while human arms help control body movement.",not_recorded,https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,biology,13,limited_long
SRC-ANA-002,analogy,"The well pump can lift groundwater, while the irrigation pump delivers water to plants; both are transporting water.",not_recorded,https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,technology,18,limited_long
SRC-ANA-003,analogy,"Satellite sensors observe rainfall, while tide gauges record shore water levels; both monitor water.",not_recorded,https://gpm.nasa.gov/education/articles/nasa-earth-science-water-cycle,technology,14,limited_long
SRC-ANA-004,analogy,"Chlorophyll absorbs light energy for photosynthesis, while solar panels receive sunlight to generate electricity; the principles are similar.",not_recorded,https://openstax.org/books/concepts-biology/pages/5-1-overview-of-photosynthesis,technology,18,limited_long
SRC-ANA-005,analogy,"Microscopes make tiny structures clearer, while telescopes bring distant objects closer; both expand vision.",not_recorded,https://www.khanacademy.org/science/ap-biology/cell-structure-and-function/photosynthesis-ap/a/photosynthesis-overview,technology,14,limited_long
SRC-ANA-006,analogy,"Chloroplasts are parts of plant cells, and leaves are parts of plants; both belong to plant composition.",not_recorded,https://openstax.org/books/concepts-biology/pages/5-1-overview-of-photosynthesis,biology,17,limited_long
SRC-ANA-007,analogy,"Water droplets gather to form clouds, and clouds participate in the water cycle; one layer contains another.",not_recorded,https://www.jpl.nasa.gov/edu/resources/project/make-a-cloud-in-a-bottle/,earth_science,17,limited_long
SRC-ANA-008,analogy,"The water level belongs to the aquifer system, and the aquifer belongs to the groundwater storage system.",not_recorded,https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,earth_science,17,limited_long
SRC-ANA-009,analogy,"Tidal bulges are manifestations of the tidal phenomenon, and the ocean is part of the Earth system.",not_recorded,https://www.nesdis.noaa.gov/about/k-12-education/oceans-coasts/what-causes-tides,earth_science,17,limited_long
SRC-ANA-010,analogy,"Fin-like limbs are long on whales, and wings are long on owls; both are animal limbs.",not_recorded,https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,biology,17,limited_long
SRC-ANA-011,analogy,"Permeable rocks allow groundwater to flow, and porous soil allows rainwater to infiltrate; both have permeability.",not_recorded,https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,earth_science,16,limited_long
SRC-ANA-012,analogy,"Chloroplasts support photosynthesis, and mesophyll supports gas exchange; both support leaf function.",not_recorded,https://openstax.org/books/concepts-biology/pages/5-1-overview-of-photosynthesis,biology,12,medium
SRC-ANA-013,analogy,"Moon gravity mainly forms tidal bulges, while Sun gravity strengthens or weakens them.",not_recorded,https://www.nesdis.noaa.gov/about/k-12-education/oceans-coasts/what-causes-tides,earth_science,13,limited_long
SRC-ANA-014,analogy,"Zero net external force conserves momentum, and isolation keeps total momentum unchanged; the conditions are equivalent.",not_recorded,https://openstax.org/books/college-physics/pages/8-3-conservation-of-momentum,physics,16,limited_long
SRC-ANA-016,analogy,"The aquifer contains groundwater, and clouds contain condensed water droplets; both are containers of water.",not_recorded,https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,earth_science,15,limited_long
SRC-ANA-017,analogy,"Chloroplasts contain the machinery for photosynthesis, and leaves contain mesophyll cells; each has its own content.",not_recorded,https://openstax.org/books/concepts-biology/pages/5-1-overview-of-photosynthesis,biology,16,limited_long
SRC-ANA-018,analogy,"Tidal bulges occur in the ocean, and water vapor is floating in the atmosphere; both are fluid distributions on Earth.",not_recorded,https://www.nesdis.noaa.gov/about/k-12-education/oceans-coasts/what-causes-tides,earth_science,20,limited_long
SRC-ANA-019,analogy,"Bone marrow supplies immune cells, and lymphatic vessels transport them; together they serve immunity.",not_recorded,https://nigms.nih.gov/biobeat/2023/12/what-is-the-immune-system,biology,14,limited_long
SRC-ANA-020,analogy,"Rock pores can store groundwater, and reservoirs can store surface water; both can store water.",not_recorded,https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,earth_science,15,limited_long
