candidate_id,task_class,original_response,normalized_response,audit_status,semantic_guard,naturalness_status,self_contained,task_clarity,lexical_shortcut_risk,redundancy_risk,length_tokens,length_band,topic_domain,provenance,source_reference,audit_reason
SRC-LOG-006,logic,Isolated systems conserve momentum.,Isolated systems conserve momentum.,ACCEPT_AS_IS,ORIGINAL_PRESERVED,natural,yes,clear,low,low,4,short,physics,not_recorded,https://openstax.org/books/college-physics/pages/8-3-conservation-of-momentum,"Task function is clear, the proposition is coherent and self-contained, and no substantive repair is needed."
SRC-LOG-011,logic,Collisions that lose kinetic energy are not elastic collisions.,Collisions that lose kinetic energy are not elastic collisions.,ACCEPT_AS_IS,ORIGINAL_PRESERVED,natural,yes,clear,low,low,9,medium,physics,not_recorded,https://openstax.org/books/college-physics/pages/8-3-conservation-of-momentum,"Task function is clear, the proposition is coherent and self-contained, and no substantive repair is needed."
SRC-LOG-012,logic,Processes without light energy are not photosynthesis.,Processes without light energy are not photosynthesis.,ACCEPT_AS_IS,ORIGINAL_PRESERVED,natural,yes,clear,low,low,7,medium,biology,not_recorded,https://www.khanacademy.org/science/ap-biology/cell-structure-and-function/photosynthesis-ap/a/photosynthesis-overview,"Task function is clear, the proposition is coherent and self-contained, and no substantive repair is needed."
SRC-LOG-013,logic,Dry pores are not groundwater storage.,Dry pores do not store groundwater.,ACCEPT_SURFACE_NORMALIZED,SURFACE_ONLY_UNCHANGED,surface_normalized,yes,clear,low,low,6,medium,earth_science,not_recorded,https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,"Only grammar, wording, or terminology form was minimally normalized; the original proposition is unchanged."
SRC-LOG-014,logic,Low water levels are not high tide.,Low water levels are not high tide.,ACCEPT_AS_IS,ORIGINAL_PRESERVED,natural,yes,clear,low,low,7,medium,earth_science,not_recorded,https://prod-01-alb-www-noaa.woc.noaa.gov/jetstream/ocean/tides,"Task function is clear, the proposition is coherent and self-contained, and no substantive repair is needed."
SRC-LOG-015,logic,Features without survival functions are not adaptability.,Features without survival functions are not adaptations.,ACCEPT_SURFACE_NORMALIZED,SURFACE_ONLY_UNCHANGED,surface_normalized,yes,clear,low,low,7,medium,biology,not_recorded,https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,"Only grammar, wording, or terminology form was minimally normalized; the original proposition is unchanged."
SRC-LOG-018,logic,The moon has a greater influence on tides than the sun.,The moon has a greater influence on tides than the sun.,ACCEPT_AS_IS,ORIGINAL_PRESERVED,natural,yes,clear,low,low,11,medium,earth_science,not_recorded,https://www.nesdis.noaa.gov/about/k-12-education/oceans-coasts/what-causes-tides,"Task function is clear, the proposition is coherent and self-contained, and no substantive repair is needed."
SRC-LOG-021,logic,The momentum of a vehicle is equal to the product of its mass and velocity.,The momentum of a vehicle is equal to the product of its mass and velocity.,ACCEPT_AS_IS,ORIGINAL_PRESERVED,natural,yes,clear,low,low,15,limited_long,physics,not_recorded,https://openstax.org/books/college-physics/pages/8-3-conservation-of-momentum,"Task function is clear, the proposition is coherent and self-contained, and no substantive repair is needed."
SRC-CAU-001,causality,Net force causes changes in the motion of an object.,Net force causes changes in the motion of an object.,ACCEPT_AS_IS,ORIGINAL_PRESERVED,natural,yes,clear,medium,medium,10,medium,physics,not_recorded,https://openstax.org/books/physics/pages/4-1-force,"Task function is clear, the proposition is coherent and self-contained, and no substantive repair is needed."
SRC-CAU-003,causality,Elastic collisions transfer momentum between vehicles of equal mass.,Elastic collisions transfer momentum between vehicles of equal mass.,ACCEPT_AS_IS,ORIGINAL_PRESERVED,natural,yes,clear,low,low,9,medium,physics,not_recorded,https://openstax.org/books/college-physics/pages/8-3-conservation-of-momentum,"Task function is clear, the proposition is coherent and self-contained, and no substantive repair is needed."
