model,layer,split,source_group,target_group,beta,intervention_type,eval_item_id,target_probability,source_probability,target_minus_source_probability,target_prediction_rate,source_prediction_rate
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,causality,0.5,task,logic_para_01,0.97788702908336,0.0009122362596378455,0.9769747928237221,1.0,0.0
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,causality,0.5,task,logic_para_02,0.979552411978006,0.0010936148174009324,0.9784587971606051,1.0,0.0
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,causality,0.5,task,logic_para_03,0.9746554162356315,0.0015893769523194056,0.973066039283312,1.0,0.0
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,causality,0.5,matched_random,logic_para_01,0.23656721069626455,0.5782978016804777,-0.3417305909842132,0.0,1.0
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,causality,0.5,matched_random,logic_para_02,0.21580619315033617,0.6313627546843619,-0.4155565615340257,0.0,1.0
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,causality,0.5,matched_random,logic_para_03,0.16286082886504646,0.6959383967492505,-0.533077567884204,0.0,1.0
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,causality,0.5,opposite,logic_para_01,0.0001706572377269392,0.9903879223360705,-0.9902172650983436,0.0,1.0
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,causality,0.5,opposite,logic_para_02,0.00014299268783771334,0.9931446693469779,-0.9930016766591402,0.0,1.0
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,causality,0.5,opposite,logic_para_03,9.804881539215188e-05,0.9946725665433632,-0.9945745177279711,0.0,1.0
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,causality,0.75,task,logic_para_01,0.9968249326169613,1.8619672691285707e-05,0.99680631294427,1.0,0.0
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,causality,0.75,task,logic_para_02,0.9970360164058719,2.2288562505189814e-05,0.9970137278433667,1.0,0.0
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,causality,0.75,task,logic_para_03,0.9962567792781437,3.252981590178081e-05,0.996224249462242,1.0,0.0
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,causality,0.75,matched_random,logic_para_01,0.238827748748801,0.5984191127848242,-0.3595913640360232,0.0,1.0
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,causality,0.75,matched_random,logic_para_02,0.21613594718823653,0.6481353920810252,-0.4319994448927887,0.0,1.0
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,causality,0.75,matched_random,logic_para_03,0.16223737040747654,0.71060577885713,-0.5483684084496535,0.0,1.0
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,causality,0.75,opposite,logic_para_01,3.4454546992390987e-06,0.9986025312751481,-0.9985990858204489,0.0,1.0
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,causality,0.75,opposite,logic_para_02,2.8801173855957018e-06,0.9990204299609889,-0.9990175498436034,0.0,1.0
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,causality,0.75,opposite,logic_para_03,1.9722899880015596e-06,0.9992497629379891,-0.9992477906480011,0.0,1.0
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,causality,1.0,task,logic_para_01,0.99952912871432,3.7383771262023763e-07,0.9995287548766073,1.0,0.0
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,causality,1.0,task,logic_para_02,0.9995510901096218,4.474151804921203e-07,0.9995506426944414,1.0,0.0
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,causality,1.0,task,logic_para_03,0.9994203475347286,6.534208800781148e-07,0.9994196941138486,1.0,0.0
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,causality,1.0,matched_random,logic_para_01,0.2398734773828657,0.616065063373476,-0.3761915859906103,0.0,1.0
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,causality,1.0,matched_random,logic_para_02,0.21562709959127224,0.6627744433592085,-0.4471473437679363,0.0,1.0
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,causality,1.0,matched_random,logic_para_03,0.16110799627069214,0.7233002440238977,-0.5621922477532055,0.0,1.0
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,causality,1.0,opposite,logic_para_01,6.907149955066609e-08,0.9997939346835877,-0.9997938656120882,0.0,1.0
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,causality,1.0,opposite,logic_para_02,5.7717600517706087e-08,0.9998571198515561,-0.9998570621339556,0.0,1.0
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,causality,1.0,opposite,logic_para_03,3.951703106279827e-08,0.9998919842334069,-0.9998919447163758,0.0,1.0
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,analogy,0.5,task,logic_para_01,0.970988933323282,0.0015427147972896047,0.9694462185259923,1.0,0.0
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,analogy,0.5,task,logic_para_02,0.9627289490262658,0.002292097345565235,0.9604368516807006,1.0,0.0
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,analogy,0.5,task,logic_para_03,0.9597963940607283,0.003184635211721731,0.9566117588490065,1.0,0.0
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,analogy,0.5,matched_random,logic_para_01,0.23901475070783007,0.4627470702266259,-0.22373231951879585,0.0,1.0
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,analogy,0.5,matched_random,logic_para_02,0.181878844496993,0.5276656484981483,-0.34578680400115536,0.0,1.0
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,analogy,0.5,matched_random,logic_para_03,0.14891884592720772,0.6021127855264873,-0.45319393959927956,0.0,1.0
