candidate_id,task_class,raw_response,normalized_response,provenance,source_reference,topic_domain,normalization_status,semantic_guard,length_tokens,length_band,lexical_shortcut_risk,duplicate_risk,acceptance_status,audit_reason
GAP-LOG-001,logic,"If the key is inside the drawer, opening the drawer can reveal it.","If the key is inside the drawer, opening the drawer can reveal it.",rule_composed,rule_composed://deterministic-construction,everyday_life,PASS,UNCHANGED,13,limited_long,descriptive_only,low,ACCEPT_CANDIDATE,Meets frozen length and structural checks; no classifier output used.
GAP-LOG-002,logic,A sealed envelope hides its contents until someone opens it.,A sealed envelope hides its contents until someone opens it.,independent_external,rule_composed://deterministic-construction,everyday_life,PASS,UNCHANGED,10,medium,descriptive_only,low,ACCEPT_CANDIDATE,Meets frozen length and structural checks; no classifier output used.
GAP-LOG-003,logic,A red traffic light signals that cars should stop.,A red traffic light signals that cars should stop.,ai_assisted_surface_normalized,rule_composed://deterministic-construction,everyday_life,PASS,UNCHANGED,9,medium,descriptive_only,low,ACCEPT_CANDIDATE,Meets frozen length and structural checks; no classifier output used.
GAP-LOG-004,logic,Dividing an even number by two leaves no remainder.,Dividing an even number by two leaves no remainder.,rule_composed,rule_composed://deterministic-construction,mathematics,PASS,UNCHANGED,9,medium,descriptive_only,low,ACCEPT_CANDIDATE,Meets frozen length and structural checks; no classifier output used.
GAP-LOG-005,logic,A square has four equal sides.,A square has four equal sides.,independent_external,rule_composed://deterministic-construction,mathematics,PASS,UNCHANGED,6,medium,descriptive_only,low,ACCEPT_CANDIDATE,Meets frozen length and structural checks; no classifier output used.
GAP-LOG-006,logic,A cat is not a reptile.,A cat is not a reptile.,ai_assisted_surface_normalized,rule_composed://deterministic-construction,everyday_life,PASS,UNCHANGED,6,medium,descriptive_only,low,ACCEPT_CANDIDATE,Meets frozen length and structural checks; no classifier output used.
GAP-LOG-007,logic,A book on the left is not on the right of the cup.,A book on the left is not on the right of the cup.,rule_composed,rule_composed://deterministic-construction,spatial_reasoning,PASS,UNCHANGED,13,limited_long,descriptive_only,low,ACCEPT_CANDIDATE,Meets frozen length and structural checks; no classifier output used.
GAP-LOG-008,logic,Schedules with no shared time do not overlap.,Schedules with no shared time do not overlap.,independent_external,rule_composed://deterministic-construction,everyday_life,PASS,UNCHANGED,8,medium,descriptive_only,low,ACCEPT_CANDIDATE,Meets frozen length and structural checks; no classifier output used.
GAP-LOG-009,logic,Three coins plus two coins make five coins.,Three coins plus two coins make five coins.,ai_assisted_surface_normalized,rule_composed://deterministic-construction,mathematics,PASS,UNCHANGED,8,medium,descriptive_only,low,ACCEPT_CANDIDATE,Meets frozen length and structural checks; no classifier output used.
GAP-LOG-010,logic,A password shorter than the required length fails the check.,A password shorter than the required length fails the check.,rule_composed,rule_composed://deterministic-construction,technology,PASS,UNCHANGED,10,medium,descriptive_only,low,ACCEPT_CANDIDATE,Meets frozen length and structural checks; no classifier output used.
GAP-LOG-011,logic,"If the train arrives after the bus, the train is later.","If the train arrives after the bus, the train is later.",independent_external,rule_composed://deterministic-construction,everyday_life,PASS,UNCHANGED,11,medium,descriptive_only,low,ACCEPT_CANDIDATE,Meets frozen length and structural checks; no classifier output used.
GAP-LOG-012,logic,An item outside a box is not inside that box.,An item outside a box is not inside that box.,ai_assisted_surface_normalized,rule_composed://deterministic-construction,spatial_reasoning,PASS,UNCHANGED,10,medium,descriptive_only,low,ACCEPT_CANDIDATE,Meets frozen length and structural checks; no classifier output used.
GAP-LOG-013,logic,"If every class member has an ID, Maya has an ID as a class member.","If every class member has an ID, Maya has an ID as a class member.",rule_composed,rule_composed://deterministic-construction,language,PASS,UNCHANGED,15,limited_long,descriptive_only,low,ACCEPT_CANDIDATE,Meets frozen length and structural checks; no classifier output used.
GAP-LOG-014,logic,Dividing a whole into equal parts makes each part smaller than the whole.,Dividing a whole into equal parts makes each part smaller than the whole.,independent_external,rule_composed://deterministic-construction,mathematics,PASS,UNCHANGED,13,limited_long,descriptive_only,low,ACCEPT_CANDIDATE,Meets frozen length and structural checks; no classifier output used.
GAP-LOG-015,logic,Sets with exactly the same elements have the same size.,Sets with exactly the same elements have the same size.,ai_assisted_surface_normalized,rule_composed://deterministic-construction,mathematics,PASS,UNCHANGED,10,medium,descriptive_only,low,ACCEPT_CANDIDATE,Meets frozen length and structural checks; no classifier output used.
GAP-LOG-016,logic,A route with no connecting road cannot reach its destination by that route.,A route with no connecting road cannot reach its destination by that route.,rule_composed,rule_composed://deterministic-construction,spatial_reasoning,PASS,UNCHANGED,13,limited_long,descriptive_only,low,ACCEPT_CANDIDATE,Meets frozen length and structural checks; no classifier output used.
GAP-LOG-017,logic,A book north of a lamp is not south of the lamp in the same layout.,A book north of a lamp is not south of the lamp in the same layout.,independent_external,rule_composed://deterministic-construction,spatial_reasoning,PASS,UNCHANGED,16,limited_long,descriptive_only,low,ACCEPT_CANDIDATE,Meets frozen length and structural checks; no classifier output used.
GAP-LOG-018,logic,A number divisible by ten ends in zero.,A number divisible by ten ends in zero.,ai_assisted_surface_normalized,rule_composed://deterministic-construction,mathematics,PASS,UNCHANGED,8,medium,descriptive_only,low,ACCEPT_CANDIDATE,Meets frozen length and structural checks; no classifier output used.
GAP-LOG-019,logic,A square is a rectangle with equal sides.,A square is a rectangle with equal sides.,rule_composed,rule_composed://deterministic-construction,mathematics,PASS,UNCHANGED,8,medium,descriptive_only,low,ACCEPT_CANDIDATE,Meets frozen length and structural checks; no classifier output used.
GAP-LOG-020,logic,An object inside a smaller box is also inside a larger box around it.,An object inside a smaller box is also inside a larger box around it.,independent_external,rule_composed://deterministic-construction,spatial_reasoning,PASS,UNCHANGED,14,limited_long,descriptive_only,low,ACCEPT_CANDIDATE,Meets frozen length and structural checks; no classifier output used.
GAP-LOG-021,logic,A ticket dated tomorrow is later than a ticket dated today.,A ticket dated tomorrow is later than a ticket dated today.,ai_assisted_surface_normalized,rule_composed://deterministic-construction,everyday_life,PASS,UNCHANGED,11,medium,descriptive_only,low,ACCEPT_CANDIDATE,Meets frozen length and structural checks; no classifier output used.
GAP-LOG-022,logic,"If every seat is occupied, no seat is available.","If every seat is occupied, no seat is available.",rule_composed,rule_composed://deterministic-construction,everyday_life,PASS,UNCHANGED,9,medium,descriptive_only,low,ACCEPT_CANDIDATE,Meets frozen length and structural checks; no classifier output used.
GAP-LOG-023,logic,A triangle with three sides is a polygon.,A triangle with three sides is a polygon.,independent_external,rule_composed://deterministic-construction,mathematics,PASS,UNCHANGED,8,medium,descriptive_only,low,ACCEPT_CANDIDATE,Meets frozen length and structural checks; no classifier output used.
GAP-LOG-024,logic,"If two routes share no connecting segment, one cannot continue along the other.","If two routes share no connecting segment, one cannot continue along the other.",ai_assisted_surface_normalized,rule_composed://deterministic-construction,spatial_reasoning,PASS,UNCHANGED,13,limited_long,descriptive_only,low,ACCEPT_CANDIDATE,Meets frozen length and structural checks; no classifier output used.
GAP-LOG-025,logic,A larger whole divided into equal pieces gives smaller pieces.,A larger whole divided into equal pieces gives smaller pieces.,rule_composed,rule_composed://deterministic-construction,mathematics,PASS,UNCHANGED,10,medium,descriptive_only,low,ACCEPT_CANDIDATE,Meets frozen length and structural checks; no classifier output used.
