candidate_id,original_response,original_tokens,proposed_response,proposed_tokens,remediation_status,semantic_guard,remediation_notes
SRC-ANA-001,"The fin-like limbs of whales can help them turn in water, just as human arms can assist in controlling body movements.",22,"Whale flippers help turning in water, while human arms help control body movement.",13,SAFE_SURFACE_COMPRESSION,PASS,Removed redundant wording without changing the stated correspondence or proposition.
SRC-ANA-003,"Satellite sensors can observe rainfall from the sky, and the tide gauge records water levels at the shore; both are monitoring water.",22,"Satellite sensors observe rainfall, while tide gauges record shore water levels; both monitor water.",14,SAFE_SURFACE_COMPRESSION,PASS,Removed redundant wording without changing the stated correspondence or proposition.
SRC-ANA-006,"Chloroplasts are part of plant cells, and leaves are part of the plant as a whole; both belong to the composition of plants.",23,"Chloroplasts are parts of plant cells, and leaves are parts of plants; both belong to plant composition.",17,SAFE_SURFACE_COMPRESSION,PASS,Removed redundant wording without changing the stated correspondence or proposition.
SRC-ANA-012,"Chloroplasts are responsible for photosynthesis, and mesophyll is responsible for gas exchange; each performs its own function to support the leaf's function.",22,"Chloroplasts support photosynthesis, and mesophyll supports gas exchange; both support leaf function.",12,SAFE_SURFACE_COMPRESSION,PASS,Removed redundant wording without changing the stated correspondence or proposition.
SRC-ANA-013,"The gravitational pull of the moon mainly causes tidal bulges, while the gravitational pull of the sun enhances or weakens it.",21,"Moon gravity mainly forms tidal bulges, while Sun gravity strengthens or weakens them.",13,SAFE_SURFACE_COMPRESSION,PASS,Removed redundant wording without changing the stated correspondence or proposition.
SRC-ANA-014,"When the net external force is zero, momentum is conserved, and an isolated system ensures the total momentum remains unchanged; the conditions are equivalent.",24,"Zero net external force conserves momentum, and isolation keeps total momentum unchanged; the conditions are equivalent.",16,SAFE_SURFACE_COMPRESSION,PASS,Removed redundant wording without changing the stated correspondence or proposition.
SRC-ANA-019,"Bone marrow produces the raw materials for immune cells, and lymphatic vessels are responsible for transporting them; together they serve the immune system.",23,"Bone marrow supplies immune cells, and lymphatic vessels transport them; together they serve immunity.",14,SAFE_SURFACE_COMPRESSION,PASS,Removed redundant wording without changing the stated correspondence or proposition.
SRC-ANA-021,"Evaporation transports surface water into the atmosphere, and transpiration transports water from the plant body into the atmosphere; the end result is the same.",24,"Evaporation moves surface water into air, and transpiration moves plant water into air; both have the same result.",18,SAFE_SURFACE_COMPRESSION,PASS,Removed redundant wording without changing the stated correspondence or proposition.
SRC-ANA-022,"Force can change the motion state of an object, and heat can change the solid, liquid, and gaseous states of water.",21,"Force changes an object's motion, and heat changes water's solid, liquid, or gas state.",14,SAFE_SURFACE_COMPRESSION,PASS,Removed redundant wording without changing the stated correspondence or proposition.
SRC-ANA-024,"The law of conservation of momentum limits the combination of velocities after a collision, and the law of conservation of energy limits the distribution of energy before and after conversion.",30,"Momentum conservation limits post-collision velocities, while energy conservation limits energy distribution before and after conversion.",16,SAFE_SURFACE_COMPRESSION,PASS,Removed redundant wording without changing the stated correspondence or proposition.
SRC-ANA-025,"The immune system forms a barrier for organisms to resist bacteria, physical barriers (such as fences) prevent foreign substances from entering, and the effects are the same.",27,"The immune system forms barriers against bacteria, while fences block foreign substances; both protect against intrusion.",16,SAFE_SURFACE_COMPRESSION,PASS,Removed redundant wording without changing the stated correspondence or proposition.
