item_id,source_group,target_group,condition,layer,beta,strict_correct,output_token_count,empty_answer,repetition_flag,malformed_flag
exp011_analogy_001,analogy,definition,MATCHED_RANDOM,16,0.75,True,11,False,False,False
exp011_analogy_001,analogy,definition,NO_INTERVENTION,,0.0,True,6,False,False,False
exp011_analogy_001,analogy,definition,OPPOSITE,16,0.75,True,9,False,False,False
exp011_analogy_001,analogy,definition,TASK_REAL,16,0.75,False,9,False,False,False
exp011_analogy_002,analogy,definition,MATCHED_RANDOM,16,0.75,True,15,False,False,False
exp011_analogy_002,analogy,definition,NO_INTERVENTION,,0.0,True,8,False,False,False
exp011_analogy_002,analogy,definition,OPPOSITE,16,0.75,True,9,False,False,False
exp011_analogy_002,analogy,definition,TASK_REAL,16,0.75,False,9,False,False,False
exp011_analogy_003,analogy,definition,MATCHED_RANDOM,16,0.75,False,9,False,False,False
exp011_analogy_003,analogy,definition,NO_INTERVENTION,,0.0,False,9,False,False,False
exp011_analogy_003,analogy,definition,OPPOSITE,16,0.75,False,9,False,False,False
exp011_analogy_003,analogy,definition,TASK_REAL,16,0.75,False,8,False,False,False
exp011_analogy_004,analogy,definition,MATCHED_RANDOM,16,0.75,False,10,False,False,False
exp011_analogy_004,analogy,definition,NO_INTERVENTION,,0.0,False,9,False,False,False
exp011_analogy_004,analogy,definition,OPPOSITE,16,0.75,False,9,False,False,False
exp011_analogy_004,analogy,definition,TASK_REAL,16,0.75,False,7,False,False,False
exp011_analogy_005,analogy,definition,MATCHED_RANDOM,16,0.75,True,11,False,False,False
exp011_analogy_005,analogy,definition,NO_INTERVENTION,,0.0,True,6,False,False,False
exp011_analogy_005,analogy,definition,OPPOSITE,16,0.75,True,10,False,False,False
exp011_analogy_005,analogy,definition,TASK_REAL,16,0.75,False,7,False,False,False
exp011_analogy_006,analogy,definition,MATCHED_RANDOM,16,0.75,True,15,False,False,False
exp011_analogy_006,analogy,definition,NO_INTERVENTION,,0.0,False,6,False,False,False
exp011_analogy_006,analogy,definition,OPPOSITE,16,0.75,True,9,False,False,False
exp011_analogy_006,analogy,definition,TASK_REAL,16,0.75,False,9,False,False,False
exp011_analogy_007,analogy,definition,MATCHED_RANDOM,16,0.75,True,10,False,False,False
exp011_analogy_007,analogy,definition,NO_INTERVENTION,,0.0,True,7,False,False,False
exp011_analogy_007,analogy,definition,OPPOSITE,16,0.75,True,9,False,False,False
exp011_analogy_007,analogy,definition,TASK_REAL,16,0.75,False,7,False,False,False
exp011_analogy_008,analogy,definition,MATCHED_RANDOM,16,0.75,True,7,False,False,False
exp011_analogy_008,analogy,definition,NO_INTERVENTION,,0.0,True,7,False,False,False
exp011_analogy_008,analogy,definition,OPPOSITE,16,0.75,True,9,False,False,False
exp011_analogy_008,analogy,definition,TASK_REAL,16,0.75,True,7,False,False,False
exp011_analogy_009,analogy,definition,MATCHED_RANDOM,16,0.75,False,7,False,False,False
exp011_analogy_009,analogy,definition,NO_INTERVENTION,,0.0,False,7,False,False,False
exp011_analogy_009,analogy,definition,OPPOSITE,16,0.75,True,6,False,False,False
exp011_analogy_009,analogy,definition,TASK_REAL,16,0.75,False,8,False,False,False
exp011_analogy_010,analogy,definition,MATCHED_RANDOM,16,0.75,False,7,False,False,False
exp011_analogy_010,analogy,definition,NO_INTERVENTION,,0.0,False,6,False,False,False
exp011_analogy_010,analogy,definition,OPPOSITE,16,0.75,False,7,False,False,False
exp011_analogy_010,analogy,definition,TASK_REAL,16,0.75,True,7,False,False,False
exp011_analogy_011,analogy,definition,MATCHED_RANDOM,16,0.75,True,29,False,False,True
exp011_analogy_011,analogy,definition,NO_INTERVENTION,,0.0,True,7,False,False,False
exp011_analogy_011,analogy,definition,OPPOSITE,16,0.75,True,9,False,False,False
exp011_analogy_011,analogy,definition,TASK_REAL,16,0.75,True,32,False,False,True
exp011_analogy_012,analogy,definition,MATCHED_RANDOM,16,0.75,False,32,False,False,True
exp011_analogy_012,analogy,definition,NO_INTERVENTION,,0.0,False,7,False,False,False
exp011_analogy_012,analogy,definition,OPPOSITE,16,0.75,True,9,False,False,False
exp011_analogy_012,analogy,definition,TASK_REAL,16,0.75,True,6,False,False,False
exp011_analogy_013,analogy,definition,MATCHED_RANDOM,16,0.75,True,11,False,False,False
exp011_analogy_013,analogy,definition,NO_INTERVENTION,,0.0,True,15,False,False,False
exp011_analogy_013,analogy,definition,OPPOSITE,16,0.75,True,10,False,False,False
exp011_analogy_013,analogy,definition,TASK_REAL,16,0.75,False,7,False,False,False
exp011_analogy_014,analogy,definition,MATCHED_RANDOM,16,0.75,True,7,False,False,False
exp011_analogy_014,analogy,definition,NO_INTERVENTION,,0.0,True,6,False,False,False
exp011_analogy_014,analogy,definition,OPPOSITE,16,0.75,True,6,False,False,False
exp011_analogy_014,analogy,definition,TASK_REAL,16,0.75,True,7,False,False,False
exp011_analogy_015,analogy,definition,MATCHED_RANDOM,16,0.75,True,23,False,False,True
exp011_analogy_015,analogy,definition,NO_INTERVENTION,,0.0,True,6,False,False,False
exp011_analogy_015,analogy,definition,OPPOSITE,16,0.75,True,10,False,False,False
exp011_analogy_015,analogy,definition,TASK_REAL,16,0.75,True,11,False,False,False
exp011_analogy_016,analogy,definition,MATCHED_RANDOM,16,0.75,False,8,False,False,False
exp011_analogy_016,analogy,definition,NO_INTERVENTION,,0.0,False,7,False,False,False
exp011_analogy_016,analogy,definition,OPPOSITE,16,0.75,True,11,False,False,False
exp011_analogy_016,analogy,definition,TASK_REAL,16,0.75,False,9,False,False,False
exp011_analogy_017,analogy,definition,MATCHED_RANDOM,16,0.75,False,7,False,False,False
exp011_analogy_017,analogy,definition,NO_INTERVENTION,,0.0,False,8,False,False,False
exp011_analogy_017,analogy,definition,OPPOSITE,16,0.75,False,6,False,False,False
exp011_analogy_017,analogy,definition,TASK_REAL,16,0.75,False,9,False,False,False
exp011_analogy_018,analogy,definition,MATCHED_RANDOM,16,0.75,False,30,False,False,True
exp011_analogy_018,analogy,definition,NO_INTERVENTION,,0.0,False,7,False,False,False
exp011_analogy_018,analogy,definition,OPPOSITE,16,0.75,False,10,False,False,False
exp011_analogy_018,analogy,definition,TASK_REAL,16,0.75,False,17,False,False,False
