example_id,content_family_id,task_class,response_text,split,provenance,length_tokens,length_band,template_family,paraphrase_family_id,lexical_challenge,notes
exp019_logic_001,cf_001,logic,"The routine timer condition holds, so rings follows.",train,rule_composed,8,medium,logic_medium_1,cf_001,true,label_quality=clear; constructed from a balanced content family
exp019_causality_001,cf_001,causality,Rings follows when the routine timer mechanism activates.,train,rule_composed,8,medium,causality_medium_1,cf_001,true,label_quality=clear; constructed from a balanced content family
exp019_analogy_001,cf_001,analogy,"Like the kettle, the routine timer connects condition and outcome.",train,rule_composed,10,medium,analogy_medium_1,cf_001,true,label_quality=clear; constructed from a balanced content family
exp019_definition_001,cf_001,definition,The routine timer refers to an object used for a purpose.,train,rule_composed,11,medium,definition_medium_1,cf_001,true,label_quality=clear; constructed from a balanced content family
exp019_logic_002,cf_002,logic,"When the routine gauge condition holds, the stated rule requires rises as its conclusion.",train,rule_composed,14,limited_long,logic_limited_long_2,cf_002,true,label_quality=clear; constructed from a balanced content family
exp019_causality_002,cf_002,causality,A change in the routine gauge condition leads to rises through the system's ordinary mechanism.,train,rule_composed,15,limited_long,causality_limited_long_2,cf_002,true,label_quality=clear; constructed from a balanced content family
exp019_analogy_002,cf_002,analogy,The routine gauge relation corresponds to the gauge relation as a result both connect a condition with an outcome.,train,rule_composed,19,limited_long,analogy_limited_long_2,cf_002,true,label_quality=clear; constructed from a balanced content family
exp019_definition_002,cf_002,definition,A routine gauge is a familiar object whose role is described by its practical use in a system.,train,rule_composed,18,limited_long,definition_limited_long_2,cf_002,true,label_quality=clear; constructed from a balanced content family
exp019_logic_003,cf_003,logic,Routine light condition entails shines.,train,rule_composed,5,short,logic_short_3,cf_003,true,label_quality=clear; constructed from a balanced content family
exp019_causality_003,cf_003,causality,Routine light state yields outcome.,train,rule_composed,5,short,causality_short_3,cf_003,true,label_quality=clear; constructed from a balanced content family
exp019_analogy_003,cf_003,analogy,Routine light mirrors lamp's relation.,train,rule_composed,5,short,analogy_short_3,cf_003,true,label_quality=clear; constructed from a balanced content family
exp019_definition_003,cf_003,definition,Routine light denotes purpose.,train,rule_composed,4,short,definition_short_3,cf_003,true,label_quality=clear; constructed from a balanced content family
exp019_logic_004,cf_004,logic,"If the routine thermometer condition holds, increases follows under the rule.",validation,rule_composed,11,medium,logic_medium_4,cf_004,true,label_quality=clear; constructed from a balanced content family
exp019_causality_004,cf_004,causality,The routine thermometer condition produces increases through a simple mechanism.,validation,rule_composed,10,medium,causality_medium_4,cf_004,true,label_quality=clear; constructed from a balanced content family
exp019_analogy_004,cf_004,analogy,The routine thermometer relation matches the speedometer relation in structure.,validation,rule_composed,10,medium,analogy_medium_4,cf_004,true,label_quality=clear; constructed from a balanced content family
exp019_definition_004,cf_004,definition,A routine thermometer is an object with a stated practical role.,validation,rule_composed,11,medium,definition_medium_4,cf_004,true,label_quality=clear; constructed from a balanced content family
exp019_logic_005,cf_005,logic,"When the routine filter condition holds, the stated rule requires behind as its conclusion.",train,rule_composed,14,limited_long,logic_limited_long_0,cf_005,true,label_quality=clear; constructed from a balanced content family
exp019_causality_005,cf_005,causality,A change in the routine filter condition leads to behind through the system's ordinary mechanism.,train,rule_composed,15,limited_long,causality_limited_long_0,cf_005,true,label_quality=clear; constructed from a balanced content family
exp019_analogy_005,cf_005,analogy,The routine filter relation corresponds to the door relation as a result both connect a condition with an outcome.,train,rule_composed,19,limited_long,analogy_limited_long_0,cf_005,true,label_quality=clear; constructed from a balanced content family
exp019_definition_005,cf_005,definition,A routine filter is a familiar object whose role is described by its practical use in a system.,train,rule_composed,18,limited_long,definition_limited_long_0,cf_005,true,label_quality=clear; constructed from a balanced content family
exp019_logic_006,cf_006,logic,Routine tray condition entails sprout.,train,rule_composed,5,short,logic_short_1,cf_006,true,label_quality=clear; constructed from a balanced content family
exp019_causality_006,cf_006,causality,Routine tray state yields outcome.,train,rule_composed,5,short,causality_short_1,cf_006,true,label_quality=clear; constructed from a balanced content family
exp019_analogy_006,cf_006,analogy,Routine tray mirrors sponge's relation.,train,rule_composed,5,short,analogy_short_1,cf_006,true,label_quality=clear; constructed from a balanced content family
exp019_definition_006,cf_006,definition,Routine tray denotes purpose.,train,rule_composed,4,short,definition_short_1,cf_006,true,label_quality=clear; constructed from a balanced content family
exp019_logic_007,cf_007,logic,"If the routine signal condition holds, proceed follows under the rule.",train,rule_composed,11,medium,logic_medium_2,cf_007,true,label_quality=clear; constructed from a balanced content family
exp019_causality_007,cf_007,causality,The routine signal condition produces proceed through a simple mechanism.,train,rule_composed,10,medium,causality_medium_2,cf_007,true,label_quality=clear; constructed from a balanced content family
