candidate_id,task_class,original_response,review_status,corrected_response,reason,semantic_change_guard,human_approved
SRC-LOG-001,logic,"Algae are photosynthetic organisms.",HUMAN_REWRITE_REQUIRED,"","当前句子与冻结 task_class 的功能不够一致，需要人工处理。",HUMAN_REQUIRED,
SRC-LOG-002,logic,"Groundwater is the water in saturated aquifers.",HUMAN_REWRITE_REQUIRED,"","当前句子与冻结 task_class 的功能不够一致，需要人工处理。",HUMAN_REQUIRED,
SRC-LOG-003,logic,"Camouflage behavior does not reflect the adaptability of animals.",HUMAN_REWRITE_REQUIRED,"","陈述的概念关系可能不准确，表层修改不足。",HUMAN_REQUIRED,
SRC-LOG-004,logic,"Ice is water.",HUMAN_REWRITE_REQUIRED,"","当前句子与冻结 task_class 的功能不够一致，需要人工处理。",HUMAN_REQUIRED,
SRC-LOG-005,logic,"Mass and speed are also physical quantities.",HUMAN_REWRITE_REQUIRED,"","当前句子与冻结 task_class 的功能不够一致，需要人工处理。",HUMAN_REQUIRED,
SRC-LOG-006,logic,"Isolated systems conserve momentum.",PASS,"Isolated systems conserve momentum.","语法和表达自然，无需修改。",PASS,
SRC-LOG-007,logic,"The ascent of water vapor is conducive to condensation into cloud droplets.",HUMAN_REWRITE_REQUIRED,"","当前句子与冻结 task_class 的功能不够一致，需要人工处理。",HUMAN_REQUIRED,
SRC-LOG-008,logic,"The superposition of tidal effects can generate stronger tides.",HUMAN_REWRITE_REQUIRED,"","当前句子与冻结 task_class 的功能不够一致，需要人工处理。",HUMAN_REQUIRED,
SRC-LOG-009,logic,"Rainwater can replenish the water table.",HUMAN_REWRITE_REQUIRED,"","当前句子与冻结 task_class 的功能不够一致，需要人工处理。",HUMAN_REQUIRED,
SRC-LOG-010,logic,"Push or pull can change the motion of an object.",HUMAN_REWRITE_REQUIRED,"","当前句子与冻结 task_class 的功能不够一致，需要人工处理。",HUMAN_REQUIRED,
SRC-LOG-011,logic,"Collisions that lose kinetic energy are not elastic collisions.",PASS,"Collisions that lose kinetic energy are not elastic collisions.","语法和表达自然，无需修改。",PASS,
SRC-LOG-012,logic,"Processes without light energy are not photosynthesis.",PASS,"Processes without light energy are not photosynthesis.","语法和表达自然，无需修改。",PASS,
SRC-LOG-013,logic,"Dry pores are not groundwater storage.",PASS,"Dry pores are not groundwater storage.","语法和表达自然，无需修改。",PASS,
SRC-LOG-014,logic,"Low water levels are not high tide.",PASS,"Low water levels are not high tide.","语法和表达自然，无需修改。",PASS,
SRC-LOG-015,logic,"Features without survival functions are not adaptability.",MINOR_NATURALNESS_FIX,"Features without survival functions are not adaptations.","仅改善自然表达，未增加或删减事实。",UNCHANGED,
SRC-LOG-016,logic,"Water vapor eventually turns into precipitation particles.",HUMAN_REWRITE_REQUIRED,"","当前句子概念或事实关系不清，表层修改不足。",HUMAN_REQUIRED,
SRC-LOG-017,logic,"Solar energy drives the evaporation of water into the atmospheric circulation.",HUMAN_REWRITE_REQUIRED,"","当前句子与冻结 task_class 的功能不够一致，需要人工处理。",HUMAN_REQUIRED,
SRC-LOG-018,logic,"The moon has a greater influence on tides than the sun.",PASS,"The moon has a greater influence on tides than the sun.","语法和表达自然，无需修改。",PASS,
SRC-LOG-019,logic,"Connected pores allow water movement.",PASS,"Connected pores allow water movement.","语法和表达自然，无需修改。",PASS,
SRC-LOG-020,logic,"Net force changes speed.",HUMAN_REWRITE_REQUIRED,"","当前句子的事实关系可能不完整，表层修改不足。",HUMAN_REQUIRED,
SRC-LOG-021,logic,"The momentum of a vehicle is equal to the product of its mass and velocity.",PASS,"The momentum of a vehicle is equal to the product of its mass and velocity.","语法和表达自然，无需修改。",PASS,
SRC-LOG-022,logic,"Rising steam cools and condenses to form clouds.",PASS,"Rising steam cools and condenses to form clouds.","语法和表达自然，无需修改。",PASS,
SRC-LOG-023,logic,"Precipitation can penetrate the ground and replenish groundwater.",MINOR_NATURALNESS_FIX,"Precipitation can infiltrate the ground and replenish groundwater.","仅改善自然表达，未增加或删减事实。",UNCHANGED,
SRC-LOG-024,logic,"The gravitational pull of the moon and the sun causes ocean responses, thereby forming tides.",MINOR_GRAMMAR_FIX,"The gravitational pulls of the Moon and the Sun cause ocean responses, thereby forming tides.","仅修正语法、冠词、连接或标点，未改变原意。",UNCHANGED,
SRC-LOG-025,logic,"Adaptability improves for foraging or movement.",HUMAN_REWRITE_REQUIRED,"","当前句子含义不完整，表层修改不足。",HUMAN_REQUIRED,
SRC-CAU-001,causality,"Net force causes changes in the motion of an object.",MINOR_NATURALNESS_FIX,"A net force changes an object's motion.","仅改善自然表达，未增加或删减事实。",UNCHANGED,
SRC-CAU-002,causality,"A longer duration of force action leads to greater changes in impulse and momentum.",PASS,"A longer duration of force action leads to greater changes in impulse and momentum.","语法和表达自然，无需修改。",PASS,
SRC-CAU-003,causality,"Elastic collisions transfer momentum between vehicles of equal mass.",PASS,"Elastic collisions transfer momentum between vehicles of equal mass.","语法和表达自然，无需修改。",PASS,
SRC-CAU-004,causality,"External forces cause a change in the total momentum of a system.",PASS,"External forces cause a change in the total momentum of a system.","语法和表达自然，无需修改。",PASS,
SRC-CAU-005,causality,"Changes in velocity can change momentum.",PASS,"Changes in velocity can change momentum.","语法和表达自然，无需修改。",PASS,
SRC-CAU-006,causality,"Photosynthesis absorbs solar energy and can store chemical energy in carbohydrates.",PASS,"Photosynthesis absorbs solar energy and can store chemical energy in carbohydrates.","语法和表达自然，无需修改。",PASS,
SRC-CAU-007,causality,"Photosynthesis uses water and carbon dioxide to produce sugar and oxygen.",PASS,"Photosynthesis uses water and carbon dioxide to produce sugar and oxygen.","语法和表达自然，无需修改。",PASS,
SRC-CAU-008,causality,"Chlorophyll absorbs light for the purpose of photosynthesis.",MINOR_NATURALNESS_FIX,"Chlorophyll absorbs light for photosynthesis.","仅改善自然表达，未增加或删减事实。",UNCHANGED,
SRC-CAU-009,causality,"Closing stomata reduces water loss in plants.",PASS,"Closing stomata reduces water loss in plants.","语法和表达自然，无需修改。",PASS,
SRC-CAU-010,causality,"The pattern of feathers blends with the environment, enabling owls to hide through camouflage.",MINOR_GRAMMAR_FIX,"Feather patterns blend with the environment, enabling owls to hide through camouflage.","仅修正语法、冠词、连接或标点，未改变原意。",UNCHANGED,
