candidate_id,task_class,response_text,provenance,topic_domain,human_label_agreement,human_naturalness,human_self_contained,human_ambiguity,human_notes
SRC-CAU-008,causality,Chlorophyll absorbs light for photosynthesis.,not_recorded,biology,agree,natural,yes,clear,
SRC-CAU-012,causality,Water vapor rises into cooler air and condenses to form cloud droplets.,not_recorded,earth_science,agree,acceptable,yes,clear,
GAP-LOG-007,logic,A book on the left is not on the right of the cup.,rule_composed,spatial_reasoning,,,,,
GAP-DEF-024,definition,A cloud is a visible collection of water droplets or ice crystals.,independent_external,earth_science,,,,,
GAP-ANA-020,analogy,"A cloud stores condensed water, and a tank stores liquid water.",independent_external,earth_science,,,,,
GAP-ANA-013,analogy,"An immune barrier blocks harmful agents, and a fence blocks unwanted entry.",rule_composed,biology,,,,,
GAP-DEF-011,definition,Probability is a measure of how likely an event is.,rule_composed,mathematics,,,,,
GAP-LOG-036,logic,Gravity and pressure can drive groundwater downward or sideways.,ai_assisted_surface_normalized,earth_science,,,,,
GAP-ANA-006,analogy,"A pump moves water, and a conveyor moves packages.",ai_assisted_surface_normalized,technology,,,,,
GAP-LOG-005,logic,A square has four equal sides.,independent_external,mathematics,,,,,
SRC-ANA-014,analogy,"Zero net external force conserves momentum, and isolation keeps total momentum unchanged; the conditions are equivalent.",not_recorded,physics,,,,,
SRC-CAU-004,causality,External forces cause a change in the total momentum of a system.,not_recorded,physics,,,,,
GAP-CAU-010,causality,Blocking a light sensor prevents it from detecting light.,rule_composed,technology,,,,,
SRC-DEF-023,definition,Aquifer is the water-bearing geological layer that stores and transmits available groundwater.,not_recorded,earth_science,,,,,
GAP-DEF-008,definition,A lever is a rigid bar that turns around a pivot.,rule_composed,physics,,,,,
GAP-DEF-004,definition,A polygon is a closed shape made of straight sides.,ai_assisted_surface_normalized,mathematics,,,,,
GAP-CAU-005,causality,Covering a hot pot reduces heat loss.,independent_external,everyday_life,,,,,
GAP-ANA-007,analogy,"A folder stores files, and a shelf stores books.",rule_composed,technology,,,,,
GAP-LOG-020,logic,An object inside a smaller box is also inside a larger box around it.,independent_external,spatial_reasoning,,,,,
SRC-DEF-021,definition,Adaptability is the biological characteristic that helps organisms survive in their environment.,not_recorded,biology,,,,,
SRC-DEF-022,definition,Immune system is the body defense system that detects and helps remove harmful substances.,not_recorded,biology,,,,,
GAP-ANA-010,analogy,"A plant stores light energy in carbohydrates, and a battery stores electrical energy for later use.",rule_composed,biology,,,,,
SRC-ANA-004,analogy,"Chlorophyll absorbs light energy for photosynthesis, while solar panels receive sunlight to generate electricity; the principles are similar.",not_recorded,technology,,,,,
SRC-CAU-006,causality,Photosynthesis absorbs solar energy and can store chemical energy in carbohydrates.,not_recorded,biology,,,,,
GAP-LOG-004,logic,Dividing an even number by two leaves no remainder.,rule_composed,mathematics,,,,,
SRC-ANA-022,analogy,"Force changes an object's motion, and heat changes water's solid, liquid, or gas state.",not_recorded,physics,,,,,
SRC-DEF-016,definition,Satellite precipitation sensor is a remote sensing instrument that measures precipitation information from orbit.,not_recorded,technology,,,,,
GAP-CAU-006,causality,Moving air speeds evaporation from wet clothes.,ai_assisted_surface_normalized,everyday_life,,,,,
GAP-CAU-027,causality,A loose bicycle chain reduces power transfer.,ai_assisted_surface_normalized,technology,,,,,
GAP-DEF-010,definition,A map is a representation of places and their relationships.,ai_assisted_surface_normalized,geography,,,,,
GAP-DEF-003,definition,A fraction represents part of a whole.,independent_external,mathematics,,,,,
GAP-DEF-009,definition,A variable is a quantity that can change.,independent_external,mathematics,,,,,
GAP-CAU-023,causality,Closing plant stomata reduces water loss.,independent_external,biology,,,,,
SRC-CAU-011,causality,"Sunlight heats surface water, causing liquid water to evaporate.",not_recorded,physics,,,,,
GAP-CAU-009,causality,Removing the batteries stops a flashlight.,ai_assisted_surface_normalized,technology,,,,,
GAP-ANA-015,analogy,"Earth's tilt changes seasonal sunlight, and a dimmer changes lamp brightness.",ai_assisted_surface_normalized,earth_science,,,,,
SRC-ANA-012,analogy,"Chloroplasts support photosynthesis, and mesophyll supports gas exchange; both support leaf function.",not_recorded,biology,,,,,
GAP-LOG-016,logic,A route with no connecting road cannot reach its destination by that route.,rule_composed,spatial_reasoning,,,,,
GAP-DEF-014,definition,Photosynthesis is a process that converts light energy into chemical energy.,rule_composed,biology,,,,,
GAP-LOG-034,logic,"Without an unbalanced force, constant velocity continues.",rule_composed,physics,,,,,
