candidate_id,task_class,original_response,audit_reason,human_decision,human_final_response
SRC-LOG-001,logic,Algae are photosynthetic organisms.,Copied from the historical Task 057 audit for an unchanged response/card position.,,
SRC-LOG-002,logic,Groundwater is the water in saturated aquifers.,Copied from the historical Task 057 audit for an unchanged response/card position.,,
SRC-LOG-004,logic,Ice is water.,Copied from the historical Task 057 audit for an unchanged response/card position.,,
SRC-LOG-005,logic,Mass and speed are also physical quantities.,Copied from the historical Task 057 audit for an unchanged response/card position.,,
SRC-LOG-007,logic,The ascent of water vapor is conducive to condensation into cloud droplets.,Copied from the historical Task 057 audit for an unchanged response/card position.,,
SRC-LOG-008,logic,The superposition of tidal effects can generate stronger tides.,Copied from the historical Task 057 audit for an unchanged response/card position.,,
SRC-LOG-009,logic,Rainwater can replenish the water table.,Copied from the historical Task 057 audit for an unchanged response/card position.,,
SRC-LOG-010,logic,Push or pull can change the motion of an object.,Copied from the historical Task 057 audit for an unchanged response/card position.,,
SRC-LOG-016,logic,Water vapor eventually turns into precipitation particles.,Copied from the historical Task 057 audit for an unchanged response/card position.,,
SRC-LOG-017,logic,Solar energy drives the evaporation of water into the atmospheric circulation.,Copied from the historical Task 057 audit for an unchanged response/card position.,,
SRC-LOG-019,logic,Connected pores allow water movement.,Copied from the historical Task 057 audit for an unchanged response/card position.,,
SRC-LOG-020,logic,Net force changes speed.,Copied from the historical Task 057 audit for an unchanged response/card position.,,
SRC-LOG-022,logic,Rising steam cools and condenses to form clouds.,Copied from the historical Task 057 audit for an unchanged response/card position.,,
SRC-LOG-023,logic,Precipitation can penetrate the ground and replenish groundwater.,Copied from the historical Task 057 audit for an unchanged response/card position.,,
SRC-LOG-024,logic,"The gravitational pull of the moon and the sun causes ocean responses, thereby forming tides.",Copied from the historical Task 057 audit for an unchanged response/card position.,,
SRC-CAU-002,causality,A longer duration of force action leads to greater changes in impulse and momentum.,Copied from the historical Task 057 audit for an unchanged response/card position.,,
SRC-CAU-005,causality,Changes in velocity can change momentum.,Copied from the historical Task 057 audit for an unchanged response/card position.,,
SRC-CAU-017,causality,Rainfall infiltration can allow water in the permeable ground to enter the underground.,Copied from the historical Task 057 audit for an unchanged response/card position.,,
SRC-CAU-018,causality,"Bale plates retain prey, enabling whales to filter-feed.",Copied from the historical Task 057 audit for an unchanged response/card position.,,
SRC-CAU-024,causality,The speed at which a force is applied may change.,Copied from the historical Task 057 audit for an unchanged response/card position.,,
SRC-DEF-004,definition,Tidal force is the gravitational effect of the difference in gravity between the moon and the sun on the sea.,Definition is broadly recognizable but tidal-force wording requires technical checking; no automatic rewrite.,,
SRC-DEF-007,definition,Speed is a physical quantity that describes the rate of motion with direction.,Response says speed while the repaired source concept is velocity; human review is required without relabeling.,,
SRC-DEF-012,definition,Cloud is an aggregation of atmospheric water droplets or ice particles containing condensation.,Definition is understandable but wording is awkward; human review is required because surface repair may alter the statement.,,
SRC-DEF-014,definition,Bale is the feeding structure that retains small prey while allowing water to pass through.,Response uses 'Bale' while the repaired source concept is baleen; terminology needs human review.,,
SRC-DEF-024,definition,Precipitation is the water cycle transmission of water falling from the atmosphere to the surface.,Definition function is recognizable but wording is translation-like; human review is required.,,
SRC-ANA-015,analogy,"Whale whiskers act like sieves to retain small prey, and filtration on the surface can also trap particles while allowing water to pass through.",Analogy relation is clear but 'whale whiskers' does not match the repaired source's baleen concept; human review is required.,,
