candidate_id,task_class,original_response,previous_status,new_status,exclusion_reason
SRC-LOG-001,logic,Algae are photosynthetic organisms.,HUMAN_REVIEW,EXCLUDED_FROM_PRIMARY_POOL_FOR_EFFICIENCY_AND_AMBIGUITY,Borderline candidate excluded rather than manually repaired to avoid post-hoc semantic intervention and reduce manual remediation.
SRC-LOG-002,logic,Groundwater is the water in saturated aquifers.,HUMAN_REVIEW,EXCLUDED_FROM_PRIMARY_POOL_FOR_EFFICIENCY_AND_AMBIGUITY,Borderline candidate excluded rather than manually repaired to avoid post-hoc semantic intervention and reduce manual remediation.
SRC-LOG-004,logic,Ice is water.,HUMAN_REVIEW,EXCLUDED_FROM_PRIMARY_POOL_FOR_EFFICIENCY_AND_AMBIGUITY,Borderline candidate excluded rather than manually repaired to avoid post-hoc semantic intervention and reduce manual remediation.
SRC-LOG-005,logic,Mass and speed are also physical quantities.,HUMAN_REVIEW,EXCLUDED_FROM_PRIMARY_POOL_FOR_EFFICIENCY_AND_AMBIGUITY,Borderline candidate excluded rather than manually repaired to avoid post-hoc semantic intervention and reduce manual remediation.
SRC-LOG-007,logic,The ascent of water vapor is conducive to condensation into cloud droplets.,HUMAN_REVIEW,EXCLUDED_FROM_PRIMARY_POOL_FOR_EFFICIENCY_AND_AMBIGUITY,Borderline candidate excluded rather than manually repaired to avoid post-hoc semantic intervention and reduce manual remediation.
SRC-LOG-008,logic,The superposition of tidal effects can generate stronger tides.,HUMAN_REVIEW,EXCLUDED_FROM_PRIMARY_POOL_FOR_EFFICIENCY_AND_AMBIGUITY,Borderline candidate excluded rather than manually repaired to avoid post-hoc semantic intervention and reduce manual remediation.
SRC-LOG-009,logic,Rainwater can replenish the water table.,HUMAN_REVIEW,EXCLUDED_FROM_PRIMARY_POOL_FOR_EFFICIENCY_AND_AMBIGUITY,Borderline candidate excluded rather than manually repaired to avoid post-hoc semantic intervention and reduce manual remediation.
SRC-LOG-010,logic,Push or pull can change the motion of an object.,HUMAN_REVIEW,EXCLUDED_FROM_PRIMARY_POOL_FOR_EFFICIENCY_AND_AMBIGUITY,Borderline candidate excluded rather than manually repaired to avoid post-hoc semantic intervention and reduce manual remediation.
SRC-LOG-016,logic,Water vapor eventually turns into precipitation particles.,HUMAN_REVIEW,EXCLUDED_FROM_PRIMARY_POOL_FOR_EFFICIENCY_AND_AMBIGUITY,Borderline candidate excluded rather than manually repaired to avoid post-hoc semantic intervention and reduce manual remediation.
SRC-LOG-017,logic,Solar energy drives the evaporation of water into the atmospheric circulation.,HUMAN_REVIEW,EXCLUDED_FROM_PRIMARY_POOL_FOR_EFFICIENCY_AND_AMBIGUITY,Borderline candidate excluded rather than manually repaired to avoid post-hoc semantic intervention and reduce manual remediation.
SRC-LOG-019,logic,Connected pores allow water movement.,HUMAN_REVIEW,EXCLUDED_FROM_PRIMARY_POOL_FOR_EFFICIENCY_AND_AMBIGUITY,Borderline candidate excluded rather than manually repaired to avoid post-hoc semantic intervention and reduce manual remediation.
SRC-LOG-020,logic,Net force changes speed.,HUMAN_REVIEW,EXCLUDED_FROM_PRIMARY_POOL_FOR_EFFICIENCY_AND_AMBIGUITY,Borderline candidate excluded rather than manually repaired to avoid post-hoc semantic intervention and reduce manual remediation.
SRC-LOG-022,logic,Rising steam cools and condenses to form clouds.,HUMAN_REVIEW,EXCLUDED_FROM_PRIMARY_POOL_FOR_EFFICIENCY_AND_AMBIGUITY,Borderline candidate excluded rather than manually repaired to avoid post-hoc semantic intervention and reduce manual remediation.
SRC-LOG-023,logic,Precipitation can penetrate the ground and replenish groundwater.,HUMAN_REVIEW,EXCLUDED_FROM_PRIMARY_POOL_FOR_EFFICIENCY_AND_AMBIGUITY,Borderline candidate excluded rather than manually repaired to avoid post-hoc semantic intervention and reduce manual remediation.
SRC-LOG-024,logic,"The gravitational pull of the moon and the sun causes ocean responses, thereby forming tides.",HUMAN_REVIEW,EXCLUDED_FROM_PRIMARY_POOL_FOR_EFFICIENCY_AND_AMBIGUITY,Borderline candidate excluded rather than manually repaired to avoid post-hoc semantic intervention and reduce manual remediation.
SRC-CAU-002,causality,A longer duration of force action leads to greater changes in impulse and momentum.,HUMAN_REVIEW,EXCLUDED_FROM_PRIMARY_POOL_FOR_EFFICIENCY_AND_AMBIGUITY,Borderline candidate excluded rather than manually repaired to avoid post-hoc semantic intervention and reduce manual remediation.
SRC-CAU-005,causality,Changes in velocity can change momentum.,HUMAN_REVIEW,EXCLUDED_FROM_PRIMARY_POOL_FOR_EFFICIENCY_AND_AMBIGUITY,Borderline candidate excluded rather than manually repaired to avoid post-hoc semantic intervention and reduce manual remediation.
SRC-CAU-017,causality,Rainfall infiltration can allow water in the permeable ground to enter the underground.,HUMAN_REVIEW,EXCLUDED_FROM_PRIMARY_POOL_FOR_EFFICIENCY_AND_AMBIGUITY,Borderline candidate excluded rather than manually repaired to avoid post-hoc semantic intervention and reduce manual remediation.
SRC-CAU-018,causality,"Bale plates retain prey, enabling whales to filter-feed.",HUMAN_REVIEW,EXCLUDED_FROM_PRIMARY_POOL_FOR_EFFICIENCY_AND_AMBIGUITY,Borderline candidate excluded rather than manually repaired to avoid post-hoc semantic intervention and reduce manual remediation.
SRC-CAU-024,causality,The speed at which a force is applied may change.,HUMAN_REVIEW,EXCLUDED_FROM_PRIMARY_POOL_FOR_EFFICIENCY_AND_AMBIGUITY,Borderline candidate excluded rather than manually repaired to avoid post-hoc semantic intervention and reduce manual remediation.
SRC-DEF-004,definition,Tidal force is the gravitational effect of the difference in gravity between the moon and the sun on the sea.,HUMAN_REVIEW,EXCLUDED_FROM_PRIMARY_POOL_FOR_EFFICIENCY_AND_AMBIGUITY,Borderline candidate excluded rather than manually repaired to avoid post-hoc semantic intervention and reduce manual remediation.
SRC-DEF-007,definition,Speed is a physical quantity that describes the rate of motion with direction.,HUMAN_REVIEW,EXCLUDED_FROM_PRIMARY_POOL_FOR_EFFICIENCY_AND_AMBIGUITY,Borderline candidate excluded rather than manually repaired to avoid post-hoc semantic intervention and reduce manual remediation.
SRC-DEF-012,definition,Cloud is an aggregation of atmospheric water droplets or ice particles containing condensation.,HUMAN_REVIEW,EXCLUDED_FROM_PRIMARY_POOL_FOR_EFFICIENCY_AND_AMBIGUITY,Borderline candidate excluded rather than manually repaired to avoid post-hoc semantic intervention and reduce manual remediation.
SRC-DEF-014,definition,Bale is the feeding structure that retains small prey while allowing water to pass through.,HUMAN_REVIEW,EXCLUDED_FROM_PRIMARY_POOL_FOR_EFFICIENCY_AND_AMBIGUITY,Borderline candidate excluded rather than manually repaired to avoid post-hoc semantic intervention and reduce manual remediation.
SRC-DEF-024,definition,Precipitation is the water cycle transmission of water falling from the atmosphere to the surface.,HUMAN_REVIEW,EXCLUDED_FROM_PRIMARY_POOL_FOR_EFFICIENCY_AND_AMBIGUITY,Borderline candidate excluded rather than manually repaired to avoid post-hoc semantic intervention and reduce manual remediation.
SRC-ANA-015,analogy,"Whale whiskers act like sieves to retain small prey, and filtration on the surface can also trap particles while allowing water to pass through.",HUMAN_REVIEW,EXCLUDED_FROM_PRIMARY_POOL_FOR_EFFICIENCY_AND_AMBIGUITY,Borderline candidate excluded rather than manually repaired to avoid post-hoc semantic intervention and reduce manual remediation.
