position,word_response,assigned_source_card_id,assigned_task_class,source_material,source_reference,current_match,swapped_source_card_id,swapped_task_class,swapped_source_material,swapped_source_reference,swapped_match
1,Algae are photosynthetic organisms.,SRC-LOG-001,logic,Premise 1: Photosynthetic organisms include plants and algae; Premise 2: algae are photosynthetic organisms.,https://openstax.org/books/concepts-biology/pages/5-1-overview-of-photosynthesis,STRONG_MATCH,SRC-LOG-001,logic,Premise 1: Photosynthetic organisms include plants and algae; Premise 2: algae are photosynthetic organisms.,https://openstax.org/books/concepts-biology/pages/5-1-overview-of-photosynthesis,STRONG_MATCH
2,Groundwater is the water in saturated aquifers.,SRC-LOG-002,logic,Premise 1: Groundwater is stored below the water table; Premise 2: aquifers are saturated water-bearing formations.,https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,STRONG_MATCH,SRC-LOG-002,logic,Premise 1: Groundwater is stored below the water table; Premise 2: aquifers are saturated water-bearing formations.,https://www.usgs.gov/water-science-school/science/aquifers-and-groundwater,STRONG_MATCH
3,Camouflage behavior does not reflect the adaptability of animals.,SRC-LOG-003,logic,Premise 1: An adaptation can be physical or behavioral; Premise 2: camouflage is a physical feature used by some animals.,https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,NO_MATCH,SRC-LOG-003,logic,Premise 1: An adaptation can be physical or behavioral; Premise 2: camouflage is a physical feature used by some animals.,https://naturalhistory.si.edu/education/teaching-resources/life-science/explore-animal-adaptations,NO_MATCH
4,Ice is water.,SRC-LOG-004,logic,Premise 1: Water can be liquid solid or gas; Premise 2: ice is solid water.,https://gpm.nasa.gov/education/articles/nasa-earth-science-water-cycle,STRONG_MATCH,SRC-LOG-004,logic,Premise 1: Water can be liquid solid or gas; Premise 2: ice is solid water.,https://gpm.nasa.gov/education/articles/nasa-earth-science-water-cycle,STRONG_MATCH
5,Mass and speed are also physical quantities.,SRC-LOG-005,logic,Premise 1: Momentum is a physical quantity; Premise 2: mass and velocity determine momentum.,https://openstax.org/books/college-physics/pages/8-3-conservation-of-momentum,PARTIAL_MATCH,SRC-LOG-005,logic,Premise 1: Momentum is a physical quantity; Premise 2: mass and velocity determine momentum.,https://openstax.org/books/college-physics/pages/8-3-conservation-of-momentum,PARTIAL_MATCH
6,Isolated systems conserve momentum.,SRC-LOG-006,logic,Premise 1: An isolated system has zero net external force; Premise 2: momentum is constant in such a system.,https://openstax.org/books/college-physics/pages/8-3-conservation-of-momentum,STRONG_MATCH,SRC-LOG-006,logic,Premise 1: An isolated system has zero net external force; Premise 2: momentum is constant in such a system.,https://openstax.org/books/college-physics/pages/8-3-conservation-of-momentum,STRONG_MATCH
7,The ascent of water vapor is conducive to condensation into cloud droplets.,SRC-LOG-007,logic,Premise 1: Water vapor cools as it rises; Premise 2: cooling favors condensation into cloud droplets.,https://www.jpl.nasa.gov/edu/resources/project/make-a-cloud-in-a-bottle/,STRONG_MATCH,SRC-LOG-007,logic,Premise 1: Water vapor cools as it rises; Premise 2: cooling favors condensation into cloud droplets.,https://www.jpl.nasa.gov/edu/resources/project/make-a-cloud-in-a-bottle/,STRONG_MATCH
8,The superposition of tidal effects can generate stronger tides.,SRC-LOG-008,logic,Premise 1: Lunar and solar tidal effects can reinforce; Premise 2: reinforcement produces stronger tides.,https://www.nesdis.noaa.gov/about/k-12-education/oceans-coasts/what-causes-tides,STRONG_MATCH,SRC-LOG-008,logic,Premise 1: Lunar and solar tidal effects can reinforce; Premise 2: reinforcement produces stronger tides.,https://www.nesdis.noaa.gov/about/k-12-education/oceans-coasts/what-causes-tides,STRONG_MATCH
9,Rainwater can replenish the water table.,SRC-LOG-009,logic,Premise 1: Rain infiltrates permeable ground; Premise 2: deep infiltration can recharge an aquifer.,https://www.usgs.gov/water-science-school/science/infiltration-and-water-cycle,STRONG_MATCH,SRC-LOG-009,logic,Premise 1: Rain infiltrates permeable ground; Premise 2: deep infiltration can recharge an aquifer.,https://www.usgs.gov/water-science-school/science/infiltration-and-water-cycle,STRONG_MATCH
10,Push or pull can change the motion of an object.,SRC-LOG-010,logic,Premise 1: A force changes an object’s motion; Premise 2: a push or pull is a force.,https://openstax.org/books/physics/pages/4-1-force,STRONG_MATCH,SRC-LOG-010,logic,Premise 1: A force changes an object’s motion; Premise 2: a push or pull is a force.,https://openstax.org/books/physics/pages/4-1-force,STRONG_MATCH
11,Collisions that lose kinetic energy are not elastic collisions.,SRC-LOG-011,logic,Premise 1: An elastic collision does not lose system kinetic energy; Premise 2: a collision that loses kinetic energy is not elastic.,https://openstax.org/books/college-physics/pages/8-3-conservation-of-momentum,STRONG_MATCH,SRC-LOG-011,logic,Premise 1: An elastic collision does not lose system kinetic energy; Premise 2: a collision that loses kinetic energy is not elastic.,https://openstax.org/books/college-physics/pages/8-3-conservation-of-momentum,STRONG_MATCH
