id,group,question,expected_answer,acceptable_answers,model_answer,normalized_model_answer,original_is_correct,final_is_correct,changed_after_patch
exp011_logic_001,logic,All mammals are animals. All dogs are mammals. Are dogs animals?,yes,['yes'],Yes.,yes,True,True,False
exp011_logic_002,logic,No reptiles are mammals. A lizard is a reptile. Is the lizard a mammal?,no,"['no', 'not a mammal']",The lizard is not a mammal.,the lizard is not a mammal,False,True,True
exp011_logic_003,logic,All red objects are colored. This apple is red. Is the apple colored?,yes,['yes'],Colored.,colored,False,False,False
exp011_logic_004,logic,"If it rains, the ground is wet. It is raining. Is the ground wet?",yes,['yes'],Yes.,yes,True,True,False
exp011_logic_005,logic,"If a signal is active, an indicator is lit. The indicator is not lit. Can the signal be active?",no,['no'],Yes.,yes,False,False,False
exp011_logic_006,logic,All birds are animals. A penguin is a bird. Is a penguin an animal?,yes,['yes'],Yes.,yes,True,True,False
exp011_logic_007,logic,No squares are circles. This shape is a square. Is it a circle?,no,['no'],No.,no,True,True,False
exp011_logic_008,logic,All painters are artists. Lina is a painter. Is the conclusion that Lina is an artist valid?,valid,['valid'],Valid.,valid,True,True,False
exp011_logic_009,logic,All books are objects. This item is not an object. Can this item be a book?,no,['no'],Yes.,yes,False,False,False
exp011_logic_010,logic,A statement and its opposite cannot both be true. What is this situation called?,contradiction,['contradiction'],Logical contradiction.,logical contradiction,True,True,False
exp011_logic_011,logic,All metals conduct electricity. Copper is a metal. Does copper conduct electricity?,yes,['yes'],Yes.,yes,True,True,False
exp011_logic_012,logic,All triangles have three sides. This shape has four sides. Is it a triangle?,no,['no'],No.,no,True,True,False
exp011_logic_013,logic,"If an alarm rings, a sound is heard. The alarm rings. Is a sound heard?",yes,['yes'],Yes.,yes,True,True,False
exp011_logic_014,logic,"If a card is blue, it is colored. The card is not colored. Is it blue?",no,['no'],Blue.,blue,False,False,False
exp011_logic_015,logic,All teachers read books. Ada is a teacher. Does Ada read books?,yes,['yes'],Yes.,yes,True,True,False
exp011_logic_016,logic,No fish are mammals. A whale is a mammal. Is a whale a fish?,no,['no'],No.,no,True,True,False
exp011_logic_017,logic,A is taller than B. B is taller than C. Is A taller than C?,yes,['yes'],Yes.,yes,True,True,False
exp011_logic_018,logic,All cats are animals. All animals need water. Does a cat need water?,yes,['yes'],Yes.,yes,True,True,False
