model,layer,split,source_group,target_group,beta,intervention_type,eval_item_id,target_assignment_rate,source_assignment_rate,target_minus_source_similarity
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,causality,0.5,task,logic_para_01,1.0,0.0,0.16273001799860154
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,causality,0.5,task,logic_para_02,1.0,0.0,0.14634136303062917
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,causality,0.5,task,logic_para_03,1.0,0.0,0.14477470087919198
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,causality,0.5,matched_random,logic_para_01,0.0,1.0,-0.027865055715382447
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,causality,0.5,matched_random,logic_para_02,0.0,1.0,-0.02728899035725607
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,causality,0.5,matched_random,logic_para_03,0.0,1.0,-0.03284917884197136
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,causality,0.5,opposite,logic_para_01,0.0,1.0,-0.21933896937831865
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,causality,0.5,opposite,logic_para_02,0.0,1.0,-0.2011681695073143
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,causality,0.5,opposite,logic_para_03,0.0,1.0,-0.2106140088248124
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,causality,0.75,task,logic_para_01,1.0,0.0,0.2418335378016705
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,causality,0.75,task,logic_para_02,1.0,0.0,0.22061115994156122
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,causality,0.75,task,logic_para_03,1.0,0.0,0.22060401152278108
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,causality,0.75,matched_random,logic_para_01,0.0,1.0,-0.027355783451075366
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,causality,0.75,matched_random,logic_para_02,0.0,1.0,-0.02695673292470646
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,causality,0.75,matched_random,logic_para_03,0.0,1.0,-0.03220491246182333
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,causality,0.75,opposite,logic_para_01,0.0,1.0,-0.3003456542332408
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,causality,0.75,opposite,logic_para_02,0.0,1.0,-0.27705423472339497
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,causality,0.75,opposite,logic_para_03,0.0,1.0,-0.2873014304711956
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,logic,causality,1.0,task,logic_para_01,1.0,0.0,0.3076283913805513
