review_index,candidate_id,task_class,response_text,human_decision,human_reason
1,SRC-CAU-008,causality,Chlorophyll absorbs light for photosynthesis.,,
2,SRC-CAU-012,causality,Water vapor rises into cooler air and condenses to form cloud droplets.,,
3,GAP-LOG-007,logic,A book on the left is not on the right of the cup.,,
4,GAP-DEF-024,definition,A cloud is a visible collection of water droplets or ice crystals.,,
5,GAP-ANA-020,analogy,"A cloud stores condensed water, and a tank stores liquid water.",,
6,GAP-ANA-013,analogy,"An immune barrier blocks harmful agents, and a fence blocks unwanted entry.",,
7,GAP-DEF-011,definition,Probability is a measure of how likely an event is.,,
8,GAP-LOG-036,logic,Gravity and pressure can drive groundwater downward or sideways.,,
9,GAP-ANA-006,analogy,"A pump moves water, and a conveyor moves packages.",,
10,GAP-LOG-005,logic,A square has four equal sides.,,
11,SRC-ANA-014,analogy,"Zero net external force conserves momentum, and isolation keeps total momentum unchanged; the conditions are equivalent.",,
12,SRC-CAU-004,causality,External forces cause a change in the total momentum of a system.,,
13,GAP-CAU-010,causality,Blocking a light sensor prevents it from detecting light.,,
14,SRC-DEF-023,definition,Aquifer is the water-bearing geological layer that stores and transmits available groundwater.,,
15,GAP-DEF-008,definition,A lever is a rigid bar that turns around a pivot.,,
16,GAP-DEF-004,definition,A polygon is a closed shape made of straight sides.,,
17,GAP-CAU-005,causality,Covering a hot pot reduces heat loss.,,
18,GAP-ANA-007,analogy,"A folder stores files, and a shelf stores books.",,
19,GAP-LOG-020,logic,An object inside a smaller box is also inside a larger box around it.,,
20,SRC-DEF-021,definition,Adaptability is the biological characteristic that helps organisms survive in their environment.,,
21,SRC-DEF-022,definition,Immune system is the body defense system that detects and helps remove harmful substances.,,
22,GAP-ANA-010,analogy,"A plant stores light energy in carbohydrates, and a battery stores electrical energy for later use.",,
23,SRC-ANA-004,analogy,"Chlorophyll absorbs light energy for photosynthesis, while solar panels receive sunlight to generate electricity; the principles are similar.",,
24,SRC-CAU-006,causality,Photosynthesis absorbs solar energy and can store chemical energy in carbohydrates.,,
25,GAP-LOG-004,logic,Dividing an even number by two leaves no remainder.,,
26,SRC-ANA-022,analogy,"Force changes an object's motion, and heat changes water's solid, liquid, or gas state.",,
27,SRC-DEF-016,definition,Satellite precipitation sensor is a remote sensing instrument that measures precipitation information from orbit.,,
28,GAP-CAU-006,causality,Moving air speeds evaporation from wet clothes.,,
29,GAP-CAU-027,causality,A loose bicycle chain reduces power transfer.,,
30,GAP-DEF-010,definition,A map is a representation of places and their relationships.,,
31,GAP-DEF-003,definition,A fraction represents part of a whole.,,
32,GAP-DEF-009,definition,A variable is a quantity that can change.,,
33,GAP-CAU-023,causality,Closing plant stomata reduces water loss.,,
34,SRC-CAU-011,causality,"Sunlight heats surface water, causing liquid water to evaporate.",,
35,GAP-CAU-009,causality,Removing the batteries stops a flashlight.,,
36,GAP-ANA-015,analogy,"Earth's tilt changes seasonal sunlight, and a dimmer changes lamp brightness.",,
37,SRC-ANA-012,analogy,"Chloroplasts support photosynthesis, and mesophyll supports gas exchange; both support leaf function.",,
38,GAP-LOG-016,logic,A route with no connecting road cannot reach its destination by that route.,,
39,GAP-DEF-014,definition,Photosynthesis is a process that converts light energy into chemical energy.,,
40,GAP-LOG-034,logic,"Without an unbalanced force, constant velocity continues.",,
