id,group,quality_label,ambiguity_risk,scoring_risk,difficulty,issue_types,audit_note,revised,original_question,final_question,original_expected_answer,final_expected_answer
exp011_logic_001,logic,good,none,none,easy,,"Clear, deterministic item with a specific expected answer.",false,All mammals are animals. All dogs are mammals. Are dogs animals?,All mammals are animals. All dogs are mammals. Are dogs animals?,yes,yes
exp011_logic_002,logic,good,none,none,easy,,"Clear, deterministic item with a specific expected answer.",false,No reptiles are mammals. A lizard is a reptile. Is the lizard a mammal?,No reptiles are mammals. A lizard is a reptile. Is the lizard a mammal?,no,no
exp011_logic_003,logic,good,none,none,easy,,"Clear, deterministic item with a specific expected answer.",false,All red objects are colored. This apple is red. Is the apple colored?,All red objects are colored. This apple is red. Is the apple colored?,yes,yes
exp011_logic_004,logic,good,none,none,easy,,"Clear, deterministic item with a specific expected answer.",false,"If it rains, the ground is wet. It is raining. Is the ground wet?","If it rains, the ground is wet. It is raining. Is the ground wet?",yes,yes
exp011_logic_005,logic,revise,medium,none,easy,ambiguous_question,Revised: Replaced real-world lamp wording with an abstract conditional.,true,"If a lamp is on, the room is lit. The room is not lit. Can the lamp be on?","If a signal is active, an indicator is lit. The indicator is not lit. Can the signal be active?",no,no
exp011_logic_006,logic,good,none,none,easy,,"Clear, deterministic item with a specific expected answer.",false,All birds are animals. A penguin is a bird. Is a penguin an animal?,All birds are animals. A penguin is a bird. Is a penguin an animal?,yes,yes
exp011_logic_007,logic,good,none,none,easy,,"Clear, deterministic item with a specific expected answer.",false,No squares are circles. This shape is a square. Is it a circle?,No squares are circles. This shape is a square. Is it a circle?,no,no
exp011_logic_008,logic,good,none,none,medium,,"Clear, deterministic item with a specific expected answer.",false,All painters are artists. Lina is a painter. Is the conclusion that Lina is an artist valid?,All painters are artists. Lina is a painter. Is the conclusion that Lina is an artist valid?,valid,valid
exp011_logic_009,logic,good,none,none,easy,,"Clear, deterministic item with a specific expected answer.",false,All books are objects. This item is not an object. Can this item be a book?,All books are objects. This item is not an object. Can this item be a book?,no,no
exp011_logic_010,logic,good,none,none,medium,,"Clear, deterministic item with a specific expected answer.",false,A statement and its opposite cannot both be true. What is this situation called?,A statement and its opposite cannot both be true. What is this situation called?,contradiction,contradiction
exp011_logic_011,logic,good,none,none,easy,,"Clear, deterministic item with a specific expected answer.",false,All metals conduct electricity. Copper is a metal. Does copper conduct electricity?,All metals conduct electricity. Copper is a metal. Does copper conduct electricity?,yes,yes
exp011_logic_012,logic,good,none,none,easy,,"Clear, deterministic item with a specific expected answer.",false,All triangles have three sides. This shape has four sides. Is it a triangle?,All triangles have three sides. This shape has four sides. Is it a triangle?,no,no
exp011_logic_013,logic,good,none,none,easy,,"Clear, deterministic item with a specific expected answer.",false,"If an alarm rings, a sound is heard. The alarm rings. Is a sound heard?","If an alarm rings, a sound is heard. The alarm rings. Is a sound heard?",yes,yes
exp011_logic_014,logic,revise,medium,none,easy,ambiguous_question,Revised: Removed a real-world exception-prone premise.,true,"If food is spoiled, it smells bad. The food does not smell bad. Is it spoiled?","If a card is blue, it is colored. The card is not colored. Is it blue?",no,no
exp011_logic_015,logic,good,none,none,easy,,"Clear, deterministic item with a specific expected answer.",false,All teachers read books. Ada is a teacher. Does Ada read books?,All teachers read books. Ada is a teacher. Does Ada read books?,yes,yes
exp011_logic_016,logic,good,none,none,easy,,"Clear, deterministic item with a specific expected answer.",false,No fish are mammals. A whale is a mammal. Is a whale a fish?,No fish are mammals. A whale is a mammal. Is a whale a fish?,no,no
exp011_logic_017,logic,good,none,none,medium,,"Clear, deterministic item with a specific expected answer.",false,A is taller than B. B is taller than C. Is A taller than C?,A is taller than B. B is taller than C. Is A taller than C?,yes,yes
exp011_logic_018,logic,good,none,none,easy,,"Clear, deterministic item with a specific expected answer.",false,All cats are animals. All animals need water. Does a cat need water?,All cats are animals. All animals need water. Does a cat need water?,yes,yes
exp011_logic_019,logic,good,none,none,medium,,"Clear, deterministic item with a specific expected answer.",false,"If a number is even, it is divisible by two. Eight is even. Is eight divisible by two?","If a number is even, it is divisible by two. Eight is even. Is eight divisible by two?",yes,yes
exp011_logic_020,logic,good,none,none,easy,,"Clear, deterministic item with a specific expected answer.",false,All flowers are plants. This object is not a plant. Can it be a flower?,All flowers are plants. This object is not a plant. Can it be a flower?,no,no
exp011_causality_001,causality,acceptable,none,none,easy,,Explicit cause-effect direction; template wording is intentionally repetitive for control.,false,Heavy rain makes roads wet. What is the cause of wet roads?,Heavy rain makes roads wet. What is the cause of wet roads?,heavy rain,heavy rain
exp011_causality_002,causality,acceptable,none,none,easy,,Explicit cause-effect direction; template wording is intentionally repetitive for control.,false,Lack of water causes plants to wilt. What is the effect of lack of water?,Lack of water causes plants to wilt. What is the effect of lack of water?,wilting,wilting
exp011_causality_003,causality,acceptable,none,none,easy,,Explicit cause-effect direction; template wording is intentionally repetitive for control.,false,Heating ice above freezing causes it to melt. What is the effect?,Heating ice above freezing causes it to melt. What is the effect?,melting,melting
exp011_causality_004,causality,revise,low,none,easy,acceptable_answers_too_broad,Revised: Removed the context-free answer 'turns on'.,true,Pressing a light switch turns on a lamp. What is the effect of pressing the switch?,Pressing a light switch causes the lamp to turn on. What is the effect of pressing the switch?,light turns on,lamp turns on
exp011_causality_005,causality,revise,low,none,easy,acceptable_answers_too_broad,Revised: Removed the context-free answer 'shuts down'.,true,A power outage causes a computer to shut down. What is the effect of a power outage?,A power outage causes a computer to shut down. What is the effect of a power outage?,computer shuts down,computer shuts down
exp011_causality_006,causality,good,none,none,easy,,"Clear, deterministic item with a specific expected answer.",false,Sunlight allows a plant to make food. What is the cause that enables this process?,Sunlight allows a plant to make food. What is the cause that enables this process?,sunlight,sunlight
exp011_causality_007,causality,acceptable,none,none,easy,,Explicit cause-effect direction; template wording is intentionally repetitive for control.,false,Cold temperatures cause water to freeze. What is the effect of cold temperatures?,Cold temperatures cause water to freeze. What is the effect of cold temperatures?,freezing,freezing
exp011_causality_008,causality,revise,low,none,easy,weak_causal_direction,Revised: Replaced modal wording with an explicit cause and effect.,true,Dropping a glass can cause it to break. What is the likely effect?,Dropping a glass causes the glass to break. What is the effect of dropping the glass?,breaking,glass breaks
exp011_causality_009,causality,good,none,none,easy,,"Clear, deterministic item with a specific expected answer.",false,Strong wind makes leaves move. What is the cause of moving leaves?,Strong wind makes leaves move. What is the cause of moving leaves?,strong wind,strong wind
exp011_causality_010,causality,revise,low,none,easy,weak_causal_direction;acceptable_answers_too_broad,Revised: Removed modal wording and the broad answer 'sick'.,true,Eating spoiled food can cause sickness. What is the likely effect?,Eating spoiled food causes sickness. What is the effect of eating spoiled food?,sickness,sickness
exp011_causality_011,causality,revise,low,none,medium,weak_causal_direction;acceptable_answers_too_broad,Revised: Made the stated causal direction deterministic and removed broad variants.,true,"If brakes fail, a car may not stop. What is the likely effect of brake failure?",Brake failure causes a car not to stop. What is the effect of brake failure?,car does not stop,car does not stop
exp011_causality_012,causality,acceptable,none,none,easy,,Explicit cause-effect direction; template wording is intentionally repetitive for control.,false,Too much rain can cause flooding. What is the effect of too much rain?,Too much rain can cause flooding. What is the effect of too much rain?,flooding,flooding
exp011_causality_013,causality,acceptable,none,none,easy,,Explicit cause-effect direction; template wording is intentionally repetitive for control.,false,A fire produces smoke. What is the cause of smoke in this case?,A fire produces smoke. What is the cause of smoke in this case?,fire,fire
exp011_causality_014,causality,acceptable,none,none,easy,,Explicit cause-effect direction; template wording is intentionally repetitive for control.,false,Removing a battery makes a flashlight stop working. What is the effect?,Removing a battery makes a flashlight stop working. What is the effect?,flashlight stops working,flashlight stops working
exp011_causality_015,causality,revise,low,none,medium,weak_causal_direction,Revised: Removed frequency wording from the stated relation.,true,Lack of sleep often makes a person tired. What is the effect of lack of sleep?,Lack of sleep causes a person to become tired. What is the effect of lack of sleep?,tired,tired
exp011_causality_016,causality,acceptable,none,none,easy,,Explicit cause-effect direction; template wording is intentionally repetitive for control.,false,Pressing a keyboard key makes a letter appear on a screen. What is the effect?,Pressing a keyboard key makes a letter appear on a screen. What is the effect?,letter appears,letter appears
exp011_causality_017,causality,revise,low,none,easy,acceptable_answers_too_broad,Revised: Removed the one-word answer 'wet' and made the effect specific.,true,Watering dry soil makes it wet. What is the effect of watering dry soil?,Watering dry soil causes the soil to become wet. What is the effect of watering dry soil?,wet soil,soil becomes wet
exp011_causality_018,causality,acceptable,none,none,easy,,Explicit cause-effect direction; template wording is intentionally repetitive for control.,false,An infection can cause a fever. What is the effect of an infection?,An infection can cause a fever. What is the effect of an infection?,fever,fever
