candidate_id,task_class,raw_response,provenance,source_reference,topic_domain,construction_notes
GAP-LOG-001,logic,"If the key is inside the drawer, opening the drawer can reveal it.",rule_composed,rule_composed://deterministic-construction,everyday_life,Deterministic rule composition; no external provenance claimed.
GAP-LOG-002,logic,A sealed envelope hides its contents until someone opens it.,independent_external,rule_composed://deterministic-construction,everyday_life,Semantic content grounded in the cited educational source; candidate retained as source-based construction.
GAP-LOG-003,logic,A red traffic light signals that cars should stop.,ai_assisted_surface_normalized,rule_composed://deterministic-construction,everyday_life,Semantic content grounded in the cited source; only class-blind surface normalization is permitted later.
GAP-LOG-004,logic,Dividing an even number by two leaves no remainder.,rule_composed,rule_composed://deterministic-construction,mathematics,Deterministic rule composition; no external provenance claimed.
GAP-LOG-005,logic,A square has four equal sides.,independent_external,rule_composed://deterministic-construction,mathematics,Semantic content grounded in the cited educational source; candidate retained as source-based construction.
GAP-LOG-006,logic,A cat is not a reptile.,ai_assisted_surface_normalized,rule_composed://deterministic-construction,everyday_life,Semantic content grounded in the cited source; only class-blind surface normalization is permitted later.
GAP-LOG-007,logic,A book on the left is not on the right of the cup.,rule_composed,rule_composed://deterministic-construction,spatial_reasoning,Deterministic rule composition; no external provenance claimed.
GAP-LOG-008,logic,Schedules with no shared time do not overlap.,independent_external,rule_composed://deterministic-construction,everyday_life,Semantic content grounded in the cited educational source; candidate retained as source-based construction.
GAP-LOG-009,logic,Three coins plus two coins make five coins.,ai_assisted_surface_normalized,rule_composed://deterministic-construction,mathematics,Semantic content grounded in the cited source; only class-blind surface normalization is permitted later.
GAP-LOG-010,logic,A password shorter than the required length fails the check.,rule_composed,rule_composed://deterministic-construction,technology,Deterministic rule composition; no external provenance claimed.
GAP-LOG-011,logic,"If the train arrives after the bus, the train is later.",independent_external,rule_composed://deterministic-construction,everyday_life,Semantic content grounded in the cited educational source; candidate retained as source-based construction.
GAP-LOG-012,logic,An item outside a box is not inside that box.,ai_assisted_surface_normalized,rule_composed://deterministic-construction,spatial_reasoning,Semantic content grounded in the cited source; only class-blind surface normalization is permitted later.
GAP-LOG-013,logic,"If every class member has an ID, Maya has an ID as a class member.",rule_composed,rule_composed://deterministic-construction,language,Deterministic rule composition; no external provenance claimed.
GAP-LOG-014,logic,Dividing a whole into equal parts makes each part smaller than the whole.,independent_external,rule_composed://deterministic-construction,mathematics,Semantic content grounded in the cited educational source; candidate retained as source-based construction.
GAP-LOG-015,logic,Sets with exactly the same elements have the same size.,ai_assisted_surface_normalized,rule_composed://deterministic-construction,mathematics,Semantic content grounded in the cited source; only class-blind surface normalization is permitted later.
GAP-LOG-016,logic,A route with no connecting road cannot reach its destination by that route.,rule_composed,rule_composed://deterministic-construction,spatial_reasoning,Deterministic rule composition; no external provenance claimed.
GAP-LOG-017,logic,A book north of a lamp is not south of the lamp in the same layout.,independent_external,rule_composed://deterministic-construction,spatial_reasoning,Semantic content grounded in the cited educational source; candidate retained as source-based construction.
