id,group,question,expected_answer,acceptable_answers,model_answer,normalized_model_answer,strict_is_correct,audit_label,audit_reason,candidate_new_acceptable_answer,recommend_dataset_update
exp011_logic_001,logic,All mammals are animals. All dogs are mammals. Are dogs animals?,yes,['yes'],Yes.,yes,True,strict_correct,Accepted by the existing boundary-aware scoring rule.,,False
exp011_logic_002,logic,No reptiles are mammals. A lizard is a reptile. Is the lizard a mammal?,no,['no'],The lizard is not a mammal.,the lizard is not a mammal,False,likely_correct_scoring_miss,The response directly states the required negative conclusion.,not a mammal,True
exp011_logic_003,logic,All red objects are colored. This apple is red. Is the apple colored?,yes,['yes'],Colored.,colored,False,partially_correct,It states the derived property instead of the requested yes/no answer.,,False
exp011_logic_004,logic,"If it rains, the ground is wet. It is raining. Is the ground wet?",yes,['yes'],Yes.,yes,True,strict_correct,Accepted by the existing boundary-aware scoring rule.,,False
exp011_logic_005,logic,"If a signal is active, an indicator is lit. The indicator is not lit. Can the signal be active?",no,['no'],Yes.,yes,False,likely_wrong,It gives the opposite of the required conclusion.,,False
exp011_logic_006,logic,All birds are animals. A penguin is a bird. Is a penguin an animal?,yes,['yes'],Yes.,yes,True,strict_correct,Accepted by the existing boundary-aware scoring rule.,,False
exp011_logic_007,logic,No squares are circles. This shape is a square. Is it a circle?,no,['no'],No.,no,True,strict_correct,Accepted by the existing boundary-aware scoring rule.,,False
exp011_logic_008,logic,All painters are artists. Lina is a painter. Is the conclusion that Lina is an artist valid?,valid,['valid'],Valid.,valid,True,strict_correct,Accepted by the existing boundary-aware scoring rule.,,False
exp011_logic_009,logic,All books are objects. This item is not an object. Can this item be a book?,no,['no'],Yes.,yes,False,likely_wrong,It gives the opposite of the required conclusion.,,False
exp011_logic_010,logic,A statement and its opposite cannot both be true. What is this situation called?,contradiction,['contradiction'],Logical contradiction.,logical contradiction,True,strict_correct,Accepted by the existing boundary-aware scoring rule.,,False
exp011_logic_011,logic,All metals conduct electricity. Copper is a metal. Does copper conduct electricity?,yes,['yes'],Yes.,yes,True,strict_correct,Accepted by the existing boundary-aware scoring rule.,,False
exp011_logic_012,logic,All triangles have three sides. This shape has four sides. Is it a triangle?,no,['no'],No.,no,True,strict_correct,Accepted by the existing boundary-aware scoring rule.,,False
exp011_logic_013,logic,"If an alarm rings, a sound is heard. The alarm rings. Is a sound heard?",yes,['yes'],Yes.,yes,True,strict_correct,Accepted by the existing boundary-aware scoring rule.,,False
exp011_logic_014,logic,"If a card is blue, it is colored. The card is not colored. Is it blue?",no,['no'],Blue.,blue,False,likely_wrong,It repeats the antecedent rather than answering the negative conclusion.,,False
exp011_logic_015,logic,All teachers read books. Ada is a teacher. Does Ada read books?,yes,['yes'],Yes.,yes,True,strict_correct,Accepted by the existing boundary-aware scoring rule.,,False
exp011_logic_016,logic,No fish are mammals. A whale is a mammal. Is a whale a fish?,no,['no'],No.,no,True,strict_correct,Accepted by the existing boundary-aware scoring rule.,,False
exp011_logic_017,logic,A is taller than B. B is taller than C. Is A taller than C?,yes,['yes'],Yes.,yes,True,strict_correct,Accepted by the existing boundary-aware scoring rule.,,False
exp011_logic_018,logic,All cats are animals. All animals need water. Does a cat need water?,yes,['yes'],Yes.,yes,True,strict_correct,Accepted by the existing boundary-aware scoring rule.,,False
exp011_logic_019,logic,"If a number is even, it is divisible by two. Eight is even. Is eight divisible by two?",yes,['yes'],Yes.,yes,True,strict_correct,Accepted by the existing boundary-aware scoring rule.,,False
exp011_logic_020,logic,All flowers are plants. This object is not a plant. Can it be a flower?,no,['no'],Yes.,yes,False,likely_wrong,It gives the opposite of the required conclusion.,,False
exp011_causality_001,causality,Heavy rain makes roads wet. What is the cause of wet roads?,heavy rain,"['heavy rain', 'rain']",The cause of wet roads is heavy rain.,the cause of wet roads is heavy rain,True,strict_correct,Accepted by the existing boundary-aware scoring rule.,,False
exp011_causality_002,causality,Lack of water causes plants to wilt. What is the effect of lack of water?,wilting,"['wilting', 'wilt']",The effect of lack of water is that plants wilt.,the effect of lack of water is that plants wilt,True,strict_correct,Accepted by the existing boundary-aware scoring rule.,,False
exp011_causality_003,causality,Heating ice above freezing causes it to melt. What is the effect?,melting,"['melting', 'melt']",The effect is that the ice melts.,the effect is that the ice melts,False,likely_correct_scoring_miss,'melts' is a direct inflectional variant of the accepted effect.,melts,True
exp011_causality_004,causality,Pressing a light switch causes the lamp to turn on. What is the effect of pressing the switch?,lamp turns on,"['lamp turns on', 'the lamp turns on']",The effect of pressing the switch is to turn the lamp on.,the effect of pressing the switch is to turn the lamp on,False,likely_correct_scoring_miss,The response expresses the same lamp-on effect with harmless word-order variation.,turn the lamp on,True
exp011_causality_005,causality,A power outage causes a computer to shut down. What is the effect of a power outage?,computer shuts down,"['computer shuts down', 'the computer shuts down']",A power outage causes a computer to shut down.,a power outage causes a computer to shut down,False,likely_correct_scoring_miss,The response states the same computer-shutdown effect with an infinitive form.,computer to shut down,True
exp011_causality_006,causality,Sunlight allows a plant to make food. What is the cause that enables this process?,sunlight,"['sunlight', 'light']",Photosynthesis,photosynthesis,False,likely_wrong,"It names the process rather than the stated cause, sunlight.",,False
exp011_causality_007,causality,Cold temperatures cause water to freeze. What is the effect of cold temperatures?,freezing,"['freezing', 'freeze']",The effect of cold temperatures is that water freezes.,the effect of cold temperatures is that water freezes,False,likely_correct_scoring_miss,'freezes' is a direct inflectional variant of the accepted effect.,freezes,True
exp011_causality_008,causality,Dropping a glass causes the glass to break. What is the effect of dropping the glass?,glass breaks,"['glass breaks', 'the glass breaks']",The effect of dropping the glass is that it breaks.,the effect of dropping the glass is that it breaks,False,likely_correct_scoring_miss,The pronoun refers directly to the glass in the explicit question.,it breaks,True
exp011_causality_009,causality,Strong wind makes leaves move. What is the cause of moving leaves?,strong wind,"['strong wind', 'wind']",The cause of moving leaves is strong wind.,the cause of moving leaves is strong wind,True,strict_correct,Accepted by the existing boundary-aware scoring rule.,,False
exp011_causality_010,causality,Eating spoiled food causes sickness. What is the effect of eating spoiled food?,sickness,"['sickness', 'becoming sick']",Eating spoiled food causes sickness.,eating spoiled food causes sickness,True,strict_correct,Accepted by the existing boundary-aware scoring rule.,,False
exp011_causality_011,causality,Brake failure causes a car not to stop. What is the effect of brake failure?,car does not stop,"['car does not stop', 'the car does not stop']",The effect of brake failure is that the car does not stop.,the effect of brake failure is that the car does not stop,True,strict_correct,Accepted by the existing boundary-aware scoring rule.,,False
exp011_causality_012,causality,Too much rain can cause flooding. What is the effect of too much rain?,flooding,"['flooding', 'flood']",Flooding.,flooding,True,strict_correct,Accepted by the existing boundary-aware scoring rule.,,False
exp011_causality_013,causality,A fire produces smoke. What is the cause of smoke in this case?,fire,['fire'],The cause of smoke in the case of a fire is the combustion of materials.,the cause of smoke in the case of a fire is the combustion of materials,True,strict_correct,Accepted by the existing boundary-aware scoring rule.,,False
exp011_causality_014,causality,Removing a battery makes a flashlight stop working. What is the effect?,flashlight stops working,"['flashlight stops working', 'stops working']",The flashlight stops working.,the flashlight stops working,True,strict_correct,Accepted by the existing boundary-aware scoring rule.,,False
exp011_causality_015,causality,Lack of sleep causes a person to become tired. What is the effect of lack of sleep?,tired,"['tired', 'fatigue']",Lack of sleep causes a person to become tired.,lack of sleep causes a person to become tired,True,strict_correct,Accepted by the existing boundary-aware scoring rule.,,False
exp011_causality_016,causality,Pressing a keyboard key makes a letter appear on a screen. What is the effect?,letter appears,"['letter appears', 'appears on screen']",The effect is that a letter appears on the screen.,the effect is that a letter appears on the screen,True,strict_correct,Accepted by the existing boundary-aware scoring rule.,,False
exp011_causality_017,causality,Watering dry soil causes the soil to become wet. What is the effect of watering dry soil?,soil becomes wet,"['soil becomes wet', 'the soil becomes wet']",The effect of watering dry soil is to make it wet.,the effect of watering dry soil is to make it wet,False,likely_correct_scoring_miss,It expresses the same explicitly stated wet-soil effect.,make it wet,True
exp011_causality_018,causality,An infection can cause a fever. What is the effect of an infection?,fever,['fever'],An infection can cause a fever.,an infection can cause a fever,True,strict_correct,Accepted by the existing boundary-aware scoring rule.,,False
exp011_causality_019,causality,Closing a water valve causes water flow to stop. What is the effect of closing the valve?,water flow stops,"['water flow stops', 'the water flow stops']",The effect of closing the valve is to stop the water flow.,the effect of closing the valve is to stop the water flow,False,likely_correct_scoring_miss,It expresses the same water-flow-stopping effect.,stop the water flow,True
exp011_causality_020,causality,Rubbing hands together creates heat from friction. What is the effect of friction?,heat,['heat'],The effect of friction is to create heat.,the effect of friction is to create heat,True,strict_correct,Accepted by the existing boundary-aware scoring rule.,,False
exp011_analogy_001,analogy,Bird is to nest as bee is to what?,hive,['hive'],hive,hive,True,strict_correct,Accepted by the existing boundary-aware scoring rule.,,False
exp011_analogy_002,analogy,Knife is to cut as pen is to what?,write,"['write', 'writing']",: to write,: to write,True,strict_correct,Accepted by the existing boundary-aware scoring rule.,,False
exp011_analogy_003,analogy,Bird is to nest as dog is to what?,kennel,"['kennel', 'a kennel']",dog is to shelter,dog is to shelter,False,partially_correct,Shelter is related to a kennel but does not provide the intended specific relation.,,False
exp011_analogy_004,analogy,Hand is to glove as foot is to what?,sock,"['sock', 'socks']",foot is to shoe,foot is to shoe,False,ambiguous,"Shoe is a defensible foot covering, although it differs from the intended glove-to-sock relation.",,False
exp011_analogy_005,analogy,Puppy is to dog as kitten is to what?,cat,['cat'],cat,cat,True,strict_correct,Accepted by the existing boundary-aware scoring rule.,,False
exp011_analogy_006,analogy,Book is to read as movie is to what?,watch,"['watch', 'watching']",film,film,False,likely_wrong,It supplies an object instead of the requested activity.,,False
exp011_analogy_007,analogy,Eye is to see as ear is to what?,hear,"['hear', 'hearing']",: hear,: hear,True,strict_correct,Accepted by the existing boundary-aware scoring rule.,,False
exp011_analogy_008,analogy,Wheel is to bicycle as wing is to what vehicle?,airplane,"['airplane', 'an airplane']",airplane,airplane,True,strict_correct,Accepted by the existing boundary-aware scoring rule.,,False
exp011_analogy_009,analogy,Teacher is to school as doctor is to what?,hospital,['hospital'],patient.,patient,False,likely_wrong,Patient is not the analogous workplace answer.,,False
exp011_analogy_010,analogy,Oven is to bake as refrigerator is to what?,cool,"['cool', 'cooling']",store,store,False,partially_correct,"A refrigerator stores items, but that is not the intended appliance function.",,False
exp011_analogy_011,analogy,Toothbrush is to teeth as comb is to what?,hair,['hair'],Hair.,hair,True,strict_correct,Accepted by the existing boundary-aware scoring rule.,,False
exp011_analogy_012,analogy,Lock is to key as account is to what?,password,"['password', 'a password']",access code,access code,False,ambiguous,An access code is related to a password but is not clearly interchangeable here.,,False
exp011_analogy_013,analogy,Cow is to calf as sheep is to what?,lamb,['lamb'],cow is to calf as sheep is to lamb.,cow is to calf as sheep is to lamb,True,strict_correct,Accepted by the existing boundary-aware scoring rule.,,False
